+0000000000545943+0000000000000002                  06                                                                                                                                                                                                                                      PISO DE 1 DORMITORIO+00000001+00000001
+0000000000545943+0000000000000001                  06                                                                                                                                                                                                                                     PISO DE 2 DORMITORIOS+00000002+00000001
+0000000000718146+0000000000000001                  06                                                                                                                                                                                                                                      PISO DE 1 DORMITORIO+00000001+00000001
+0000000000711375+0000000000000003                  06                                                                                                                                                                                                                                      PISO DE 1 DORMITORIO+00000001+00000001
+0000000000718146+0000000000000002                  06                                                                                                                                                                                                                                     PISO DE 2 DORMITORIOS+00000002+00000001
+0000000000879069+0000000000000003                  16                                                                                                                                                                                                                                                  TRASTERO+00000000+00000000
+0000000000879069+0000000000000004                  07                                                                                                                                                                                                                              PISO DUPLEX DE 2 DORMITORIOS+00000002+00000003
+0000000000863782+0000000000000001                  15                                                                                                                                                                                                                                                    GARAJE+00000000+00000000
+0000000000865021+0000000000000006                  16                                                                                                                                                                                                                                                  TRASTERO+00000000+00000000
+0000000000865021+0000000000000007                  15                                                                                                                                                                                                                                                    GARAJE+00000000+00000000
+0000000000866302+0000000000000001                  06                                                                                                                                                                                                                                     PISO DE 2 DORMITORIOS+00000002+00000001
+0000000000866302+0000000000000005                  15                                                                                                                                                                                                                                                    GARAJE+00000000+00000000
+0000000000862384+0000000000000001                  18                                                                                                                                                                                                                                                   GARAJES+00000000+00000000
+0000000000871152+0000000000000001                  03                                                                                                                                                                                                                  CHALET ADOSADO DE 2 PLANTAS Y 4 DORMITOR+00000004+00000002
+0000000000865021+0000000000000005                  12                                                                                                                                                                                                                                                 COMERCIAL+00000000+00000000
+0000000000865021+0000000000000004                  06                                                                                                                                                                                                                                      PISO DE 1 DORMITORIO+00000001+00000001
+0000000000865021+0000000000000003                  06                                                                                                                                                                                                                                     PISO DE 3 DORMITORIOS+00000003+00000001
+0000000000865021+0000000000000002                  06                                                                                                                                                                                                                                     PISO DE 2 DORMITORIOS+00000002+00000001
+0000000000865021+0000000000000001                  06                                                                                                                                                                                                                                     PISO DE 4 DORMITORIOS+00000004+00000001
+0000000000879069+0000000000000002                  06                                                                                                                                                                                                                                     PISO DE 4 DORMITORIOS+00000004+00000001
+0000000000862384+0000000000000002                  18                                                                                                                                                                                                                                     GARAJES CON TRASTEROS+00000000+00000000
+0000000000878391+0000000000000001                  16                                                                                                                                                                                                                                                  TRASTERO+00000000+00000000
+0000000000878391+0000000000000002                  06                                                                                                                                                                                                                                     PISO DE 4 DORMITORIOS+00000004+00000001
+0000000000878391+0000000000000003                  15                                                                                                                                                                                                                                                    GARAJE+00000000+00000000
+0000000000878391+0000000000000004                  06                                                                                                                                                                                                                                     PISO DE 2 DORMITORIOS+00000002+00000001
+0000000000878391+0000000000000005                  06                                                                                                                                                                                                                                      PISO DE 1 DORMITORIO+00000001+00000001
+0000000000866302+0000000000000002                  06                                                                                                                                                                                                                                      PISO DE 1 DORMITORIO+00000001+00000001
+0000000000866302+0000000000000003                  12                                                                                                                                                                                                                                                 COMERCIAL+00000000+00000000
+0000000000866302+0000000000000004                  07                                                                                                                                                                                                                              PISO DUPLEX DE 2 DORMITORIOS+00000002+00000002
+0000000000879186+0000000000000001                  12                                                                                                                                                                                                                                                 COMERCIAL+00000000+00000000
+0000000000883511+0000000000000001                  06                                                                                                                                                                                                                                     PISO DE 4 DORMITORIOS+00000004+00000001
+0000000000883511+0000000000000002                  06                                                                                                                                                                                                                                     PISO DE 2 DORMITORIOS+00000002+00000001
+0000000005287233+0000000000000003                  06                                                                                                                                                                                                                                      PISO DE 1 DORMITORIO+00000001+00000001
+0000000001134909+0000000000000001                  18                                                                                                                                                                                                                                   VIVIENDAS 4 DORMITORIOS+00000000+00000000
+0000000001113296+0000000000000002                  06                                                                                                                                                                                                                                     PISO DE 3 DORMITORIOS+00000003+00000001
+0000000001134909+0000000000000002                  18                                                                                                                                                                                                                                   VIVIENDAS 3 DORMITORIOS+00000000+00000000
+0000000001113296+0000000000000001                  06                                                                                                                                                                                                                                     PISO DE 2 DORMITORIOS+00000002+00000001
+0000000000879321+0000000000000002                  06                                                                                                                                                                                                                                     PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001127479+0000000000000003                  15                                                                                                                                                                                                                                                    GARAJE+00000000+00000000
+0000000001127479+0000000000000002                  06                                                                                                                                                                                                                                                  ESTUDIOS+00000050+00000001
+0000000001086883+0000000000000004                  15                                                                                                                                                                                                                                                    GARAJE+00000000+00000000
+0000000001075823+0000000000000001                  06                                                                                                                                                                                                                                     PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001075823+0000000000000002                  15                                                                                                                                                                                                                                                    GARAJE+00000000+00000000
+0000000001037019+0000000000000001                  03                                                                                                                                                                                                                  CHALET ADOSADO DE 3 PLANTAS Y 3 DORMITOR+00000003+00000003
+0000000001031412+0000000000000002                  07                                                                                                                                                                                                                              PISO DUPLEX DE 4 DORMITORIOS+00000004+00000002
+0000000000888809+0000000000000002                  06                                                                                                                                                                                                                                     PISO DE 3 DORMITORIOS+00000003+00000001
+0000000000968635+0000000000000003                  15                                                                                                                                                                                                                                                    GARAJE+00000000+00000000
+0000000000968635+0000000000000002                  06                                                                                                                                                                                                                                     PISO DE 2 DORMITORIOS+00000002+00000001
+0000000000895015+0000000000000003                  06                                                                                                                                                                                                                                     PISO DE 3 DORMITORIOS+00000003+00000001
+0000000000895015+0000000000000004                  06                                                                                                                                                                                                                                     PISO DE 2 DORMITORIOS+00000002+00000001
+0000000000895015+0000000000000005                  06                                                                                                                                                                                                                                     PISO DE 4 DORMITORIOS+00000004+00000001
+0000000001135704+0000000000000003                  06                                                                                                                                                                                                                                     PISO DE 3 DORMITORIOS+00000003+00000001
+0000000001135704+0000000000000004                  06                                                                                                                                                                                                                                     PISO DE 2 DORMITORIOS+00000002+00000001
+0000000000871152+0000000000000002                  03                                                                                                                                                                                                                  CHALET ADOSADO DE 3 PLANTAS Y 4 DORMITOR+00000004+00000003
+0000000001135704+0000000000000006                  07                                                                                                                                                                                                                              PISO DUPLEX DE 4 DORMITORIOS+00000004+00000002
+0000000001134909+0000000000000004                  18                                                                                                                                                                                                                                                   GARAJES+00000000+00000000
+0000000001134909+0000000000000003                  12                                                                                                                                                                                                                                                   OFICINA+00000000+00000000
+0000000001135704+0000000000000002                  16                                                                                                                                                                                                                                                  TRASTERO+00000000+00000000
+0000000001135704+0000000000000001                  15                                                                                                                                                                                                                                                    GARAJE+00000000+00000000
+0000000000862384+0000000000000003                  18                                                                                                                                                                                                                                                 TRASTEROS+00000000+00000000
+0000000001135569+0000000000000002                  06                                                                                                                                                                                                                                     PISO DE 3 DORMITORIOS+00000003+00000001
+0000000001135569+0000000000000001                  06                                                                                                                                                                                                                                     PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001146044+0000000000000004                  12                                                                                                                                                                                                                                                 COMERCIAL+00000000+00000000
+0000000001146044+0000000000000003                  15                                                                                                                                                                                                                                                    GARAJE+00000000+00000000
+0000000001067616+0000000000000001                  03                                                                                                                                                                                                                  CHALET ADOSADO DE 4 PLANTAS Y 4 DORMITOR+00000004+00000004
+0000000001122667+0000000000000001                  06                                                                                                                                                                                                                                     PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001122667+0000000000000002                  06                                                                                                                                                                                                                                     PISO DE 3 DORMITORIOS+00000003+00000001
+0000000001122667+0000000000000003                  07                                                                                                                                                                                                                              PISO DUPLEX DE 4 DORMITORIOS+00000004+00000002
+0000000001122667+0000000000000004                  07                                                                                                                                                                                                                              PISO DUPLEX DE 3 DORMITORIOS+00000003+00000002
+0000000001157959+0000000000000001                  01                                                                                                                                                                                                                                                  PARCELAS+00000000+00000000
+0000000001158268+0000000000000001                  06                                                                                                                                                                                                                                     PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001158268+0000000000000002                  06                                                                                                                                                                                                                                      PISO DE 1 DORMITORIO+00000001+00000001
+0000000001559056+0000000000000002                  16                                                                                                                                                                                                                                                  TRASTERO+00000000+00000000
+0000000001158268+0000000000000003                  06                                                                                                                                                                                                                                     PISO DE 3 DORMITORIOS+00000003+00000001
+0000000001158268+0000000000000004                  06                                                                                                                                                                                                                                     PISO DE 3 DORMITORIOS+00000003+00000000
+0000000001158385+0000000000000001                  06                                                                                                                                                                                                                                     PISO DE 2 DORMITORIOS+00000002+00000001
