+0000000000063202+0000000000000002                  01+10000
+0000000000065173+0000000000000002                  01+10000
+0000000000084047+0000000000000002                  01+10000
+0000000000084323+0000000000000002                  01+10000
+0000000000085992+0000000000000002                  01+10000
+0000000000103424+0000000000000002                  01+10000
+0000000000107153+0000000000000002                  01+10000
+0000000000110996+0000000000000002                  01+10000
+0000000000111866+0000000000000002                    +00000
+0000000000119480+0000000000000002                  01+10000
+0000000000121650+0000000000000002                  01+10000
+0000000000122690+0000000000000002                  01+10000
+0000000000128257+0000000000000002                  01+10000
+0000000000128423+0000000000000002                  01+10000
+0000000000137970+0000000000000002                    +00000
+0000000000144267+0000000000000002                  01+10000
+0000000000155500+0000000000000002                  01+10000
+0000000000158872+0000000000000002                  01+10000
+0000000000167649+0000000000000002                  01+10000
+0000000000168402+0000000000000002                  01+10000
+0000000000169888+0000000000000002                  01+10000
+0000000000184363+0000000000000002                  01+10000
+0000000000189392+0000000000000002                  01+10000
+0000000000195666+0000000000000002                    +00000
+0000000000201838+0000000000000002                  01+10000
+0000000000201977+0000000000000002                  01+10000
+0000000000202090+0000000000000002                  01+10000
+0000000000202106+0000000000000002                  01+10000
+0000000000202127+0000000000000002                  01+10000
+0000000000202302+0000000000000002                  01+10000
+0000000000202476+0000000000000002                    +00000
+0000000000202566+0000000000000002                  01+10000
+0000000000202708+0000000000000002                  01+10000
+0000000000202831+0000000000000002                    +00000
+0000000000202947+0000000000000002                  01+10000
+0000000000202999+0000000000000002                  01+10000
+0000000000203011+0000000000000002                  01+10000
+0000000000203178+0000000000000002                  01+10000
+0000000000203199+0000000000000002                  01+10000
+0000000000203203+0000000000000002                  01+10000
+0000000000203244+0000000000000002                  01+10000
+0000000000203336+0000000000000002                  01+10000
+0000000000203436+0000000000000002                  01+10000
+0000000000203452+0000000000000002                  01+10000
+0000000000203483+0000000000000002                  01+10000
+0000000000203572+0000000000000002                  01+10000
+0000000000203646+0000000000000002                  01+10000
+0000000000203647+0000000000000002                  01+10000
+0000000000203670+0000000000000002                  01+10000
+0000000000203705+0000000000000002                  01+10000
+0000000000203709+0000000000000002                  01+10000
+0000000000203784+0000000000000002                  01+10000
+0000000000203805+0000000000000002                  01+10000
+0000000000203863+0000000000000002                  01+10000
+0000000000203961+0000000000000002                  01+10000
+0000000000204136+0000000000000002                  01+10000
+0000000000204219+0000000000000002                  01+10000
+0000000000204284+0000000000000002                  01+10000
+0000000000204304+0000000000000002                  01+10000
+0000000000204396+0000000000000002                  01+10000
+0000000000204443+0000000000000002                  01+10000
+0000000000939916+0000000000000002                  01+10000
+0000000000941029+0000000000000002                  01+10000
+0000000000943399+0000000000000002                  01+10000
+0000000000945086+0000000000000002                  01+10000
+0000000000948101+0000000000000002                  01+10000
+0000000000948152+0000000000000002                  01+10000
+0000000000948202+0000000000000002                  01+10000
+0000000000948248+0000000000000002                  01+10000
+0000000000948280+0000000000000002                  01+10000
+0000000000951939+0000000000000002                  01+10000
+0000000005876154+0000000000000002                  01+10000
+0000000006125515+0000000000000002                  01+10000
+0000000006125585+0000000000000002                  01+10000
+0000000006125597+0000000000000002                  01+10000
+0000000006125630+0000000000000002                  01+10000
+0000000006125633+0000000000000002                  01+10000
+0000000006125634+0000000000000002                  01+10000
+0000000006125653+0000000000000002                  01+10000
+0000000006125680+0000000000000002                  01+10000
+0000000006125685+0000000000000002                  01+10000
+0000000006125746+0000000000000002                  01+10000
+0000000006125765+0000000000000002                  01+10000
+0000000006125784+0000000000000002                  01+10000
+0000000006125792+0000000000000002                  01+10000
+0000000006125798+0000000000000002                  01+10000
+0000000006125821+0000000000000002                  01+10000
+0000000006125897+0000000000000002                  01+10000
+0000000006125985+0000000000000002                  01+10000
+0000000006126023+0000000000000002                  01+10000
+0000000006126170+0000000000000002                  01+10000
+0000000006126237+0000000000000002                  01+10000
+0000000006126252+0000000000000002                  01+10000
+0000000006126271+0000000000000002                  01+10000
+0000000006126338+0000000000000002                  01+10000
+0000000006126342+0000000000000002                  01+10000
+0000000006126378+0000000000000002                  01+10000
+0000000006126404+0000000000000002                  01+10000
+0000000006126422+0000000000000002                  01+10000
+0000000006126427+0000000000000002                  01+10000
+0000000006126431+0000000000000002                  01+10000
+0000000006126434+0000000000000002                  01+10000
+0000000006126445+0000000000000002                  01+10000
+0000000006126457+0000000000000002                  01+10000
+0000000006126506+0000000000000002                  01+10000
+0000000006126512+0000000000000002                  01+10000
+0000000006126527+0000000000000002                  01+10000
+0000000006126549+0000000000000002                  01+10000
+0000000006126558+0000000000000002                  01+10000
+0000000006126559+0000000000000002                  01+10000
+0000000006126576+0000000000000002                  01+10000
+0000000006126597+0000000000000002                  01+10000
+0000000006126606+0000000000000002                  01+10000
+0000000006126607+0000000000000002                  01+10000
+0000000006126612+0000000000000002                  01+10000
+0000000006126632+0000000000000002                  01+10000
+0000000006126633+0000000000000002                  01+10000
+0000000006126644+0000000000000002                  01+10000
+0000000006126647+0000000000000002                  01+10000
+0000000006126701+0000000000000002                  01+10000
+0000000006126714+0000000000000002                  01+10000
+0000000006126723+0000000000000002                  01+10000
+0000000006126735+0000000000000002                  01+10000
+0000000006126752+0000000000000002                  01+10000
+0000000006126774+0000000000000002                  01+10000
+0000000006126776+0000000000000002                  01+10000
+0000000006126783+0000000000000002                  01+10000
+0000000006126797+0000000000000002                  01+10000
+0000000006126800+0000000000000002                  01+10000
+0000000006126827+0000000000000002                  01+10000
+0000000006126846+0000000000000002                  01+10000
+0000000006126848+0000000000000002                  01+10000
+0000000006126867+0000000000000002                  01+10000
+0000000006126889+0000000000000002                  01+10000
+0000000006126912+0000000000000002                  01+10000
+0000000006126942+0000000000000002                  01+10000
+0000000006127006+0000000000000002                  01+10000
+0000000006127022+0000000000000002                  01+10000
+0000000006127024+0000000000000002                  01+10000
+0000000006127034+0000000000000002                  01+10000
+0000000006127076+0000000000000002                  01+10000
+0000000006127078+0000000000000002                  01+10000
+0000000006127100+0000000000000002                  01+10000
+0000000006127103+0000000000000002                  01+10000
+0000000006127146+0000000000000002                  01+10000
+0000000006127163+0000000000000002                  01+10000
+0000000006127173+0000000000000002                  01+10000
+0000000006127181+0000000000000002                  01+10000
+0000000006127186+0000000000000002                  01+10000
+0000000006127187+0000000000000002                  01+10000
+0000000006127200+0000000000000002                  01+10000
+0000000006127215+0000000000000002                  01+10000
+0000000006127217+0000000000000002                  01+10000
+0000000006127225+0000000000000002                  01+10000
+0000000006127242+0000000000000002                  01+10000
+0000000006127270+0000000000000002                  01+10000
+0000000006127308+0000000000000002                  01+10000
+0000000006127314+0000000000000002                  01+10000
+0000000006127327+0000000000000002                  01+10000
+0000000006127378+0000000000000002                  01+10000
+0000000006127412+0000000000000002                  01+10000
+0000000006127446+0000000000000002                  01+10000
+0000000006127524+0000000000000002                  01+10000
+0000000006127529+0000000000000002                  01+10000
+0000000006127550+0000000000000002                  01+10000
+0000000000064584+0000000000000002                  01+10000
+0000000000064985+0000000000000002                  01+10000
+0000000000065616+0000000000000002                  01+10000
+0000000000071869+0000000000000002                  01+10000
+0000000000082128+0000000000000002                  01+10000
+0000000000082432+0000000000000002                  01+10000
+0000000000100468+0000000000000002                  01+10000
+0000000000104084+0000000000000002                  01+10000
+0000000000110997+0000000000000002                  01+10000
+0000000000113243+0000000000000002                  01+10000
+0000000000114039+0000000000000002                    +00000
+0000000000114317+0000000000000002                    +00000
+0000000000115776+0000000000000002                  01+10000
+0000000000117291+0000000000000002                    +00000
+0000000000121148+0000000000000002                  01+10000
+0000000000128611+0000000000000002                  01+10000
+0000000000130867+0000000000000002                  01+10000
+0000000000135204+0000000000000002                  01+10000
+0000000000136004+0000000000000002                    +00000
+0000000000142128+0000000000000002                  01+10000
+0000000000145384+0000000000000002                  01+10000
+0000000000145527+0000000000000002                    +00000
+0000000000149710+0000000000000002                  01+10000
+0000000000150811+0000000000000002                  01+10000
+0000000000153273+0000000000000002                  01+10000
+0000000000157792+0000000000000002                  01+10000
+0000000000162770+0000000000000002                  01+10000
+0000000000164954+0000000000000002                  01+10000
+0000000000176232+0000000000000002                  01+10000
+0000000000176871+0000000000000002                  01+10000
+0000000000180974+0000000000000002                  01+10000
+0000000000188257+0000000000000002                    +00000
+0000000000193475+0000000000000002                    +00000
+0000000000200425+0000000000000002                  01+10000
+0000000000201764+0000000000000002                  01+10000
+0000000000201962+0000000000000002                  01+10000
+0000000000202070+0000000000000002                  01+10000
+0000000000202180+0000000000000002                  01+10000
+0000000000202327+0000000000000002                    +00000
+0000000000202559+0000000000000002                  01+10000
+0000000000202658+0000000000000002                  01+10000
+0000000000202663+0000000000000002                  01+10000
+0000000000202666+0000000000000002                  01+10000
+0000000000202672+0000000000000002                  01+10000
+0000000000202694+0000000000000002                  01+10000
+0000000000202897+0000000000000002                  02+10000
+0000000000202967+0000000000000002                  01+10000
+0000000000203097+0000000000000002                  01+10000
+0000000000203143+0000000000000002                  01+10000
+0000000000203248+0000000000000002                  01+10000
+0000000000203253+0000000000000002                  01+10000
+0000000000203378+0000000000000002                  01+10000
+0000000000203434+0000000000000002                  01+10000
+0000000000203561+0000000000000002                  01+10000
+0000000000203573+0000000000000002                  01+10000
+0000000000203634+0000000000000002                  01+10000
+0000000000203823+0000000000000002                  01+10000
+0000000000203824+0000000000000002                  01+10000
+0000000000203899+0000000000000002                  01+10000
+0000000000203958+0000000000000002                  01+10000
+0000000000204029+0000000000000002                  01+10000
+0000000000204212+0000000000000002                  01+10000
+0000000000204277+0000000000000002                  01+10000
+0000000000204380+0000000000000002                  01+10000
+0000000000204416+0000000000000002                  01+10000
+0000000000204422+0000000000000002                  01+10000
+0000000000204436+0000000000000002                  01+10000
+0000000000204521+0000000000000002                  01+10000
+0000000000204546+0000000000000002                  01+10000
+0000000000204618+0000000000000002                  01+10000
+0000000000934892+0000000000000002                  01+10000
+0000000000935679+0000000000000002                  01+10000
+0000000000948192+0000000000000002                  01+10000
+0000000000948245+0000000000000002                  01+10000
+0000000000948265+0000000000000002                  01+10000
+0000000000951934+0000000000000002                  01+10000
+0000000000952062+0000000000000002                  01+10000
+0000000005971432+0000000000000002                  01+10000
+0000000006125523+0000000000000002                  01+10000
+0000000006125541+0000000000000002                  01+10000
+0000000006125578+0000000000000002                  01+10000
+0000000006125579+0000000000000002                  01+10000
+0000000006125669+0000000000000002                  01+10000
+0000000006125672+0000000000000002                  01+10000
+0000000006125676+0000000000000002                  01+10000
+0000000006125683+0000000000000002                  01+10000
+0000000006125684+0000000000000002                  01+10000
+0000000006125692+0000000000000002                  01+10000
+0000000006125697+0000000000000002                  01+10000
+0000000006125759+0000000000000002                  01+10000
+0000000000062869+0000000000000002                  01+10000
+0000000000064749+0000000000000002                  01+10000
+0000000000065483+0000000000000002                  01+10000
+0000000000067682+0000000000000002                  01+10000
+0000000000085164+0000000000000002                  01+10000
+0000000000094947+0000000000000002                  01+10000
+0000000000099350+0000000000000002                  01+10000
+0000000000099641+0000000000000002                  01+10000
+0000000000103245+0000000000000002                  01+10000
+0000000000105772+0000000000000002                    +10000
+0000000000108748+0000000000000002                    +00000
+0000000000114318+0000000000000002                    +00000
+0000000000116898+0000000000000002                  01+10000
+0000000000120527+0000000000000002                  01+10000
+0000000000136006+0000000000000002                    +00000
+0000000000137559+0000000000000002                  01+10000
+0000000000139829+0000000000000002                  01+10000
+0000000000139890+0000000000000002                  01+10000
+0000000000139892+0000000000000002                  01+10000
+0000000000151108+0000000000000002                  01+10000
+0000000000152054+0000000000000002                    +00000
+0000000000153424+0000000000000002                    +00000
+0000000000157507+0000000000000002                  01+10000
+0000000000159315+0000000000000002                  01+10000
+0000000000160982+0000000000000002                    +00000
+0000000000166834+0000000000000002                  01+10000
+0000000000169190+0000000000000002                  01+10000
+0000000000169887+0000000000000002                  01+10000
+0000000000170162+0000000000000002                  01+10000
+0000000000176206+0000000000000002                  01+10000
+0000000000177025+0000000000000002                  01+10000
+0000000000178887+0000000000000002                  01+10000
+0000000000184364+0000000000000002                  01+10000
+0000000000192867+0000000000000002                    +00000
+0000000000194591+0000000000000002                  01+10000
+0000000000197594+0000000000000002                  01+10000
+0000000000199608+0000000000000002                  01+10000
+0000000000201784+0000000000000002                    +00000
+0000000000201865+0000000000000002                  01+10000
+0000000000201908+0000000000000002                  01+10000
+0000000000201920+0000000000000002                  01+10000
+0000000000201948+0000000000000002                  01+10000
+0000000000202099+0000000000000002                  01+10000
+0000000000202112+0000000000000002                    +00000
+0000000000202212+0000000000000002                  01+10000
+0000000000202363+0000000000000002                  01+10000
+0000000000202430+0000000000000002                    +00000
+0000000000202435+0000000000000002                    +00000
+0000000000202480+0000000000000002                  01+10000
+0000000000202749+0000000000000002                  01+10000
+0000000000203002+0000000000000002                  01+10000
+0000000000203021+0000000000000002                  01+10000
+0000000000203087+0000000000000002                  01+10000
+0000000000203276+0000000000000002                  01+10000
+0000000000203308+0000000000000002                  01+10000
+0000000000203332+0000000000000002                  01+10000
+0000000000203398+0000000000000002                  01+10000
+0000000000203411+0000000000000002                  01+10000
+0000000000203429+0000000000000002                  01+10000
+0000000000203821+0000000000000002                  01+10000
+0000000000203822+0000000000000002                  01+10000
+0000000000203840+0000000000000002                  01+10000
+0000000000203875+0000000000000002                  01+10000
+0000000000204024+0000000000000002                  01+10000
+0000000000204109+0000000000000002                  01+10000
+0000000000204125+0000000000000002                  01+10000
+0000000000204131+0000000000000002                  01+10000
+0000000000204211+0000000000000002                  01+10000
+0000000000204348+0000000000000002                  01+10000
+0000000000204452+0000000000000002                  01+10000
+0000000000936111+0000000000000002                  01+10000
+0000000000937398+0000000000000002                  01+10000
+0000000000940675+0000000000000002                  01+10000
+0000000000944599+0000000000000002                  01+10000
+0000000000948332+0000000000000002                  01+10000
+0000000000952033+0000000000000002                  01+10000
+0000000000952114+0000000000000002                  01+10000
+0000000005876163+0000000000000002                  01+10000
+0000000006121218+0000000000000002                  01+10000
+0000000006121222+0000000000000002                  01+10000
+0000000006121264+0000000000000002                  01+10000
+0000000006121289+0000000000000002                  01+10000
+0000000006121312+0000000000000002                  01+10000
+0000000006121331+0000000000000002                  01+10000
+0000000006121349+0000000000000002                  01+10000
+0000000006121402+0000000000000002                  01+10000
+0000000006121450+0000000000000002                  01+10000
+0000000006121454+0000000000000002                  01+10000
+0000000006121457+0000000000000002                  01+10000
+0000000006121458+0000000000000002                  01+10000
+0000000006121534+0000000000000002                  01+10000
