+0000000001551859+0000000000000003                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001551859+0000000000000002                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000001158385+0000000000000006                                                                                                                                                                                                                                                                     COMERCIAL+00000000+00000000
+0000000000880037+0000000000000002                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000000
+0000000000880037+0000000000000003                                                                                                                                                                                                                                                                     COMERCIAL+00000000+00000000
+0000000000670311+0000000000000002                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000001551859+0000000000000008                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000001551859+0000000000000007                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000005121966+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005122400+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005122400+0000000000000002                                                                                                                                                                                                                                                                      TRASTERO+00000000+00000000
+0000000005122400+0000000000000003                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000005122400+0000000000000004                                                                                                                                                                                                                                                         PISO DE 4 DORMITORIOS+00000004+00000001
+0000000005122400+0000000000000005                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000000889118+0000000000000004                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000000
+0000000000889118+0000000000000003                                                                                                                                                                                                                                                                      TRASTERO+00000000+00000000
+0000000000889118+0000000000000002                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000000889118+0000000000000001                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000000
+0000000000890310+0000000000000002                                                                                                                                                                                                                                      CHALET ADOSADO DE 2 PLANTAS Y 4 DORMITOR+00000004+00000002
+0000000001551859+0000000000000006                                                                                                                                                                                                                                                                      TRASTERO+00000000+00000000
+0000000000881786+0000000000000002                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000000881786+0000000000000003                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000000887879+0000000000000003                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000001429156+0000000000000004                                                                                                                                                                                                                                                                      TRASTERO+00000000+00000000
+0000000001429156+0000000000000006                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000001429156+0000000000000009                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000004628014+0000000000000003                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000004628014+0000000000000001                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000005048056+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005050305+0000000000000001                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000005050305+0000000000000002                                                                                                                                                                                                                                                  PISO DUPLEX DE 2 DORMITORIOS+00000002+00000002
+0000000005050305+0000000000000003                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000005050305+0000000000000004                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000005087286+0000000000000002                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005087286+0000000000000003                                                                                                                                                                                                                                      CHALET ADOSADO DE 4 PLANTAS Y 4 DORMITOR+00000004+00000004
+0000000005400107+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005400107+0000000000000002                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000005400107+0000000000000003                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000005400107+0000000000000004                                                                                                                                                                                                                                                  PISO DUPLEX DE 3 DORMITORIOS+00000003+00000001
+0000000005408375+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005408375+0000000000000002                                                                                                                                                                                                                                                                      TRASTERO+00000000+00000000
+0000000005420655+0000000000000001                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000005420655+0000000000000002                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000005420655+0000000000000003                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005432159+0000000000000002                                                                                                                                                                                                                                                                      TRASTERO+00000000+00000000
+0000000005432159+0000000000000003                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005432159+0000000000000004                                                                                                                                                                                                                                                         PISO DE 4 DORMITORIOS+00000004+00000001
+0000000005432879+0000000000000001                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000005449933+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005449933+0000000000000002                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000005449933+0000000000000003                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000005449933+0000000000000005                                                                                                                                                                                                                                                                      TRASTERO+00000000+00000000
+0000000005449933+0000000000000006                                                                                                                                                                                                                                                  PISO DUPLEX DE 3 DORMITORIOS+00000003+00000002
+0000000005452356+0000000000000001                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000005451920+0000000000000001                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000005451920+0000000000000002                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005451920+0000000000000003                                                                                                                                                                                                                                                                      TRASTERO+00000000+00000000
+0000000005126661+0000000000000001                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000005126661+0000000000000002                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000005126778+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005126778+0000000000000002                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000005127456+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005127456+0000000000000002                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000005129270+0000000000000001                                                                                                                                                                                                                                                                     COMERCIAL+00000000+00000000
+0000000005129415+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005129883+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005129883+0000000000000002                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000005129883+0000000000000003                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000005139077+0000000000000001                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000005139077+0000000000000002                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000005139194+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
