+0000000000064146+0000000100000002                  01+10000
+0000000000064180+0000000100000002                  01+10000
+0000000000064336+0000000100000002                  01+10000
+0000000000065198+0000000100000002                  01+10000
+0000000000065482+0000000100000002                  01+10000
+0000000000069573+0000000100000002                  01+10000
+0000000000075612+0000000100000002                    +00000
+0000000000078380+0000000100000002                  01+10000
+0000000000082130+0000000100000002                  01+10000
+0000000000085071+0000000100000002                  01+10000
+0000000000087653+0000000100000002                  01+10000
+0000000000087962+0000000100000002                  01+10000
+0000000000094305+0000000100000002                  01+10000
+0000000000094478+0000000100000002                  01+10000
+0000000000094698+0000000100000002                  01+10000
+0000000000097700+0000000100000002                    +00000
+0000000000098541+0000000100000002                  01+10000
+0000000000100046+0000000100000002                  01+10000
+0000000000100098+0000000100000002                  01+10000
+0000000000100536+0000000100000002                  01+10000
+0000000000102942+0000000100000002                  01+10000
+0000000000103423+0000000100000002                  01+10000
+0000000000103782+0000000100000002                  01+10000
+0000000000104720+0000000100000002                    +00000
+0000000000115118+0000000100000002                  01+10000
+0000000000115975+0000000100000002                  01+10000
+0000000000117471+0000000100000002                  01+10000
+0000000000118338+0000000100000002                  01+10000
+0000000000118461+0000000100000002                  01+10000
+0000000000118827+0000000100000002                  01+10000
+0000000000119083+0000000100000002                  01+10000
+0000000000119581+0000000100000002                  01+10000
+0000000000119938+0000000100000002                  01+10000
+0000000000120718+0000000100000002                  01+10000
+0000000000120789+0000000100000002                  01+10000
+0000000000121376+0000000100000002                  01+10000
+0000000000130850+0000000100000002                  01+10000
+0000000000137563+0000000100000002                  01+10000
+0000000000138437+0000000100000002                  01+10000
+0000000000139640+0000000100000002                  01+10000
+0000000000143759+0000000100000002                  01+10000
+0000000000146280+0000000100000002                  01+10000
+0000000000148676+0000000100000002                  01+10000
+0000000000150379+0000000100000002                  01+10000
+0000000000159487+0000000100000002                  01+10000
+0000000000165179+0000000100000002                    +00000
+0000000000170010+0000000100000002                  01+10000
+0000000000172226+0000000100000002                    +00000
+0000000000181840+0000000100000002                    +00000
+0000000000186863+0000000100000002                    +00000
+0000000000193558+0000000100000002                    +00000
+0000000000199627+0000000100000002                    +00000
+0000000000200324+0000000100000002                  01+10000
+0000000000201141+0000000100000002                    +00000
+0000000000201732+0000000100000002                    +00000
+0000000000201866+0000000100000002                  01+10000
+0000000000201956+0000000100000002                  01+10000
+0000000000201972+0000000100000002                  01+10000
+0000000000201978+0000000100000002                  01+10000
+0000000000202025+0000000100000002                  01+10000
+0000000000202096+0000000100000002                  01+10000
+0000000000202174+0000000100000002                  01+10000
+0000000000202179+0000000100000002                  01+10000
+0000000000202213+0000000100000002                  01+10000
+0000000000202287+0000000100000002                    +00000
+0000000000202297+0000000100000002                  01+10000
+0000000000202301+0000000100000002                  01+10000
+0000000000202558+0000000100000002                    +00000
+0000000000202624+0000000100000002                  01+10000
+0000000000202702+0000000100000002                  01+10000
+0000000000202718+0000000100000002                  01+10000
+0000000000202794+0000000100000002                  01+10000
+0000000000202879+0000000100000002                  01+10000
+0000000000202939+0000000100000002                  01+10000
+0000000000203033+0000000100000002                  01+10000
+0000000000203148+0000000100000002                  01+10000
+0000000000203188+0000000100000002                  01+10000
+0000000000203389+0000000100000002                  01+10000
+0000000000203604+0000000100000002                  01+10000
+0000000000203655+0000000100000002                    +00000
+0000000000203773+0000000100000002                  01+10000
+0000000000203801+0000000100000002                  01+10000
+0000000000203839+0000000100000002                  01+10000
+0000000000203857+0000000100000002                  01+10000
+0000000000203872+0000000100000002                  01+10000
+0000000000204008+0000000100000002                  01+10000
+0000000000204141+0000000100000002                  01+10000
+0000000000204165+0000000100000002                  01+10000
+0000000000204248+0000000100000002                  01+10000
+0000000000204363+0000000100000002                  01+10000
+0000000000204405+0000000100000002                  01+10000
+0000000000204459+0000000100000002                  01+10000
+0000000000935725+0000000100000002                  01+10000
+0000000000935750+0000000100000002                  01+10000
+0000000000937909+0000000100000002                  01+10000
+0000000000939073+0000000100000002                  01+10000
+0000000000939341+0000000100000002                    +00000
+0000000000939997+0000000100000002                  01+10000
+0000000000940923+0000000100000002                  01+10000
+0000000000942696+0000000100000002                  01+10000
+0000000000948291+0000000100000002                  01+10000
+0000000000948315+0000000100000002                  01+10000
+0000000000951964+0000000100000002                  01+10000
+0000000000951965+0000000100000002                  01+10000
+0000000000951995+0000000100000002                  01+10000
+0000000000952041+0000000100000002                  01+10000
+0000000000952055+0000000100000002                  01+10000
+0000000000952075+0000000100000002                  01+10000
+0000000000952110+0000000100000002                  01+10000
+0000000000952115+0000000100000002                  01+10000
+0000000000952127+0000000100000002                  01+10000
+0000000000952148+0000000100000002                  01+10000
+0000000005876718+0000000100000002                  01+10000
+0000000006121212+0000000100000002                  01+10000
+0000000006121219+0000000100000002                  01+10000
+0000000006121239+0000000100000002                  01+10000
+0000000006121287+0000000100000002                  01+10000
+0000000006121304+0000000100000002                  01+10000
+0000000006121309+0000000100000002                  01+10000
+0000000006121394+0000000100000002                  01+10000
+0000000006121430+0000000100000002                  01+10000
+0000000006121475+0000000100000002                  01+10000
+0000000006121490+0000000100000002                  01+10000
+0000000006121520+0000000100000002                  01+10000
+0000000006121538+0000000100000002                  01+10000
+0000000006121552+0000000100000002                  01+10000
+0000000006121575+0000000100000002                  01+10000
+0000000006121576+0000000100000002                  01+10000
+0000000006121578+0000000100000002                  01+10000
+0000000006121622+0000000100000002                  01+10000
+0000000006121629+0000000100000002                  01+10000
+0000000006121633+0000000100000002                  01+10000
+0000000006121649+0000000100000002                  01+10000
+0000000006121668+0000000100000002                  01+10000
+0000000006121680+0000000100000002                  01+10000
+0000000006121693+0000000100000002                  01+10000
+0000000006121703+0000000100000002                  01+10000
+0000000006121704+0000000100000002                  01+10000
+0000000006121716+0000000100000002                  01+10000
+0000000006121722+0000000100000002                  01+10000
+0000000006121867+0000000100000002                  01+10000
+0000000006121869+0000000100000002                  01+10000
+0000000006121886+0000000100000002                  01+10000
+0000000006121909+0000000100000002                  01+10000
+0000000006121914+0000000100000002                  01+10000
+0000000006121921+0000000100000002                  01+10000
+0000000006121936+0000000100000002                  01+10000
+0000000006121965+0000000100000002                  01+10000
+0000000006121966+0000000100000002                  01+10000
+0000000006122049+0000000100000002                  01+10000
+0000000006122099+0000000100000002                  01+10000
+0000000006122118+0000000100000002                  01+10000
+0000000006122137+0000000100000002                  01+10000
+0000000006122151+0000000100000002                  01+10000
+0000000006122163+0000000100000002                  01+10000
+0000000006122209+0000000100000002                  01+10000
+0000000006122216+0000000100000002                  01+10000
+0000000006122278+0000000100000002                  01+10000
+0000000006122293+0000000100000002                  01+10000
+0000000006122309+0000000100000002                  01+10000
+0000000006122312+0000000100000002                  01+10000
+0000000006122327+0000000100000002                  01+10000
+0000000006122343+0000000100000002                  01+10000
+0000000006122359+0000000100000002                  01+10000
+0000000006122389+0000000100000002                  01+10000
+0000000006122416+0000000100000002                  01+10000
+0000000006122438+0000000100000002                  01+10000
+0000000006122444+0000000100000002                  01+10000
+0000000006122460+0000000100000002                  01+10000
+0000000006122470+0000000100000002                  01+10000
+0000000006122491+0000000100000002                  01+10000
+0000000006122494+0000000100000002                  01+10000
+0000000006122502+0000000100000002                  01+10000
+0000000006122540+0000000100000002                  01+10000
+0000000006122545+0000000100000002                  01+10000
+0000000006122546+0000000100000002                  01+10000
+0000000006122561+0000000100000002                  01+10000
+0000000006122562+0000000100000002                  01+10000
+0000000006122585+0000000100000002                  01+10000
+0000000006122592+0000000100000002                  01+10000
+0000000006122612+0000000100000002                  01+10000
+0000000006122635+0000000100000002                  01+10000
+0000000006122705+0000000100000002                  01+10000
+0000000006122708+0000000100000002                  01+10000
+0000000006122729+0000000100000002                  01+10000
+0000000006122735+0000000100000002                  01+10000
+0000000006122764+0000000100000002                  01+10000
+0000000006122766+0000000100000002                  01+10000
+0000000006122788+0000000100000002                  01+10000
