+0000000000749286+0000000000000001                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000000546369+0000000000000001                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000000509070+0000000000000001                                                                                                                                                                                                                                          CHALET ADOSADO FASE I, 3 DORMITORIOS+00000000+00000000
+0000000000509070+0000000000000002                                                                                                                                                                                                                                        ADOSADO. FASE I, 3 DORM. CALLE PRIVADA+00000000+00000000
+0000000000509070+0000000000000003                                                                                                                                                                                                                                              ADOSADO FASE II, 4 DORM,  157 M2+00000000+00000000
+0000000000509070+0000000000000004                                                                                                                                                                                                                                               ADOSADO FASE II, 3 DORM. 157 M2+00000000+00000000
+0000000000509070+0000000000000005                                                                                                                                                                                                                                               ADOSADO FASE II, 3 DORM. 145 M2+00000000+00000000
+0000000000693847+0000000000000001                                                                                                                                                                                                                                                     DOS DORMITORIOS DOS BA#OS+00000000+00000000
+0000000000693847+0000000000000002                                                                                                                                                                                                                                                                 UN DORMITORIO+00000000+00000000
+0000000000693847+0000000000000003                                                                                                                                                                                                                                                       DOS DORMITORIOS UN BA#O+00000000+00000000
+0000000000693847+0000000000000004                                                                                                                                                                                                                                                                       GARAJES+00000000+00000000
+0000000000880991+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000000884171+0000000000000001                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000000884171+0000000000000002                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000000
+0000000000884774+0000000000000004                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000000883628+0000000000000001                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000000
+0000000000883628+0000000000000002                                                                                                                                                                                                                                                                     COMERCIAL+00000000+00000000
+0000000000883628+0000000000000003                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000000883628+0000000000000004                                                                                                                                                                                                                                                                      TRASTERO+00000000+00000000
+0000000001433346+0000000000000002                                                                                                                                                                                                                                                                      TRASTERO+00000000+00000000
+0000000000893893+0000000000000005                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001197498+0000000000000002                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000001197498+0000000000000003                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001551976+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000001117214+0000000000000004                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000000
+0000000000894085+0000000000000004                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000000
+0000000000894085+0000000000000002                                                                                                                                                                                                                                                                      TRASTERO+00000000+00000000
+0000000000894085+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000000880757+0000000000000005                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000000
+0000000001572248+0000000000000003                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000000893425+0000000000000003                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000001513541+0000000000000003                                                                                                                                                                                                                                      CHALET ADOSADO DE 2 PLANTAS Y 4 DORMITOR+00000004+00000002
+0000000000880757+0000000000000004                                                                                                                                                                                                                                                  PISO DUPLEX DE 2 DORMITORIOS+00000002+00000000
+0000000000880757+0000000000000003                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000000
+0000000000880757+0000000000000002                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000001467591+0000000000000005                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000000880757+0000000000000006                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000000883628+0000000000000005                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000000884657+0000000000000010                                                                                                                                                                                                                                                                      ESTUDIOS+00000050+00000000
+0000000001576499+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000001576499+0000000000000002                                                                                                                                                                                                                                                                     COMERCIAL+00000000+00000000
+0000000001540547+0000000000000006                                                                                                                                                                                                                                                        PISO DE 66 DORMITORIOS+00000066+00000001
+0000000001540547+0000000000000004                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000000879807+0000000000000003                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000001584841+0000000000000004                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000001584841+0000000000000002                                                                                                                                                                                                                                                                      TRASTERO+00000000+00000000
+0000000001584841+0000000000000005                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001605950+0000000000000001                                                                                                                                                                                                                                      CHALET ADOSADO DE 0 PLANTAS Y 4 DORMITOR+00000004+00000000
+0000000001576499+0000000000000004                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000001576499+0000000000000005                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000000894210+0000000000000003                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001804023+0000000000000002                                                                                                                                                                                                                                      CHALET ADOSADO DE 3 PLANTAS Y 4 DORMITOR+00000004+00000003
+0000000001605950+0000000000000003                                                                                                                                                                                                                                      CHALET ADOSADO DE 3 PLANTAS Y 1 DORMITOR+00000001+00000003
+0000000001584841+0000000000000007                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000001584841+0000000000000008                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000001158510+0000000000000003                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000000880388+0000000000000004                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000001540547+0000000000000008                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001540547+0000000000000007                                                                                                                                                                                                                                                         PISO DE 4 DORMITORIOS+00000004+00000001
+0000000001540547+0000000000000010                                                                                                                                                                                                                                                  PISO DUPLEX DE 2 DORMITORIOS+00000002+00000002
+0000000001540547+0000000000000011                                                                                                                                                                                                                                                  PISO DUPLEX DE 3 DORMITORIOS+00000003+00000002
+0000000001433346+0000000000000003                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000000880757+0000000000000010                                                                                                                                                                                                                                                  PISO DUPLEX DE 2 DORMITORIOS+00000002+00000001
+0000000001745909+0000000000000004                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000001859863+0000000000000001                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000000
+0000000001861626+0000000000000001                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000000
+0000000001861626+0000000000000002                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000001861626+0000000000000003                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000000
+0000000001861626+0000000000000004                                                                                                                                                                                                                                                  PISO DUPLEX DE 2 DORMITORIOS+00000002+00000002
+0000000001861626+0000000000000006                                                                                                                                                                                                                                                                      ESTUDIOS+00000050+00000001
+0000000001433346+0000000000000004                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001871657+0000000000000001                                                                                                                                                                                                                                                            EDIFICIO/COLECTIVO+00000000+00000000
+0000000001875323+0000000000000003                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001774253+0000000000000001                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000001774253+0000000000000002                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000001774253+0000000000000003                                                                                                                                                                                                                                                   PISO DUPLEX DE 1 DORMITORIO+00000001+00000002
+0000000001774253+0000000000000004                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001774253+0000000000000005                                                                                                                                                                                                                                                  PISO DUPLEX DE 3 DORMITORIOS+00000003+00000002
+0000000001875323+0000000000000001                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000001875323+0000000000000002                                                                                                                                                                                                                                                                     COMERCIAL+00000000+00000000
+0000000001861626+0000000000000007                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000001888576+0000000000000004                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000001888576+0000000000000005                                                                                                                                                                                                                                                                      TRASTERO+00000000+00000000
+0000000002213005+0000000000000013                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000002256621+0000000000000004                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000000894210+0000000000000004                                                                                                                                                                                                                                                  PISO DUPLEX DE 3 DORMITORIOS+00000003+00000001
+0000000000894210+0000000000000005                                                                                                                                                                                                                                                                      ESTUDIOS+00000050+00000002
+0000000000894210+0000000000000006                                                                                                                                                                                                                                                  PISO DUPLEX DE 3 DORMITORIOS+00000003+00000002
+0000000002424966+0000000000000001                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000000
+0000000000894210+0000000000000007                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000002818080+0000000000000003                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000002
+0000000003650306+0000000000000002                                                                                                                                                                                                                                                                  APARCAMIENTO+00000000+00000000
+0000000000896520+0000000000000002                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000000896520+0000000000000003                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000001199457+0000000000000002                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001199457+0000000000000003                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000001666509+0000000000000001                                                                                                                                                                                                                                      CHALET ADOSADO DE 2 PLANTAS Y 3 DORMITOR+00000003+00000002
+0000000001125772+0000000000000001                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000001125772+0000000000000002                                                                                                                                                                                                                                                  PISO DUPLEX DE 3 DORMITORIOS+00000003+00000002
+0000000001125772+0000000000000003                                                                                                                                                                                                                                                  PISO DUPLEX DE 2 DORMITORIOS+00000002+00000002
+0000000001125772+0000000000000004                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001125772+0000000000000005                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000000888674+0000000000000001                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000000887528+0000000000000001                                                                                                                                                                                                                                      CHALET ADOSADO DE 3 PLANTAS Y 3 DORMITOR+00000003+00000003
+0000000001883647+0000000000000008                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001883647+0000000000000009                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000000682418+0000000000000005                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000000682418+0000000000000006                                                                                                                                                                                                                                                                      TRASTERO+00000000+00000000
+0000000001805169+0000000000000003                                                                                                                                                                                                                                                  PISO DUPLEX DE 3 DORMITORIOS+00000003+00000002
+0000000001820671+0000000000000015                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000002
+0000000004565865+0000000000000004                                                                                                                                                                                                                                                  PISO DUPLEX DE 3 DORMITORIOS+00000003+00000002
+0000000004549451+0000000000000001                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000004549451+0000000000000002                                                                                                                                                                                                                                                  PISO DUPLEX DE 2 DORMITORIOS+00000002+00000002
+0000000004549451+0000000000000003                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000004560216+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000004560216+0000000000000002                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000004560216+0000000000000003                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000004565865+0000000000000002                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000004565865+0000000000000003                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000005162804+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005162804+0000000000000002                                                                                                                                                                                                                                                                      TRASTERO+00000000+00000000
+0000000005162804+0000000000000003                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000005162804+0000000000000004                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000005164142+0000000000000001                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000005164142+0000000000000002                                                                                                                                                                                                                                                                     COMERCIAL+00000000+00000000
+0000000005164142+0000000000000003                                                                                                                                                                                                                                                  PISO DUPLEX DE 3 DORMITORIOS+00000003+00000002
+0000000005164259+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005164259+0000000000000002                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000005164259+0000000000000003                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000005164493+0000000000000001                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005164493+0000000000000002                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000005164493+0000000000000003                                                                                                                                                                                                                                                          PISO DE 1 DORMITORIO+00000001+00000001
+0000000005164493+0000000000000004                                                                                                                                                                                                                                                         PISO DE 4 DORMITORIOS+00000004+00000001
+0000000005164862+0000000000000001                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000005164862+0000000000000002                                                                                                                                                                                                                                                                        GARAJE+00000000+00000000
+0000000005164862+0000000000000003                                                                                                                                                                                                                                                                      TRASTERO+00000000+00000000
+0000000005176501+0000000000000001                                                                                                                                                                                                                                                         PISO DE 3 DORMITORIOS+00000003+00000001
+0000000005176501+0000000000000002                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
+0000000005177647+0000000000000001                                                                                                                                                                                                                                                         PISO DE 2 DORMITORIOS+00000002+00000001
