ORDEN;INTERFAZ;NOMBRE_CAMPO;TIPO_CAMPO;REQUERIDO;REQUERIDO_BOL;COMENTARIO
1;ACTIVO_ADJ_JUDICIAL;ACT_NUMERO_ACTIVO;NUMBER(16,0);SI;;Código identificador único del activo.
2;ACTIVO_ADJ_JUDICIAL;ENTIDAD_EJECUTANTE;VARCHAR2(20 CHAR);SI;;Entidad ejecutante de la hipoteca.
3;ACTIVO_ADJ_JUDICIAL;ESTADO_ADJUDICACION;VARCHAR2(20 CHAR);SI;;Estado de adjudicación el activo
4;ACTIVO_ADJ_JUDICIAL;AJD_FECHA_ADJUDICACION;DATE;SI*;;Fecha de adjudicación del activo.
5;ACTIVO_ADJ_JUDICIAL;AJD_FECHA_DECRETO_FIRME;DATE;SI*;;Fecha firmeza auto adjudicación del activo.
6;ACTIVO_ADJ_JUDICIAL;AJD_FECHA_REA_POSESION;DATE;SI;;Fecha toma de realización posesión del activo.
7;ACTIVO_ADJ_JUDICIAL;AJD_IMPORTE_ADJUDICACION;NUMBER(16,2);SI;;Importe de adjudicación del activo
8;ACTIVO_ADJ_JUDICIAL;JUZGADO;VARCHAR2(50 CHAR);SI;;Juzgado que adjudicó el activo.
9;ACTIVO_ADJ_JUDICIAL;PLAZA_JUZGADO;VARCHAR2(30 CHAR);NO;;Plaza del juzgado que adjudicó el activo
10;ACTIVO_ADJ_JUDICIAL;AJD_NUM_AUTO;VARCHAR2(50 CHAR);SI;;Número de auto en el que se adjudicó el activo.
11;ACTIVO_ADJ_JUDICIAL;AJD_PROCURADOR;VARCHAR2(100 CHAR);SI;;Nombre del procurador que intervino en el proceso de adjudicación del activo.
12;ACTIVO_ADJ_JUDICIAL;AJD_LETRADO;VARCHAR2(100 CHAR);SI;;Nombre del letrado que intervino en el proceso de adjudicación del activo.
13;ACTIVO_ADJ_JUDICIAL;AJD_ID_ASUNTO;NUMBER(16,0);SI;;Código identificador único del asunto
14;ACTIVO_ADJ_JUDICIAL;AJD_EXP_DEF_TESTI;NUMBER(4,0);NO;;Expedientes con Defectos Testimonio
15;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_DECRETO_N_FIRME;DATE;NO;;Fecha auto adjudicación del activo.
16;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_INSCRIP_TITULO;DATE;SI;;Fecha de inscripción en el registro.
17;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_ENVIO_ADICION;DATE;NO;;Fecha envío auto para adición.
18;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_SOL_POSESION;DATE;NO;;
19;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_SEN_POSESION;DATE;NO;;
20;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_REA_POSESION;DATE;SI;;Fecha toma de posesión del activo voluntaria.
21;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_SOL_LANZAMIENTO;DATE;NO;;
22;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_SEN_LANZAMIENTO;DATE;NO;;
23;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_REA_LANZAMIENTO;DATE;NO;;Fecha toma de posesión inicial del activo forzada.
24;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_SOL_MORATORIA;DATE;SI;;
25;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_RES_MORATORIA;DATE;SI;;
26;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_CONTRATO_ARREN;DATE;SI;;Fecha título posesorio  de arrendamiento del activo.
27;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_CAMBIO_CERRADURA;DATE;NO;;
28;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_ENVIO_LLAVES;DATE;NO;;
29;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_RECEP_DEPOSITARIO;DATE;NO;;
30;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_ENVIO_DEPOSITARIO;DATE;NO;;
31;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_OCUPADO;NUMBER(1,0);SI*;;
32;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_POSIBLE_POSESION;NUMBER(1,0);NO;;
33;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_OCUPANTES_DILIGENCIA;NUMBER(1,0);NO;;
34;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_LANZAMIENTO_NECES;NUMBER(1,0);NO;;
35;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_ENTREGA_VOLUNTARIA;NUMBER(1,0);NO;;
36;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_NECESARIA_FUERA_PUB;NUMBER(1,0);NO;;
37;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_EXISTE_INQUILINO;NUMBER(1,0);SI*;;Indica si el activo esta ocupado con titulo arrendamiento o no.
38;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_LLAVES_NECESARIAS;NUMBER(1,0);NO;;Indica si son necesarias llaves para acceder al activo o no.
39;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_GESTORIA_ADJUDIC;NUMBER(16,0);SI;;
40;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_NOMBRE_ARRENDATARIO;VARCHAR2(50 CHAR);SI*;;Indica el nombre del arrendatario.
41;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_NOMBRE_DEPOSITARIO;VARCHAR2(50 CHAR);NO;;
42;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_NOMBRE_DEPOSITARIO_F;VARCHAR2(50 CHAR);NO;;
43;ACTIVO_ADJ_JUDICIAL;DD_EAD_ID;VARCHAR2(20 CHAR);SI;;Entidad de adjudicación
44;ACTIVO_ADJ_JUDICIAL;DD_SIT_ID;VARCHAR2(20 CHAR);SI;;Situación titulo.
45;ACTIVO_ADJ_JUDICIAL;DD_FAV_ID;VARCHAR2(20 CHAR);NO;;favorable
46;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_RECEP_DEPOSITARIO_F;DATE;NO;;Fecha recepción de las llaves del activo.
47;ACTIVO_ADJ_JUDICIAL;DD_TFO_ID;VARCHAR2(20 CHAR);NO;;Tipo de fondo.
48;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_REQ_SUBSANACION;NUMBER(1,0);NO;;
49;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_NOTIF_DEMANDADOS;NUMBER(1,0);NO;;
50;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_REV_PROP_CAN;DATE;SI*;;
51;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_PROP_CAN;DATE;SI*;;
52;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_REV_CARGAS;DATE;SI*;;
53;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_PRES_INS_ECO;DATE;SI*;;
54;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_PRES_INS;DATE;SI*;;
55;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_CAN_REG_ECO;DATE;SI*;;Fecha de cancelación económica de una carga registral.
56;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_CAN_REG;DATE;SI*;;Fecha de cancelación registral.
57;ACTIVO_ADJ_JUDICIAL;BIE_ADJ_F_CAN_ECO;DATE;SI*;;Fecha de cancelación económica de una carga economica.
