ORDEN;INTERFAZ;NOMBRE_CAMPO;TIPO_CAMPO;REQUERIDO;REQUERIDO_BOL;COMENTARIO
1;ADMISION_DOCUMENTO;ACT_NUMERO_ACTIVO;NUMBER(16,0);SI;;Código identificador único del activo..
2;ADMISION_DOCUMENTO;TIPO_DOCUMENTO;VARCHAR2(20 CHAR);SI;;Tipo de documento (Código según Dic. Datos).
3;ADMISION_DOCUMENTO;ESTADO_DOCUMENTO;VARCHAR2(20 CHAR);SI;;Estado de documento (Código según Dic. Datos).
4;ADMISION_DOCUMENTO;ADO_APLICA;NUMBER(1,0);SI;;Indicador si aplica o no obligatoriedad al documento
5;ADMISION_DOCUMENTO;ADO_NUM_DOCUMENTO;NUMBER(16,0);SI;;Número del documento.
6;ADMISION_DOCUMENTO;ADO_FECHA_VERIFICACION;DATE;NO;;Fecha verificación  del documento.
7;ADMISION_DOCUMENTO;ADO_FECHA_SOLICITUD;DATE;NO;;Fecha solicitud del documento.
8;ADMISION_DOCUMENTO;ADO_FECHA_EMISION;DATE;NO;;Fecha emisión del documento.
9;ADMISION_DOCUMENTO;ADO_FECHA_OBTENCION;DATE;SI;;Fecha obtención del documento.
10;ADMISION_DOCUMENTO;ADO_FECHA_CADUCIDAD;DATE;SI;;Fecha caducidad del documento.
11;ADMISION_DOCUMENTO;ADO_FECHA_ETIQUETA;DATE;NO;;Fecha etiqueta del documento.
12;ADMISION_DOCUMENTO;ADO_FECHA_CALIFICACION;DATE;SI;;Fecha calificación energética del documento.
13;ADMISION_DOCUMENTO;ADO_CALIFICACION;VARCHAR2(20 CHAR);SI;;Calificación energética documento (Código según Dic. Datos).
14;ADMISION_DOCUMENTO;ADO_REF_DOC;VARCHAR2(50 CHAR);SI;;Referencia del documento
