ORDEN;INTERFAZ;NOMBRE_CAMPO;TIPO_CAMPO;REQUERIDO;REQUERIDO_BOL;COMENTARIO
1;CALIDADES_ACTIVO;ACT_NUMERO_ACTIVO;NUMBER(16,0);SI;;Código identificador único del activo.
2;CALIDADES_ACTIVO;CRI_PTA_ENT_NORMAL;NUMBER(1,0);NO;;Indicador del estado de la puerta de la entrada normal.
3;CALIDADES_ACTIVO;CRI_PTA_ENT_BLINDADA;NUMBER(1,0);NO;;Indicador del estado de la puerta de la entrada blindada.
4;CALIDADES_ACTIVO;CRI_PTA_ENT_ACORAZADA;NUMBER(1,0);NO;;Indicador del estado de la puerta de la entrada acorazada.
5;CALIDADES_ACTIVO;CRI_PTA_PASO_MACIZAS;NUMBER(1,0);NO;;Indicador del estado de las puertas de paso macizas.
6;CALIDADES_ACTIVO;CRI_PTA_PASO_HUECAS;NUMBER(1,0);NO;;Indicador del estado de las puertas de paso huecas.
7;CALIDADES_ACTIVO;CRI_PTA_PASO_LACADAS;NUMBER(1,0);NO;;Indicador del estado de las puertas de paso lacadas.
8;CALIDADES_ACTIVO;CRI_ARMARIOS_EMPOTRADOS;NUMBER(1,0);NO;;Indicador si existen armarios empotrados.
9;CALIDADES_ACTIVO;NIVEL_ACABADO_INTERIOR;VARCHAR2(20 CHAR);NO;;Nivel de acabado interior
10;CALIDADES_ACTIVO;CRI_CRP_INT_OTROS;VARCHAR2(250 CHAR);NO;;Descripción de otro tipo de calidad relacionado con la carpintería interior.
11;CALIDADES_ACTIVO;CRE_VTNAS_HIERRO;NUMBER(1,0);NO;;Indicador del estado de las ventanas de hierro.
12;CALIDADES_ACTIVO;CRE_VTNAS_ALU_ANODIZADO;NUMBER(1,0);NO;;Indicador del estado de las ventanas de aluminio anodizado.
13;CALIDADES_ACTIVO;CRE_VTNAS_ALU_LACADO;NUMBER(1,0);NO;;Indicador del estado de las ventanas de aluminio lacado en blanco.
14;CALIDADES_ACTIVO;CRE_VTNAS_PVC;NUMBER(1,0);NO;;Indicador del estado de las ventanas de PVC.
15;CALIDADES_ACTIVO;CRE_VTNAS_MADERA;NUMBER(1,0);NO;;Indicador del estado de las ventanas de madera.
