ORDEN;INTERFAZ;NOMBRE_CAMPO;TIPO_CAMPO;REQUERIDO;REQUERIDO_BOL;COMENTARIO
1;TASACIONES_ACTIVOS;ACT_NUMERO_ACTIVO;NUMBER(16,0);SI;;Código identificador único del activo.
2;TASACIONES_ACTIVOS;TAS_CODIGO_TASA_EXTERNO;NUMBER(16,0);SI;;Código de tasación del activo en EXTERNO
3;TASACIONES_ACTIVOS;TAS_TIPO_TASACION;VARCHAR2(20 CHAR);SI;;Tipo de tasación del activo
4;TASACIONES_ACTIVOS;TAS_FECHA_INI_TASACION;DATE;SI;;Fecha de inicio de la tasación.
5;TASACIONES_ACTIVOS;TAS_FECHA_FIN_TASACION;DATE;SI;;Fecha en la que se realizó la tasación. (Fecha Fin)
6;TASACIONES_ACTIVOS;TAS_F_SOL_TASACION;DATE;NO;;Fecha solicitud  tasación.
7;TASACIONES_ACTIVOS;TAS_IMPORTE_VALOR_TASACION;NUMBER(16,2);SI;;Importe de la última tasación realizada sobre el activo.
8;TASACIONES_ACTIVOS;TAS_FECHA_RECEPCION_TASACION;DATE;NO;;Fecha de recepción de la tasación.
9;TASACIONES_ACTIVOS;TAS_CODIGO_FIRMA;NUMBER(16,0);NO;;Código de la firma tasadora.
10;TASACIONES_ACTIVOS;TAS_NOMBRE_TASADOR;VARCHAR2(100 CHAR);NO;;Nombre del tasador.
11;TASACIONES_ACTIVOS;TAS_IMPORTE_TAS_FIN;NUMBER(16,2);NO;;Importe tasación finalizado.
12;TASACIONES_ACTIVOS;TAS_COSTE_REPO_NETO_ACTUAL;NUMBER(16,2);NO;;Coste reposición neto actual.
13;TASACIONES_ACTIVOS;TAS_COSTE_REPO_NETO_FINALIZADO;NUMBER(16,2);NO;;Coste reposición neto finalizado.
14;TASACIONES_ACTIVOS;TAS_COEF_MERCADO_ESTADO;NUMBER(16,2);NO;;Coeficiente de mercado estado.
15;TASACIONES_ACTIVOS;TAS_COEF_MERCADO_ESTADO_HOMO;NUMBER(16,2);NO;;Coeficiente de mercado es-tado homogeneizado.
16;TASACIONES_ACTIVOS;TAS_COEF_POND_VALOR_ANYADIDO;NUMBER(16,2);NO;;Coeficiente ponderación valor añadido.
17;TASACIONES_ACTIVOS;TAS_VALOR_REPER_SUELO_CONST;NUMBER(16,2);NO;;Valor repercusión suelo construido.
18;TASACIONES_ACTIVOS;TAS_COSTE_CONST_CONST;NUMBER(16,2);NO;;Coste construcción construido.
19;TASACIONES_ACTIVOS;TAS_INDICE_DEPRE_FISICA;NUMBER(16,2);NO;;Índice depreciación física.
20;TASACIONES_ACTIVOS;TAS_INDICE_DEPRE_FUNCIONAL;NUMBER(16,2);NO;;Índice depreciación funcional.
21;TASACIONES_ACTIVOS;TAS_INDICE_TOTAL_DEPRE;NUMBER(16,2);NO;;Índice total depreciación.
22;TASACIONES_ACTIVOS;TAS_COSTE_CONST_DEPRE;NUMBER(16,2);NO;;Coste construcción depreciada.
23;TASACIONES_ACTIVOS;TAS_COSTE_UNI_REPO_NETO;NUMBER(16,2);NO;;Coste unitario reposición neto.
24;TASACIONES_ACTIVOS;TAS_COSTE_REPOSICION;NUMBER(16,2);NO;;Coste reposición.
25;TASACIONES_ACTIVOS;TAS_PORCENTAJE_OBRA;NUMBER(5,2);NO;;Porcentaje de obra.
26;TASACIONES_ACTIVOS;TAS_IMPORTE_VALOR_TER;NUMBER(16,2);NO;;Importe valor terminado.
27;TASACIONES_ACTIVOS;TAS_ID_TEXTO_ASOCIADO;NUMBER(16,0);NO;;Identificador de texto asociado.
28;TASACIONES_ACTIVOS;TAS_IMPORTE_VAL_LEGAL_FINCA;NUMBER(16,2);NO;;Importe valor legal finca.
29;TASACIONES_ACTIVOS;TAS_IMPORTE_VAL_SOLAR;NUMBER(16,2);NO;;Importe valor solar.
30;TASACIONES_ACTIVOS;TAS_OBSERVACIONES;VARCHAR2(512 CHAR);SI*;;Observaciones referentes a la tasación.
31;TASACIONES_ACTIVOS;TAS_VALOR_VENTA_RAPIDA;NUMBER(16,2);NO;;Valor de venta rápida del activo
32;TASACIONES_ACTIVOS;TAS_VALOR_MERCADO;NUMBER(16,2);NO;;Valor de Mercado
33;TASACIONES_ACTIVOS;TAS_VALOR_SEGURO;NUMBER(16,2);NO;;Valor de Seguro
34;TASACIONES_ACTIVOS;TAS_VALOR_LIQUIDATIVO;NUMBER(16,2);NO;;Valor Liquidativo
35;TASACIONES_ACTIVOS;TAS_PORCENTAJE_AJUSTE;NUMBER(5,2);NO;;Porcentaje de ajuste
36;TASACIONES_ACTIVOS;TAS_TASACION_MODIFICADA;NUMBER(13,2);NO;;Tasación modificada
37;TASACIONES_ACTIVOS;TAS_CIF_TASADOR;VARCHAR2(15 CHAR);SI;;Cif de la Empresa Tasadora
38;TASACIONES_ACTIVOS;TAS_EXPEDIENTE_EXTERNO;VARCHAR2(30 CHAR);NO;;Expediente
39;TASACIONES_ACTIVOS;TAS_TECNICO_TASADOR;VARCHAR2(50 CHAR);NO;;Tasador
40;TASACIONES_ACTIVOS;TAS_FECHA_CADUCIDAD;DATE;SI;;Fecha de Caducidad
41;TASACIONES_ACTIVOS;TAS_TASACION_ACTIVA;VARCHAR2(1 CHAR);NO;;Tasación Activa
