ORDEN;INTERFAZ;NOMBRE_CAMPO;TIPO_CAMPO;REQUERIDO;REQUERIDO_BOL;COMENTARIO
1;ACTIVO_DATOSADICIONALES;ACT_NUMERO_ACTIVO;NUMBER(16,0);NO;;Código identificador único del activo.
2;ACTIVO_DATOSADICIONALES;TIPO_VPO;VARCHAR2(20 CHAR);NO;;Tipo de vpo
3;ACTIVO_DATOSADICIONALES;ADM_SUELO_VPO;NUMBER(1,0);NO;;Indicador de si el activo puede ser vpo o no.
4;ACTIVO_DATOSADICIONALES;ADM_PROMOCION_VPO;NUMBER(1,0);NO;;Indicador de si el activo puede ser promocionado a vpo o no.
5;ACTIVO_DATOSADICIONALES;ADM_NUM_EXPEDIENTE;VARCHAR2(50 CHAR);NO;;Número de expediente/vpo/vpt
6;ACTIVO_DATOSADICIONALES;ADM_FECHA_CALIFICACION;DATE;NO;;Fecha de calificación vpo.
7;ACTIVO_DATOSADICIONALES;ADM_OBLIGATORIO_SOL_DEV_AYUDA;NUMBER(1,0);NO;;Indicador de si el activo requiere que se realice solicitud para la devolución de ayudas o no.
8;ACTIVO_DATOSADICIONALES;ADM_OBLIG_AUT_ADM_VENTA;NUMBER(1,0);NO;;Indicador de si el activo requiere una autorización administrativa para la venta o no.
9;ACTIVO_DATOSADICIONALES;ADM_DESCALIFICADO;NUMBER(1,0);NO;;Indicador de si el activo esta descalificado o no.
10;ACTIVO_DATOSADICIONALES;ADM_MAX_PRECIO_VENTA;NUMBER(16,2);NO;;Precio máximo de venta vpo.
11;ACTIVO_DATOSADICIONALES;ADM_OBSERVACIONES;VARCHAR2(2000 CHAR);NO;;Observaciones sobre la información administrativa.
12;ACTIVO_DATOSADICIONALES;ADM_SUJETO_A_EXPEDIENTE;NUMBER(1,0);NO;;
13;ACTIVO_DATOSADICIONALES;ADM_ORGANISMO_EXPROPIANTE;VARCHAR2(100 CHAR);NO;;
14;ACTIVO_DATOSADICIONALES;ADM_FECHA_INI_EXPEDIENTE;DATE;NO;;
15;ACTIVO_DATOSADICIONALES;ADM_REF_EXPDTE_ADMIN;VARCHAR2(50 CHAR);NO;;
16;ACTIVO_DATOSADICIONALES;ADM_REF_EXPDTE_INTERNO;VARCHAR2(50 CHAR);NO;;
17;ACTIVO_DATOSADICIONALES;ADM_OBS_EXPROPIACION;VARCHAR2(512 CHAR);NO;;
18;ACTIVO_DATOSADICIONALES;SPS_FECHA_REVISION_ESTADO;DATE;NO;;Última fecha de revisión del estado posesorio del activo.
19;ACTIVO_DATOSADICIONALES;SPS_FECHA_TOMA_POSESION;DATE;NO;;Fecha de toma de posesión del activo.
20;ACTIVO_DATOSADICIONALES;SPS_OCUPADO;NUMBER(1,0);NO;;Indicador de si el activo está ocupado o no.
21;ACTIVO_DATOSADICIONALES;SPS_CON_TITULO;NUMBER(1,0);NO;;Indicador de si el activo dispone de título.
22;ACTIVO_DATOSADICIONALES;SPS_ACC_TAPIADO;NUMBER(1,0);NO;;Indicador acceso al activo está tapiado.
23;ACTIVO_DATOSADICIONALES;SPS_FECHA_ACC_TAPIADO;DATE;NO;;Fecha acceso al activo está tapiado.
24;ACTIVO_DATOSADICIONALES;SPS_ACC_ANTIOCUPA;NUMBER(1,0);NO;;Indicador acceso al activo está con puerta antiocupa.
25;ACTIVO_DATOSADICIONALES;SPS_FECHA_ACC_ANTIOCUPA;DATE;NO;;Fecha acceso al activo está con puerta antiocupa.
26;ACTIVO_DATOSADICIONALES;SPS_RIESGO_OCUPACION;NUMBER(1,0);NO;;Indicador de si el activo tiene riesgo de ocupación.
27;ACTIVO_DATOSADICIONALES;TIPO_TITULO_POSESORIO;VARCHAR2(20 CHAR);NO;;Tipo de título posesorio
28;ACTIVO_DATOSADICIONALES;SPS_FECHA_TITULO;DATE;NO;;Fecha del título posesorio.
29;ACTIVO_DATOSADICIONALES;SPS_FECHA_VENC_TITULO;DATE;NO;;Fecha de vencimiento del título posesorio.
30;ACTIVO_DATOSADICIONALES;SPS_RENTA_MENSUAL;NUMBER(16,2);NO;;Importe de renta mensual del activo.
31;ACTIVO_DATOSADICIONALES;SPS_FECHA_SOL_DESAHUCIO;DATE;NO;;Fecha de solicitud de desahucio.
32;ACTIVO_DATOSADICIONALES;SPS_FECHA_LANZAMIENTO;DATE;NO;;Fecha de señalamiento de lanzamiento.
33;ACTIVO_DATOSADICIONALES;SPS_FECHA_LANZAMIENTO_EFECTIVO;DATE;NO;;Fecha de lanzamiento efectuado.
34;ACTIVO_DATOSADICIONALES;SPS_OTRO;VARCHAR2(255 CHAR);NO;;Texto libre condicionante disponibilidad.
35;ACTIVO_DATOSADICIONALES;SPS_ESTADO_PORTAL_EXTERNO;NUMBER(1,0);NO;;Indica el estado de publicación en portales externos.
36;ACTIVO_DATOSADICIONALES;SPS_NUMERO_CONTRATO_ALQUILER;NUMBER(16,0);NO;;Número de contrato de alquiler
37;ACTIVO_DATOSADICIONALES;SPS_FECHA_RESOLUCION_CONTRATO;DATE;NO;;Fecha de resolución del contrato.
