ORDEN;INTERFAZ;NOMBRE_CAMPO;TIPO_CAMPO;REQUERIDO;REQUERIDO_BOL;COMENTARIO
1;CARGAS_ACTIVO;ACT_NUMERO_ACTIVO;NUMBER(16,0);NO;;Código identificador único del activo.
2;CARGAS_ACTIVO;TIPO_CARGA;VARCHAR2(20 CHAR);NO;;Tipo de carga del activo
3;CARGAS_ACTIVO;SUBTIPO_CARGA;VARCHAR2(20 CHAR);NO;;Subtipo de carga del activo
4;CARGAS_ACTIVO;CRG_DESCRIPCION;VARCHAR2(200 CHAR);NO;;Descripción corta de la carga.
5;CARGAS_ACTIVO;CRG_ORDEN;NUMBER(8,0);NO;;Número identificador del orden de la carga.
6;CARGAS_ACTIVO;SITUACION_CARGA;VARCHAR2(20 CHAR);NO;;Situación o estado de la carga del activo
7;CARGAS_ACTIVO;CRG_TITULAR;VARCHAR2(50 CHAR);NO;;Nombre descriptivo del titular de la carga.
8;CARGAS_ACTIVO;CRG_IMPORTE_REGISTRAL;NUMBER(16,2);NO;;Importe registral de la carga.
9;CARGAS_ACTIVO;CRG_IMPORTE_ECONOMICO;NUMBER(16,2);NO;;Importe económico de la carga.
10;CARGAS_ACTIVO;CRG_FECHA_INSCRIPCION;DATE;NO;;Fecha de inscripción de la carga en registro.
11;CARGAS_ACTIVO;CRG_FECHA_CANCELACION;DATE;NO;;Fecha de cancelación económica de la carga.
12;CARGAS_ACTIVO;CRG_FECHA_PRESENTACION;DATE;NO;;Fecha de presentación de la cancelación de la carga.
13;CARGAS_ACTIVO;CRG_FECHA_CANCEL_REGISTRAL;DATE;NO;;Fecha cancelación registral
14;CARGAS_ACTIVO;DD_ODT_ID;VARCHAR2(20 CHAR);NO;;Id Origen Dato de la Carga.
15;CARGAS_ACTIVO;CRG_OBSERVACIONES;VARCHAR2(256 CHAR);NO;;
16;CARGAS_ACTIVO;CRG_CARGAS_PROPIAS;NUMBER(1,0);NO;;
