ID HAYA;ID SERVICER;ID INMUEBLE BS
7033546;3049355805;3049355805
7033547;3049355807;3049355807
7033548;3052955966;3052955966
7033549;3053056805;3053056805
7033550;3071960093;3071960093
7033551;3090061561;3090061561
7033552;3090761520;3090761520
7033553;3094261942;3094261942
7033554;3100463118;3100463118
7033555;3106763447;3106763447
7033556;3116364090;3116364090
7033557;3118765065;3118765065
7033558;3122465622;3122465622
7033559;3126765644;3126765644
7033560;3139368466;3139368466
7033561;3139968481;3139968481
7033562;3143169279;3143169279
7033563;3144469283;3144469283
7033564;3145169287;3145169287
7033565;3148270424;3148270424
7033566;3150470453;3150470453
7033567;3154070943;3154070943
7033568;3156271552;3156271552
7033569;3161071834;3161071834
7033570;3164872892;3164872892
7033571;3165273571;3165273571
7033572;3168473898;3168473898
7033573;3170674763;3170674763
7033574;3173475191;3173475191
7033575;3177076456;3177076456
7033576;3180677545;3180677545
7033577;3181677979;3181677979
7033578;3182378147;3182378147
7033579;3184179825;3184179825
7033580;3184479819;3184479819
7033581;3186080804;3186080804
7033582;3186381625;3186381625
7033583;3187583444;3187583444
7033584;3187583445;3187583445
7033585;3187984364;3187984364
7033586;3188384359;3188384359
7033587;3190886355;3190886355
7033588;3196887950;3196887950
7033589;3199489184;3199489184
7033590;3200489290;3200489290
7033591;3201189684;3201189684
7033592;3205291508;3205291508
7033593;3207492361;3207492361
7033594;3207992368;3207992368
7033595;3208092905;3208092905
7033596;3210793520;3210793520
7033597;3211093527;3211093527
7033598;3214394834;3214394834
7033599;3214894851;3214894851
7033600;3215794888;3215794888
7033601;3217995362;3217995362
7033602;3218595979;3218595979
7033603;3220496669;3220496669
7036541;32219200682;32219200682
7036542;32251203128;32251203128
7036543;32253203131;32253203131
7036544;32268203659;32268203659
7036545;32270204372;32270204372
7036546;32282205011;32282205011
7036547;32288205003;32288205003
7036548;32309205722;32309205722
7036549;32318206431;32318206431
7036550;32321207617;32321207617
7036551;32326206442;32326206442
7036552;32337207454;32337207454
7036553;32349208143;32349208143
7036554;32356208124;32356208124
7036555;32387209510;32387209510
7036556;32389209513;32389209513
7036557;32401210793;32401210793
7036558;32432211447;32432211447
7036559;32454212120;32454212120
7036560;32470213868;32470213868
7036561;32475213873;32475213873
7036562;32480214829;32480214829
7036563;32482214831;32482214831
7036564;32490214838;32490214838
7036565;32493214837;32493214837
7036566;32494214844;32494214844
7036567;32508215638;32508215638
7036568;32510215643;32510215643
7036569;32515216533;32515216533
7036570;32521216530;32521216530
7036571;32526216543;32526216543
7036572;32528217259;32528217259
7036573;32531217263;32531217263
7036574;32549217790;32549217790
7036575;32551217788;32551217788
7036576;32568219098;32568219098
7036577;32571219655;32571219655
7036578;32572219644;32572219644
7036579;32578219656;32578219656
7036580;32584220697;32584220697
7036581;32594220711;32594220711
7036582;32596221108;32596221108
7036583;32599221112;32599221112
7036584;32600221114;32600221114
7036585;32600221115;32600221115
7036586;32606221568;32606221568
7036587;32606221569;32606221569
7036588;32608221570;32608221570
7036589;32610221573;32610221573
7036590;32631222674;32631222674
7036591;32632222675;32632222675
7036592;32635223164;32635223164
7036593;32635223165;32635223165
7036594;32645223177;32645223177
7036595;32650223184;32650223184
7036596;32657223590;32657223590
7036597;32663223949;32663223949
7036598;32666223952;32666223952
7036599;32669224583;32669224583
7036600;32670224584;32670224584
7036601;32671224585;32671224585
7036602;32674224886;32674224886
7036603;32678225478;32678225478
7036604;32679225466;32679225466
7036605;32680225474;32680225474
7036606;32681225476;32681225476
7036607;32682225479;32682225479
7036608;32683225475;32683225475
7036609;32685225481;32685225481
7036610;32686225472;32686225472
7036611;32687225470;32687225470
7036612;32687225471;32687225471
7036613;32688225480;32688225480
