Cartera|Subcartera|Zona (provincia)|Tipo de trabajo|Subtipo de trabajo|Codigo proveedor|Proveedor por defecto (0/1)
07|138|Cádiz|Actuación técnica||B23657521|10004312
07|138|Córdoba|Actuación técnica||B23657521|10004312
07|138|Granada|Actuación técnica||B23657521|10004312
07|138|Huelva|Actuación técnica||B23657521|10004312
07|138|Jaén|Actuación técnica||B23657521|10004312
07|138|Málaga|Actuación técnica||B23657521|10004312
07|138|Sevilla|Actuación técnica||B23657521|10004312
07|138|Almería|Actuación técnica||B23657521|10004312
07|138|Huesca|Actuación técnica||B23657521|10004312
07|138|Teruel|Actuación técnica||B23657521|10004312
07|138|Zaragoza|Actuación técnica||B23657521|10004312
07|138|Asturias|Actuación técnica||B23657521|10004312
07|138|Baleares|Actuación técnica||B23657521|10004312
07|138|Las Palmas|Actuación técnica||B23657521|10004312
07|138|Santa C. Tenerife|Actuación técnica||B23657521|10004312
07|138|Cantabria|Actuación técnica||B23657521|10004312
07|138|Avila|Actuación técnica||B23657521|10004312
07|138|Burgos|Actuación técnica||B23657521|10004312
07|138|León|Actuación técnica||B23657521|10004312
07|138|Palencia|Actuación técnica||B23657521|10004312
07|138|Salamanca|Actuación técnica||B23657521|10004312
07|138|Segovia|Actuación técnica||B23657521|10004312
07|138|Soria|Actuación técnica||B23657521|10004312
07|138|Valladolid|Actuación técnica||B23657521|10004312
07|138|Zamora|Actuación técnica||B23657521|10004312
07|138|Albacete|Actuación técnica||B98493190|24
07|138|CiudadReal|Actuación técnica||B98493190|24
07|138|Cuenca|Actuación técnica||B98493190|24
07|138|Guadalajara|Actuación técnica||B98493190|24
07|138|Toledo|Actuación técnica||B98493190|24
07|138|Barcelona|Actuación técnica||B60546611|10007315
07|138|Girona|Actuación técnica||B60546611|10007315
07|138|Lleida|Actuación técnica||B60546611|10007315
07|138|Tarragona|Actuación técnica||B60546611|10007315
07|138|Alicante|Actuación técnica||B98493190|24
07|138|Castellón|Actuación técnica||B98493190|24
07|138|Valencia|Actuación técnica||B98493190|24
07|138|Badajoz|Actuación técnica||B23657521|10004312
07|138|Cáceres|Actuación técnica||B23657521|10004312
07|138|A Coruña|Actuación técnica||B23657521|10004312
07|138|Lugo|Actuación técnica||B23657521|10004312
07|138|Ourense|Actuación técnica||B23657521|10004312
07|138|Pontevedra|Actuación técnica||B23657521|10004312
07|138|Madrid|Actuación técnica||B23657521|10004312
07|138|Murcia|Actuación técnica||B98493190|24
07|138|Navarra|Actuación técnica||B23657521|10004312
07|138|Álava|Actuación técnica||B23657521|10004312
07|138|Vizcaya|Actuación técnica||B23657521|10004312
07|138|Guipúzcoa|Actuación técnica||B23657521|10004312
07|138|La Rioja|Actuación técnica||B23657521|10004312
07|138|Ceuta|Actuación técnica||B23657521|10004312
07|138|Melilla|Actuación técnica||B23657521|10004312
07|138|Cádiz|Obtención documentación||B23657521|10026352
07|138|Córdoba|Obtención documentación||B23657521|10026352
07|138|Granada|Obtención documentación||B23657521|10026352
07|138|Huelva|Obtención documentación||B23657521|10026352
07|138|Jaén|Obtención documentación||B23657521|10026352
07|138|Málaga|Obtención documentación||B23657521|10026352
07|138|Sevilla|Obtención documentación||B23657521|10026352
07|138|Almería|Obtención documentación||B23657521|10026352
07|138|Huesca|Obtención documentación||B23657521|10026352
07|138|Teruel|Obtención documentación||B23657521|10026352
07|138|Zaragoza|Obtención documentación||B23657521|10026352
07|138|Asturias|Obtención documentación||B23657521|10026352
07|138|Baleares|Obtención documentación||B23657521|10026352
07|138|Las Palmas|Obtención documentación||B23657521|10026352
07|138|Santa C. Tenerife|Obtención documentación||B23657521|10026352
07|138|Cantabria|Obtención documentación||B23657521|10026352
07|138|Avila|Obtención documentación||B23657521|10026352
07|138|Burgos|Obtención documentación||B23657521|10026352
07|138|León|Obtención documentación||B23657521|10026352
07|138|Palencia|Obtención documentación||B23657521|10026352
07|138|Salamanca|Obtención documentación||B23657521|10026352
07|138|Segovia|Obtención documentación||B23657521|10026352
07|138|Soria|Obtención documentación||B23657521|10026352
07|138|Valladolid|Obtención documentación||B23657521|10026352
07|138|Zamora|Obtención documentación||B23657521|10026352
07|138|Albacete|Obtención documentación||B98493190|24
07|138|CiudadReal|Obtención documentación||B98493190|24
07|138|Cuenca|Obtención documentación||B98493190|24
07|138|Guadalajara|Obtención documentación||B98493190|24
07|138|Toledo|Obtención documentación||B98493190|24
07|138|Barcelona|Obtención documentación||B60546611|10007315
07|138|Girona|Obtención documentación||B60546611|10007315
07|138|Lleida|Obtención documentación||B60546611|10007315
07|138|Tarragona|Obtención documentación||B60546611|10007315
07|138|Alicante|Obtención documentación||B98493190|24
07|138|Castellón|Obtención documentación||B98493190|24
07|138|Valencia|Obtención documentación||B98493190|24
07|138|Badajoz|Obtención documentación||B23657521|10026352
07|138|Cáceres|Obtención documentación||B23657521|10026352
