Cartera|Subcartera|CCAA|Zona (provincia)|Tipo de trabajo|Codigo proveedor|Proveedor por defecto (0/1)
07|138|Andalucía|Cádiz|Actuación técnica|B23657521|10009594
07|138|Andalucía|Córdoba|Actuación técnica|B23657521|10009594
07|138|Andalucía|Granada|Actuación técnica|B23657521|10009594
07|138|Andalucía|Huelva|Actuación técnica|B23657521|10009594
07|138|Andalucía|Jaén|Actuación técnica|B23657521|10009594
07|138|Andalucía|Málaga|Actuación técnica|B23657521|10009594
07|138|Andalucía|Sevilla|Actuación técnica|B23657521|10009594
07|138|Andalucía|Almería|Actuación técnica|B23657521|10009594
07|138|Aragón|Huesca|Actuación técnica|B23657521|10009594
07|138|Aragón|Teruel|Actuación técnica|B23657521|10009594
07|138|Aragón|Zaragoza|Actuación técnica|B23657521|10009594
07|138|Asturias, Principado de|Asturias|Actuación técnica|B23657521|10009594
07|138|Baleares|Baleares|Actuación técnica|B23657521|10009594
07|138|Canarias|Las Palmas|Actuación técnica|B23657521|10009594
07|138|Canarias|Santa C. Tenerife|Actuación técnica|B23657521|10009594
07|138|Cantabria|Cantabria|Actuación técnica|B23657521|10009594
07|138|Castilla y León|Avila|Actuación técnica|B23657521|10009594
07|138|Castilla y León|Burgos|Actuación técnica|B23657521|10009594
07|138|Castilla y León|León|Actuación técnica|B23657521|10009594
07|138|Castilla y León|Palencia|Actuación técnica|B23657521|10009594
07|138|Castilla y León|Salamanca|Actuación técnica|B23657521|10009594
07|138|Castilla y León|Segovia|Actuación técnica|B23657521|10009594
07|138|Castilla y León|Soria|Actuación técnica|B23657521|10009594
07|138|Castilla y León|Valladolid|Actuación técnica|B23657521|10009594
07|138|Castilla y León|Zamora|Actuación técnica|B23657521|10009594
07|138|Castilla-La Mancha|Albacete|Actuación técnica|B98493190|24
07|138|Castilla-La Mancha|CiudadReal|Actuación técnica|B98493190|24
07|138|Castilla-La Mancha|Cuenca|Actuación técnica|B98493190|24
07|138|Castilla-La Mancha|Guadalajara|Actuación técnica|B98493190|24
07|138|Castilla-La Mancha|Toledo|Actuación técnica|B98493190|24
07|138|Cataluña|Barcelona|Actuación técnica|B60546611|10007315
07|138|Cataluña|Girona|Actuación técnica|B60546611|10007315
07|138|Cataluña|Lleida|Actuación técnica|B60546611|10007315
07|138|Cataluña|Tarragona|Actuación técnica|B60546611|10007315
07|138|Comunitat Valenciana|Alicante|Actuación técnica|B98493190|24
07|138|Comunitat Valenciana|Castellón|Actuación técnica|B98493190|24
07|138|Comunitat Valenciana|Valencia|Actuación técnica|B98493190|24
07|138|Extremadura|Badajoz|Actuación técnica|B23657521|10009594
07|138|Extremadura|Cáceres|Actuación técnica|B23657521|10009594
07|138|Galicia|A Coruña|Actuación técnica|B23657521|10009594
07|138|Galicia|Lugo|Actuación técnica|B23657521|10009594
