Cartera|Subcartera|Tipo de trabajo|Subtipo de trabajo|Plazo ejecución (horas)
01||Obtención documentación|Acompañamiento|14
01||Actuación técnica|Adecuación suelos|14
01||Actuación técnica|Albañilería|7
01||Actuación técnica|Alquiler puertas antiocupa|3
01||Actuación técnica|Aseguramiento de accesos|3
01||Actuación técnica|Cambio de cerradura|14
01||Actuación técnica|Carpintería|7
01||Actuación técnica|Cartelería|10
01||Actuación técnica|Cepo garaje|3
01||Actuación técnica|Cercado|14
01||Actuación técnica|Cerramiento de ladrillo|7
01||Actuación técnica|Colocación puertas antiocupa|3
01||Actuación técnica|Copia de llaves|14
01||Actuación técnica|Cristalería|7
01||Actuación técnica|Desbroce/tala de árboles|14
01||Actuación técnica|Desinfección|7
01||Actuación técnica|Desinfección urbanización|7
01||Actuación técnica|Desratización|7
01||Actuación técnica|Destapiado|7
01||Actuación técnica|Electricidad|5
01||Actuación técnica|Electrodomésticos|14
01||Actuación técnica|Fontanería|14
01||Obtención documentación|Fotografía|7
01||Actuación técnica|Intervención|3
01||Actuación técnica|Limpeza extraordinaria hasta 150m2|14
01||Actuación técnica|Limpieza|14
01||Actuación técnica|Limpieza de sumideros|14
01||Actuación técnica|Limpieza, desinfección, desbroces y vallados de solares|14
01||Actuación técnica|Limpieza extraordinaria de 10 a 20 activos|14
01||Actuación técnica|Limpieza extraordinaria de 20 a 30 activos|14
01||Actuación técnica|Limpieza extraordinaria de 5 a 10 activos|14
01||Actuación técnica|Limpieza extraordinaria más de 150 m2|14
01||Actuación técnica|Limpieza extraordinaria más de 30 activos|14
01||Actuación técnica|Limpieza, retirada de enseres y descerraje|14
01||Actuación técnica|Limpieza y retirada de enseres|14
01||Actuación técnica|Mobiliario de cocina|14
01||Actuación técnica|Paquete|14
01||Actuación técnica|Pintura|14
01||Actuación técnica|Protocolo post alquiler|14
01||Actuación técnica|Puerta abatible|14
01||Actuación técnica|Puerta peatonal|14
01||Actuación técnica|Retirada animales|7
