Mapeo Clase-Activo|
Cód. Activo|Clase
000001-01|
000013|00003900
000220|00003300
00065L|00080000
000738|00003900
000835|00003900
00278W|00100000
004393|00003900
004482|00003900
004984|00003900
005273|00003900
005332|00003900
005775|00003900
006500|00003900
006552|00003900
00686L|00080000
00687C|00080000
007452|00003900
007453|00003900
007531|00003900
007645|00003900
00825C|00100000
008967|00003900
009051|00003900
009098|00003900
009133|00003900
009134|00003900
009724|00003900
011842|00003900
012342|00003900
012774|00003900
013259|00003900
013928|00003900
013929|00003900
013930|00003900
014561|00003900
014812|00003901
015190|00003900
015866|00003900
016244|00003900
016684|00003900
016687|00003900
017163|00003900
017550|00003900
017622|00003900
017707|00003900
017860|00003901
017949|00003900
018105|00003900
018756|00003900
019026|00003900
020311|00003900
020312|00003900
020313|00003900
020327|00003900
021818|00003901
021867|00003900
022034|00003900
022035|00003900
022140|00003300
022167|00003900
022818|00003900
022918|00003900
022919|00003900
023168|00003300
023661|00003900
02367K|00100000
023684|00003900
023752|00003900
024426|00003900
024740|00003900
024744|00003900
024745|00003900
024748|00003900
024853|00003900
024854|00003900
025123|00003900
025126|00003900
025237|00003900
025884|00003900
026288|00003900
026289|00003900
026452|00003900
026605|00003900
026747|00003900
026878|00003900
026923|00003900
027132|00003900
027305|00003900
027435|00003900
028223|00003900
028251|00003900
028341|00003900
028382|00003900
028419|00003900
028495|00003900
028719|00003900
028720|00003900
028721|00003900
028773|00003900
028969|00003900
029003|00003900
029047|00003900
029142|00003900
029256|00003900
029259|00003900
029285|00003900
029286|00003900
029406|00003900
029414|00003900
029415|00003900
029528|00003900
029820|00003900
029821|00003900
030206|00003900
030297|00003900
030331|00003900
030333|00003900
030458|00003900
030646|00003900
030647|00003900
030783|00003900
030795|00003900
030951|00003900
031027|00003900
031118|00003900
031577|00003900
031619|00003900
031650|00003900
031651|00003900
031951|00003900
031987|00003900
032017|00003900
032317|00003900
032326|00003900
032334|00003900
032360|00003300
032425|00003900
032434|00003900
032455|00003900
032456|00003900
032467|00003900
032475|00003900
032484|00003900
032485|00003900
032489|00003900
032549|00003500
032595|00003900
032783|00003900
032816|00003900
032939|00003900
032970|00003900
033066|00003900
033068|00003900
033069|00003900
033072|00003900
033105|00003900
033150|00003900
033153|00003900
033154|00003900
033196|00003900
033207|00003900
033216|00003900
033217|00003900
033218|00003900
033221|00003900
033229|00003900
033239|00003900
033262|00003900
033280|00003900
033318|00003900
033334|00003900
033336|00003900
033385|00003900
033403|00003900
033424|00003900
033494|00003900
033495|00003900
033496|00003900
033497|00003900
033520|00003900
033550|00003900
033695|00003900
033696|00003900
033810|00003900
033811|00003900
033896|00003900
033898|00003900
033902|00003900
033918|00003900
033931|00003900
033932|00003900
033953|00003900
033997|00003900
034004|00003900
034030|00003900
034065|00003900
034068|00003900
034072|00003900
034076|00003900
034105|00003900
034109|00003900
034110|00003900
034113|00003900
034199|00003900
034241|00003900
034414|00003900
034520|00003900
034522|00003900
034589|00003900
034730|00003900
034731|00003900
034826|00003900
035028|00003900
035090|00003900
035113|00003900
035114|00003900
035115|00003900
035116|00003900
035117|00003900
035118|00003900
035119|00003900
035147|00003900
035173|00003900
035281|00003900
035375|00003900
035376|00003900
035377|00003900
035412|00003900
035448|00003900
035462|00003900
035516|00003900
035692|00003900
035706|00003900
035714|00003900
035715|00003900
035716|00003900
035732|00003900
035777|00003900
035779|00003900
035839|00003900
035862|00003900
035914|00003900
035941|00003900
035970|00003900
036068|00003900
036268|00003900
036424|00003900
036636|00003900
036680|00003900
036818|00003900
037150|00003900
037157|00003900
037169|00003900
037170|00003900
037217|00003900
037285|00003900
037330|00003900
037456|00003900
037470|00003900
037471|00003900
037498|00003900
037500|00003900
037501|00003900
037502|00003900
037503|00003900
037504|00003900
037505|00003900
037506|00003900
037507|00003900
037508|00003900
037509|00003900
037510|00003900
037511|00003900
037512|00003900
037534|00003900
037535|00003900
037596|00003900
037658|00003900
037662|00003900
037663|00003900
037760|00003900
038161|00003900
038186|00003900
038570|00003900
038585|00003900
039017|00003900
039024|00003900
039180|00003900
039361|00003900
039372|00003900
039637|00003900
039680|00003900
039694|00003900
039696|00003900
039721|00003900
039847|00003900
039862|00003900
039901|00003900
039902|00003900
040001|00003900
040023|00003900
040024|00003900
040095|00003900
040097|00003900
040191|00003900
040192|00003900
040366|00003900
040367|00003900
040435|00003900
040502|00003900
040827|00003900
040828|00003900
040829|00003900
040839|00003900
040864|00003900
041071|00003900
041120|00003900
041161|00003900
041201|00003900
041210|00003900
041254|00003900
041289|00003900
041290|00003900
041304|00003900
041305|00003900
041380|00003900
041457|00003900
041728|00003900
041753|00003900
041756|00003300
042089|00003900
042130|00003900
042184|00003900
042222|00003900
042261|00003900
042262|00003900
042263|00003900
042316|00003900
042317|00003900
042358|00003300
042414|00003900
042428|00003900
042811|00003900
042847|00003900
042852|00003900
042853|00003900
042890|00003900
042907|00003900
043007|00003300
043051|00003900
043091|00003900
043135|00003300
043141|00003900
043164|00003300
043171|00003300
043176|00003300
043180|00003300
043184|00003300
043192|00003300
043196|00003300
043199|00003300
043277|00003300
043308|00003900
043311|00003900
043384|00003900
043496|00003900
043516|00003900
043559|00003900
043562|00003900
043606|00003900
043753|00003900
043823|00003900
043874|00003900
043965|00003900
043989|00003900
044054|00003900
044055|00003900
044112|00003900
044114|00003900
044120|00003900
044266|00003900
044290|00003900
044310|00003900
044321|00003900
044323|00003900
044509|00003900
044637|00003900
044639|00003900
044649|00003900
044653|00003900
044733|00003300
044793|00003900
044795|00003900
044798|00003900
044810|00003900
044830|00003900
044835|00003900
044837|00003900
045073|00003900
045135|00003900
045181|00003300
045206|00003300
045229|00003900
045244|00003900
045287|00003900
045304|00003900
045376|00003300
045393|00003900
045394|00003900
045395|00003900
045409|00003900
045699|00003900
045772|00003900
045776|00003900
045815|00003900
045816|00003900
045837|00003900
045901|00003900
046032|00003900
046033|00003900
046034|00003900
046038|00003300
046039|00003300
046139|00003900
046147|00003900
046195|00003900
046350|00003900
046351|00003900
046352|00003900
