ACT_ID|ACT_NUM_ACTIVO|ACT_NUM_ACTIVO_REM|BBVA_COD_PROMOCION|BBVA_CLASE
509252|7325358|503891|082739-01|00003900
509253|7304334|503892|083640-01|00003900
509254|7304335|503893|082762-01|00003900
509255|7325359|503894|082784-01|00003900
509256|7325360|503895|073931-01|00003900
509257|7304336|503896|082799-01|00003900
509259|7304338|503898|045083-01|00003901
509260|7325361|503899|083979-01|00003900
509261|7304339|503900|083639-01|00003900
509262|7304340|503901|076587-01|00003900
509264|7304342|503903|084741-01|00003900
509265|7304343|503904|085631-01|00003900
509266|7304344|503905|083517-01|00003900
509268|7304346|503907|082913-01|00003900
509269|7304347|503908|072386-01|00003900
509270|7304348|503909|082914-01|00003900
509271|7304349|503910|082915-01|00003900
509272|7304350|503911|082916-01|00003900
509273|7304351|503912|072354-01|00003900
509275|7304353|503914|082918-01|00003900
509276|7304354|503915|082919-01|00003900
509278|7304356|503917|082921-01|00003900
509279|7304357|503918|082922-01|00003900
509280|7304358|503919|085610-01|00003900
509281|7304359|503920|082923-01|00003900
509282|7304360|503921|082924-01|00003900
509283|7304361|503922|082925-01|00003900
509284|7304362|503923|082926-01|00003900
509285|7304363|503924|082927-01|00003900
509286|7304364|503925|082928-01|00003900
508440|7325309|503079|077224-01|00003900
509287|7304365|503926|082929-01|00003900
509289|7304367|503928|082931-01|00003900
509290|7304368|503929|082932-01|00003900
509291|7304369|503930|082933-01|00003900
509293|7304371|503932|084007-01|00003900
509294|7304372|503933|085954-01|00003900
509295|7304373|503934|083813-01|00003900
509296|7325362|503935|083673-01|00003900
509297|7304374|503936|083143-01|00003900
509299|7304376|503938|083161-01|00003900
509300|7304377|503939|076626-01|00003900
509301|7304378|503940|075769-01|00003900
509302|7304379|503941|084483-01|00003900
509303|7304380|503942|083337-01|00003900
509304|7304381|503943|083202-01|00003900
509305|7325363|503944|084752-01|00003900
509306|7304382|503945|084700-01|00003900
509308|7325364|503947|083964-01|00003900
509309|7304384|503948|084722-01|00003900
509310|7304385|503949|085766-01|00003900
509311|7304386|503950|085738-01|00003900
509312|7304387|503951|085739-01|00003900
509313|7304388|503952|085740-01|00003900
509314|7304389|503953|085741-01|00003900
509315|7304390|503954|085896-01|00003900
509318|7304392|503957|U00025-01|00003900
509319|7304393|503958|U00031-01|00003900
509320|7304394|503959|U00033-01|00003900
509321|7304395|503960|U00037-01|00003900
509322|7304396|503961|U00043-01|00003900
508780|7303927|503419|042197-01|00003900
508782|7303929|503421|079119-01|00003900
508783|7303930|503422|042220-01|00003901
508784|7303931|503423|071339-01|00003900
508785|7303932|503424|072615-01|00003900
508786|7303933|503425|042246-01|00003900
508787|7303934|503426|084280-01|00003900
508788|7303935|503427|079162-01|00003900
508790|7303936|503429|072015-01|00003900
508791|7303937|503430|042276-01|00003900
508792|7303938|503431|074422-01|00003900
508793|7303939|503432|084577-01|00003900
508794|7303940|503433|073234-01|00003900
508795|7303941|503434|042332-01|00003901
508796|7303942|503435|073748-01|00003900
