DD_LOC_ID|MUNICIPIO BBVA
6526|ABABUJ
5846|ABADES
1543|ABADIA
4209|ABADIN
7457|ABADIÑO
4600|ABAIGAR
1172|ABAJAS
4035|ABALOS
3127|ABALTZISKETA
2839|ABANADES
4555|ABANILLA
7817|ABANTO
7458|ABANTO Y CIERVANA-ABANTO ZIERB
4556|ABARAN
5042|ABARCA DE CAMPOS
4601|ABARZUZA
4602|ABAURREGAINA/ABAURREA ALTA
4603|ABAURREPEA/ABAURREA BAJA
2118|ABEGONDO
6160|ABEJAR
6527|ABEJUELA
3804|ABELLA DE LA CONCA
52|ABENGIBRE
1941|ABENOJAR
4604|ABERIN
1544|ABERTURA
7569|ABEZAMES
2212|ABIA DE LA OBISPALIA
5043|ABIA DE LAS TORRES
3294|ABIEGO
3295|ABIZANDA
280|ABLA
2840|ABLANQUE
4605|ABLITAS
861|ABRERA
281|ABRUCENA
5329|ABUSEJO
4276|ACEBEDA, LA
3593|ACEBEDO
1545|ACEBO
2213|ACEBRON, EL
630|ACEDERA
1546|ACEHUCHE
1547|ACEITUNA
7818|ACERED
631|ACEUCHAL
3296|ADAHUESCA
7232|ADALIA
2043|ADAMUZ
382|ADANERO
5691|ADEJE
6966|ADEMUZ
4606|ADIOS
2841|ADOBES
6967|ADOR
282|ADRA
383|ADRADA, LA
1173|ADRADA DE HAZA
5847|ADRADA DE PIRON
6161|ADRADAS
5848|ADRADOS
139|ADSUBIA
3128|ADUNA
5233|AGAETE
5330|AGALLAS
3805|ÀGER
5267|AGOLADA
7819|AGON
4036|AGONCILLO
140|AGOST
3806|AGRAMUNT
6162|AGREDA
141|AGRES
2671|AGRON
6055|AGUADULCE
7820|AGUARON
1174|AGUAS CANDIDAS
7233|AGUASAL
6528|AGUATON
6529|AGUAVIVA
1942|AGUDO
3297|AGÜERO
5849|AGUILAFUENTE
1175|AGUILAR DE BUREBA
5044|AGUILAR DE CAMPOO
7234|AGUILAR DE CAMPOS
4607|AGUILAR DE CODES
2044|AGUILAR DE LA FRONTERA
862|AGUILAR DE SEGARRA
6530|AGUILAR DEL ALFAMBRA
4037|AGUILAR DEL RIO ALHAMA
4557|AGUILAS
7821|AGUILON
5234|AGÜIMES
2450|AGULLANA
6968|AGULLENT
5692|AGULO
1548|AHIGAL
5331|AHIGAL DE LOS ACEITEROS
5332|AHIGAL DE VILLARINO
632|AHILLONES
3129|AIA
4608|AIBAR/OIBAR
6969|AIELO DE MALFERIT
6970|AIELO DE RUGAT
863|AIGUAFREDA
6343|AIGUAMURCIA
2451|AIGUAVIVA
142|AIGÜES
1806|AIN
3298|AINSA-SOBRARBE
7822|AINZON
3299|AISA
3807|AITONA
3130|AIZARNAZABAL
4277|AJALVIR
4038|AJAMIL DE CAMEROS
7459|AJANGIZ
6762|AJOFRIN
6531|ALACON
7823|ALADREN
7235|ALAEJOS
7824|ALAGON
794|ALAIOR
3215|ALAJAR
5693|ALAJERO
4455|ALAMEDA
5333|ALAMEDA DE GARDON, LA
6763|ALAMEDA DE LA SAGRA
4278|ALAMEDA DEL VALLE
2672|ALAMEDILLA
5334|ALAMEDILLA, LA
1943|ALAMILLO
2842|ALAMINOS
4279|ALAMO, EL
3808|ALAMUS, ELS
633|ALANGE
6056|ALANIS
6971|ALAQUÀS
5045|ALAR DEL REY
5335|ALARAZ
7825|ALARBA
2214|ALARCON
2843|ALARILLA
795|ALARO
3809|ALÀS I CERC
53|ALATOZ
6532|ALBA
5046|ALBA DE CERRATO
5336|ALBA DE TORMES
5337|ALBA DE YELTES
54|ALBACETE
3810|ALBAGES, L'
6972|ALBAIDA
6057|ALBAIDA DEL ALJARAFE
6973|ALBAL
1549|ALBALA
1944|ALBALADEJO
2215|ALBALADEJO DEL CUENDE
6974|ALBALAT DE LA RIBERA
6975|ALBALAT DELS SORELLS
6976|ALBALAT DELS TARONGERS
3300|ALBALATE DE CINCA
2216|ALBALATE DE LAS NOGUERAS
2844|ALBALATE DE ZORITA
6533|ALBALATE DEL ARZOBISPO
3301|ALBALATILLO
283|ALBANCHEZ
3496|ALBANCHEZ DE MAGINA
2452|ALBANYÀ
2845|ALBARES
6534|ALBARRACIN
6764|ALBARREAL DE TAJO
55|ALBATANA
3811|ALBATÀRREC
143|ALBATERA
3302|ALBELDA
4039|ALBELDA DE IREGUA
2217|ALBENDEA
2846|ALBENDIEGO
6535|ALBENTOSA
5338|ALBERCA, LA
2218|ALBERCA DE ZANCARA, LA
5339|ALBERGUERIA DE ARGAÑAN, LA
6977|ALBERIC
4040|ALBERITE
7826|ALBERITE DE SAN JUAN
3303|ALBERO ALTO
3304|ALBERO BAJO
3305|ALBERUELA DE TUBO
3812|ALBESA
7827|ALBETA
3813|ALBI, L'
1176|ALBILLOS
6344|ALBINYANA
6345|ALBIOL, L'
3131|ALBIZTUR
1807|ALBOCÀSSER
284|ALBOLODUY
2673|ALBOLOTE
2674|ALBONDON
2453|ALBONS
6978|ALBORACHE
6979|ALBORAYA
56|ALBOREA
7828|ALBORGE
384|ALBORNOS
285|ALBOX
4558|ALBUDEITE
634|ALBUERA, LA
6980|ALBUIXECH
2675|ALBUÑAN
2676|ALBUÑOL
2677|ALBUÑUELAS
635|ALBURQUERQUE
6765|ALCABON
57|ALCADOZO
6536|ALCAINE
7829|ALCALA DE EBRO
6058|ALCALA DE GUADAIRA
3306|ALCALA DE GURREA
4280|ALCALA DE HENARES
6537|ALCALA DE LA SELVA
2219|ALCALA DE LA VEGA
1762|ALCALA DE LOS GAZULES
7830|ALCALA DE MONCAYO
1808|ALCALÀ DE XIVERT
58|ALCALA DEL JUCAR
3307|ALCALA DEL OBISPO
6059|ALCALA DEL RIO
1763|ALCALA DEL VALLE
3497|ALCALA LA REAL
144|ALCALALI
