Número Activo|Revisado|Fecha revisión título|Título de la propiedad|Subtipo de título|Ratificación|Título de la propiedad entrada|Subtipo de título entrada|Instancia de libertad arrendataria|Situación inicial de inscripción|Situación posesoria inicial|Situación inicial cargas|Situación constructiva registral|Porcentaje de propiedad|Tipo de titularidad|Protección oficial|Autorización para la transmisión|Anotación Concurso|Estado de la gestión|En construcción física|Porcentaje construcción según tasación|En construcción jurídica|Porcentaje construcción según tasación|Certificado de fin de obra|Acta fin de obra/Obra nueva terminada|Licencia primera ocupación|Boletines|Seguro decenal|Cédula de habitabilidad|Fecha contrato|Legislación aplicable|Duración contrato|Tipo arrendamiento|Notificación a arrendatarios|Tipo de expediente |Estado de la gestión|Tipo de incidencia (contingencia registral)|Estado de la gestión|Tipo de ocupación|Tipo de incidencia (Ilocalizadas)|Estado de la gestión|Detalle del deterioro|Tipo de incidencia (Otros)|Estado de la gestión
6980540|SI|01/04/2020|01|01|NA||||INS|PDTE|AFF||100|PLD|01||||||||||||||||||||||||||||
6980541|SI|01/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6980547|SI|01/04/2020|01|01|NA||||PDTE|PDTE|PUR|01|100|PLD|01||||||||||||||||||||||||||||
6980718|SI|01/04/2020|01|01|NA||||INS|PDTE|AFF||100|PLD|01||||||||||||||||||||||||||||
6981142|SI|01/04/2020|01|01|NA||||PDTE|ARR|PUR||100|PLD|01||||||||||||||||||||||||||||
6981143|SI|01/04/2020|01|01|NA||||PDTE|ARR|PUR||100|PLD|01||||||||||||||||||||||||||||
6981342|SI|02/04/2020|01|01|NA||||PDTE|PDTE|PUR||||||||||||||||||||||||||||||||
6981344|SI|02/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6981386|SI|02/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6981495|SI|02/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6981536|SI|02/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6981557|SI|02/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6981558|SI|02/04/2020|01|01|NA||||INS|PDTE|AFF||100|PLD|01||||||||||||||||||||||||||||
6981566|SI|02/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6981736|SI|03/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6981792|SI|03/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6981909|SI|03/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6981965|SI|03/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6981969|SI|03/04/2020|01|01|NA||||INS|PDTE|AFF||100|PLD|01||||||||||||||||||||||||||||
6982005|SI|03/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6982006|SI|03/04/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6982007|SI|06/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6982082|SI|06/04/2020|01|01|NA||||INS|PDTE|AFF||100|PLD|01||||||||||||||||||||||||||||
6982138|SI|06/04/2020|01|01|NA||||INS|PDTE|AFF||100|PLD|01||||||||||||||||||||||||||||
6982142|SI|06/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6982268|SI|06/04/2020|01|01|NA||||INS|PDTE|AFF||100|PLD|01||||||||||||||||||||||||||||
6982316|SI|06/04/2020|01|01|NA||||PDTE|ARR|PUR||100|PLD|01||||||||||||||||||||||||||||
6982507|SI|06/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6982572|SI|06/04/2020|02|04|NA||||PDTE|COM|PUR||100|PLD|01||||||||||||||||||||||||||||
