"ofr_num_oferta";"ofr_webcom_id"
7004873;90462047
7005556;90483757
7007038;90538445
7007301;90546899
7007503;90554789
7007921;90570191
7005977;90498421
7005639;90487499
7005220;90472117
7005222;90472225
7005235;90472933
7005724;90490385
7005992;90499109
7006975;90536331
7007142;90541681
7005615;90486579
7005590;90484993
7006050;90501415
7006038;90500937
7008269;90581867
7008270;90581869
7005604;90486177
7005890;90495673
7006248;90508339
7006256;90508481
7006903;90533121
7007055;90538987
7007127;90541277
7008095;90575769
7008249;90581173
7006876;90532219
7007359;90548939
7007848;90567851
7007150;90542163
7006864;90531931
7006863;90531929
7007151;90542169
7006934;90534247
7007248;90545009
7006965;90535969
7006933;90534213
7007249;90545011
7006875;90532187
7004978;90464905
7006870;90532105
7006844;90531121
7004914;90463149
7006414;90514901
7006779;90528501
7007482;90553573
7007701;90562189
7007882;90569127
7006415;90514903
7006778;90528499
7007483;90553575
7007702;90562191
7007881;90569125
7006346;90512091
7006818;90530105
7007199;90543653
7007300;90546863
7004711;90455777
7007608;90559031
7004906;90462987
7006728;90526293
7006727;90526291
7007398;90550373
7008299;90582967
7007760;90564155
7008286;90582617
7005266;90474033
7008196;90579589
7008197;90579591
7005135;90469185
7007755;90564073
7006486;90517479
7008211;90580025
7004785;90458505
7006960;90535621
7007444;90552161
7005549;90482913
7005640;90487551
7006019;90500215
7007975;90572019
7007448;90552233
7005276;90474683
7006196;90506731
7006682;90524815
7006773;90528155
7006794;90529215
7006888;90532521
7007323;90547535
7005026;90466141
7005388;90477939
7007045;90538825
7007185;90543383
7007264;90545287
7004999;90465451
7005472;90480233
7005483;90480705
7006356;90512421
7006449;90516051
7004993;90465303
7005807;90493003
7004911;90463131
7008068;90574963
7005962;90498001
7005787;90492183
7005844;90493897
7006438;90515789
7005865;90494481
7006044;90501191
7006489;90517619
7006922;90533761
7007003;90537265
7007394;90550145
7007485;90553697
7007195;90543581
7006362;90512639
7007190;90543493
7006224;90507699
7007688;90561883
7006353;90512403
7008084;90575403
7004991;90465279
7006601;90521975
7006762;90527459
7007281;90545979
7008178;90578771
7008223;90580327
7008322;90583941
7006046;90501277
7004946;90464315
7004727;90456087
7004791;90458701
7004845;90460837
7004895;90462667
7004983;90465085
7005074;90467617
7005100;90468259
7005195;90471263
7006088;90502677
7006128;90504049
7006462;90516293
7006513;90518187
7006615;90522499
7006758;90527325
7006759;90527331
7006770;90528009
7006886;90532479
7006935;90534301
7006992;90536987
7007027;90538083
7007042;90538601
7007105;90540607
7007230;90544597
7007496;90554513
7005166;90470441
7005185;90471079
7005244;90473205
7005344;90476809
7005669;90488399
7006840;90530929
7007492;90554213
7007526;90555989
7007667;90561103
7008133;90577235
7004682;90453211
7005753;90491321
7005756;90491381
7007152;90542175
7005509;90481623
7006274;90509207
7006527;90518451
7006536;90518771
7006987;90536827
7007192;90543541
7006638;90523203
7008098;90575911
7008232;90580643
7006750;90526963
7006891;90532607
7007128;90541283
7005450;90479525
7005247;90473325
7005381;90477763
7005420;90478659
7005637;90487399
7005693;90489619
7007379;90549383
7008242;90580929
7004926;90463509
7005159;90470133
7005345;90476815
7007109;90540721
7004714;90455799
7004726;90456085
7004744;90456485
7004792;90458703
7004836;90460587
7004869;90461939
7004918;90463231
7004964;90464737
7005427;90478871
7005532;90482373
7005437;90479235
7007286;90546249
7005320;90476131
7005457;90479813
7006627;90522821
7007934;90570655
7007046;90538915
7007716;90562831
7006071;90501969
7006836;90530913
7006837;90530915
7007341;90548215
7007172;90542987
7007477;90553347
7005440;90479297
7006113;90503451
7006201;90506933
7006514;90518189
7006713;90525709
7005713;90490233
7005442;90479329
7005282;90474893
7005697;90489889
7006006;90499431
7006058;90501681
7006106;90503253
7006120;90503641
7006132;90504379
7006580;90520939
7006735;90526553
7005392;90478095
7006180;90506207
7006488;90517563
7006348;90512115
7006920;90533725
7005862;90494319
7007653;90560601
7007941;90570897
7005733;90490537
7007243;90544969
7007270;90545485
7005563;90484043
7007139;90541633
7007289;90546435
7006732;90526417
7006955;90535543
7007168;90542837
7007263;90545245
7007302;90546973
7005843;90493861
7006795;90529223
7004656;90450419
7007820;90566445
7008051;90574511
7004857;90461467
7004968;90464793
7005232;90472649
7005955;90497789
7004936;90463917
7006494;90517681
7007623;90559445
7007942;90570953
7005774;90491857
7005765;90491609
7005294;90475249
7005469;90480193
7007840;90567575
7006077;90502199
7004847;90460851
7005145;90469715
7005196;90471275
7005885;90495485
7005934;90497301
7007995;90572779
7005581;90484819
7005607;90486303
7005609;90486415
7005740;90490863
7005831;90493707
7006018;90500099
7006831;90530709
7007170;90542909
7007222;90544299
7007360;90548943
7007839;90567379
7007900;90569595
7007939;90570883
7007665;90561063
7007480;90553541
7007936;90570735
7005826;90493537
7006650;90523741
7006742;90526703
7005167;90470491
7006334;90511327
7007610;90559079
7007396;90550323
7004655;90447843
7004913;90463147
7005538;90482531
7006222;90507581
7006377;90513381
7007450;90552285
7004944;90464219
7005938;90497477
7004748;90456669
7004988;90465193
7005006;90465637
7005201;90471409
7006811;90529807
7006842;90530959
7007124;90541247
7007392;90550011
7007414;90550849
7007494;90554245
7007547;90556927
7007769;90564705
7007775;90564893
7006032;90500709
7007114;90540855
7007158;90542333
7005485;90480843
7006469;90516689
7004724;90456079
7005686;90489235
7006743;90526713
7004804;90459311
7004758;90456873
7004806;90459453
7004961;90464681
7005664;90488309
7005665;90488313
7008155;90577755
7004733;90456215
7005275;90474673
7005025;90466111
7005036;90466531
7007678;90561521
7006133;90504431
7006711;90525697
7004925;90463507
7004960;90464677
7005146;90469725
7005914;90496541
7006865;90532001
7007352;90548575
7007873;90568847
7007408;90550693
7007580;90558265
7007809;90566201
7005712;90490219
7005805;90492939
7005867;90494519
7004831;90460377
7007857;90568161
7007966;90571725
7006898;90532833
7006901;90533083
7007347;90548489
7007357;90548789
7004802;90459307
7005943;90497633
7006215;90507441
7005177;90470877
7007817;90566361
7006541;90519039
7007131;90541417
7004778;90458107
7005106;90468459
7004660;90451637
7004669;90452833
7005041;90466671
7005537;90482499
7005075;90467643
7005076;90467645
7005147;90469763
7005184;90471049
7005234;90472923
7005239;90473053
7005277;90474705
7005357;90477165
7006354;90512415
7006484;90517389
7006531;90518615
7006573;90520705
7006651;90523765
7006710;90525693
7006714;90525775
7006757;90527321
7006943;90534683
7006998;90537129
7007278;90545901
7007771;90564755
7007829;90566961
7007909;90569827
7008177;90578727
7005164;90470381
7005598;90485683
7005876;90495055
7006620;90522659
7006993;90537019
7007162;90542619
7007179;90543253
7007218;90544107
7007267;90545347
7007312;90547299
7007432;90551643
7007729;90563291
7008240;90580863
7005061;90467285
7005104;90468437
7006533;90518647
7007577;90558123
7007866;90568551
7007971;90571831
7006815;90530063
7004794;90458743
7005869;90494543
7007182;90543291
7007666;90561089
7007754;90564055
7007880;90569093
7008114;90576527
7008154;90577741
