ACT_NUM_ACTIVO|ACT_NUM_ACTIVO_CAIXA|ACT_NUM_ACTIVO_UVEM
5924913|89036943|5573370
5924916|89037586|6724912
5924917|89037560|22060169
5924919|89054184|16772806
5924932|89048023|14150555
5924933|89063696|21590043
5924934|89037499|6677564
5924938|89040817|10210459
5924949|89057003|19170982
5924960|89036656|4526868
5924961|89040317|9967326
5924963|89056748|19090436
5924964|89059571|19982472
5924969|89045772|12902253
5924974|89053237|16287867
5924975|89054551|17645058
5924981|89056912|19134254
5924983|89043605|11988863
5924984|89058459|19659279
5925002|89063667|21581158
5925004|89038984|8549913
5925007|89040202|9869730
5925012|89038129|7308407
5925016|89052265|15872189
5925024|89036718|4917373
5925025|89036785|5142957
5925026|89042383|11181035
5925032|89061385|20543289
5925044|89053929|16583217
5925059|89041110|10384653
5925062|89037951|6905925
5925063|89038561|7857567
5925072|89040942|10274698
5925075|89060250|20170923
5925078|89059514|19965497
5925080|89037032|5727377
5925083|89041036|10349926
5925093|89049454|15440981
5925096|89037509|6683227
5925101|89037890|22598465
5925104|89040784|10190738
5925105|89064219|21815594
5925106|89056508|18894771
5925107|89059204|19861340
5925115|89057382|19312162
5925116|89047911|14090791
5925119|89064274|21830142
5925132|89057915|19493282
5925138|89052719|16006355
5925144|89048117|14261287
5925159|89044916|12437529
5925163|89062156|20818212
5925166|89036920|5538274
5925177|89036876|5392474
5925184|89044692|12388240
5925186|89047891|14062405
5925187|89063977|21726415
5925199|89037158|6082861
5925237|89037236|6248489
5925245|89042404|11209411
5925249|89055384|18215459
5925251|89041898|10886511
5925259|89036494|3817196
5925264|89044926|12437880
5925265|89061577|20619663
5925266|89037354|6502224
5925272|89059461|19937831
5925278|89039367|9151450
5925287|89059518|19966544
5925288|89037174|6112379
5925289|89038192|7387779
5925294|89057191|19251504
5925300|89038527|7797821
5925310|89048490|14715030
5925320|89036532|3970085
5925327|89056454|18860409
5925334|89062187|20833093
5925338|89046479|13200017
5925339|89049289|15382087
5925342|89063073|21275777
5925347|89062116|20801275
5925359|89061594|20627267
5925362|89039214|8878830
5925363|89041800|10828095
5925375|89045805|12911489
5925384|89038792|22892711
5925393|89052700|16003016
5925395|89043344|11902585
5925398|89042302|11155058
5925400|89046524|13213990
5925427|89044213|12162372
5925429|89048927|14919948
5925435|89037466|6642038
5925436|89037961|6908175
5925441|89046663|13302953
5925447|89036599|4247890
5925451|89053476|16431764
5925457|89058738|19742149
5925470|89058542|19695287
5925479|89062566|20995063
5925486|89037628|6769632
5925489|89062391|20888834
5925490|89062880|21183592
5925492|89061422|20572623
5925498|89041243|10498976
5925505|89041204|10454565
5925507|89046521|13208537
5925509|89062013|20751812
5925510|89038282|7481844
5925515|89057045|19180914
5925540|89054601|17666905
5925541|89036540|3992610
5925546|89056103|18644534
5925550|89046699|13316416
5925552|89061041|20440044
5925556|89055301|18145547
5925559|89039280|9013109
5925566|89038348|22745467
5925569|89046403|13162040
5925570|89046986|13438109
5925581|89064439|21923590
5925587|89048446|14709619
5925594|89062297|20863087
5925598|89037968|6911084
5925601|89043793|12046907
5925608|89039432|23815650
5925611|89062484|20954360
5925612|89057048|19182972
5925613|89057556|19347706
5925616|89039643|9449774
5925617|89043461|11935702
5925623|89056687|19079068
5925630|89060790|20368369
5925641|89037303|6397323
5925642|89045965|13007192
5925643|89062248|20855015
5925647|89039769|9495579
5925660|89049017|14978169
5925666|89041406|10589646
5925669|89054332|16803839
5925674|89051556|15664170
5925677|89041797|10827921
5925683|89042078|11023568
5925695|89054107|16619800
5925705|89061715|20666866
5925706|89042177|11085263
5925707|89052148|15814394
5925710|89039081|8655464
5925728|89063744|21604470
5925732|89060676|20344641
5925739|89037109|5955593
5925740|89037136|6022873
5925741|89038189|7386516
5925762|89037281|6319448
5925764|89036756|5028695
5925766|89041122|10390064
5925767|89041249|10501292
5925780|89052291|15873002
5925787|89051674|15686191
5925790|89037334|6455128
5925794|89045699|12885754
5925802|89062435|20908204
5925803|89063054|21270848
5925804|89060212|20164774
5925807|89036729|4963313
5925824|89037456|6632124
5925856|89036418|3488638
5925859|89063917|21669873
5925865|89048121|14262217
5925870|89052977|16209038
5925871|89038392|22756293
5925879|89052841|16059417
5925880|89047084|13463876
5925886|89037437|6607428
5925889|89056032|18626530
5925897|89041778|10827318
5925899|89060864|20378301
5925904|89062849|21176549
5925910|89053938|16584480
5925913|89037070|5848041
5925932|89037251|6284515
5925946|89040989|10302878
5925948|89063703|21590880
5925953|89038993|8551055
5925955|89040590|10103492
5925957|89037090|5894332
5925961|89047589|13799213
5925970|89045722|12891048
5925976|89037486|6665457
5925992|89042142|11053076
5926002|89036977|5625647
5926011|89046911|13410697
5926013|89037406|6563241
5926019|89049164|15330558
5926025|89061035|20438884
5926030|89063677|21583468
5926039|89036726|4951206
5926045|89063657|21579395
5926047|89053852|16561547
5926048|89055768|18565854
5926052|89039343|9126151
5926060|89053542|16465289
5926071|89044397|12208986
5926079|89046091|13056003
5926085|89055090|17971842
5926094|89062086|20782349
5926099|89048176|14327144
5926104|89040009|9726928
5926106|89036497|3829789
5926110|89049582|15485116
5926114|89037054|5783834
5926118|89044985|12460032
5926121|89054361|17195953
5926125|89038104|7209395
5926131|89059332|19894439
5926134|89042906|11656472
5926136|89056844|19119589
5926143|89056913|19138154
5926151|89039157|8759405
5926152|89042328|11168077
5926154|89048317|14617065
5926162|89054166|16769996
5926179|89058021|19547518
5926181|89038716|8120642
5926184|89040217|9881272
5926194|89042106|11042250
5926202|89046693|13314826
5926206|89046081|13055793
