Centro bankia|Nombre Largo|centro espejo CBK|Nombre en CBK
2228|OFICINA 2228|1102|OF. LAS ROZAS-CALLE REAL
9919|OFICINA 9919|3365|OF. BARCELONA-BERLIN-NUMANCIA
9235|OFICINA 9235|1387|OF. BARCELONA-AVINGUDA MADRID
6662|OFICINA 6662|1182|OF. BARCELONA-SANTS
7729|OFICINA 7729|1213|OF. ÁVILA-BARRIO DE LA UNIVERSIDAD
4776|OFICINA 4776|1227|OF. BARCELONA-POBLE NOU
6669|OFICINA 6669|3523|OF. BARCELONA-ROSSELLÓ
6700|OFICINA 6700|1088|OF. BARCELONA-CASP
9207|OFICINA 9207|1210|OF. BARCELONA-VILA OLÍMPICA
9218|OFICINA 9218|2236|OF. BARCELONA-BALMES
9221|OFICINA 9221|3591|OF. BARCELONA-SANT GERVASI
9230|OFICINA 9230|1760|OF. BARCELONA-PI I MARGALL
9246|OFICINA 9246|3488|OF. BARCELONA-MERIDIANA
9249|OFICINA 9249|3583|OF. BARCELONA-LESSEPS
9254|OFICINA 9254|3033|OF. BARCELONA-BONANOVA
9266|OFICINA 9266|3453|OF. BARCELONA-VIA JULIA
9279|OFICINA 9279|1399|OF. BARCELONA-CLOT
3628|Oficina 3628|2854|OF. GRANADA-PUENTE VERDE
7240|OFICINA 7240|2870|OF. LAS PALMAS GC-SCHAMANN
1059|OFICINA 1059|2857|OF. MADRID-Pº STA. MARÍA CABEZA
1060|OFICINA 1060|2860|OF. MADRID-CARDENAL HERRERA ORIA
1071|OFICINA 1071|2864|OF. MADRID-AGUSTÍN DE FOXA
1076|OFICINA 1076|2873|OF. MADRID-INFANTA MERCEDES-JUAN OL
1093|OFICINA 1093|2877|OF. MADRID-CUATRO CAMINOS
1735|OFICINA ÁGIL 1735|2900|OF. ÁGIL MADRID-DONOSO CORTÉS-MONCL
1953|OFICINA ÁGIL 1953|2912|OF. ÁGIL MADRID-NÚÑEZ DE BALBOA
3058|Oficina 3058|2839|OF. MURCIA-BENIAJAN
3434|Oficina 3434|2841|OF. PALMA-RAMON LLULL
7463|OFICINA 7463|2842|OF. MURILLO DE RÍO LEZA
7602|OFICINA 7602|2843|OF. VALVERDE DEL MAJANO
8692|SUCURSAL BCA PRIVADA BARCELONA|2844|SUCURSAL BCA PRIVADA BARCELONA
9238|CENTRO DE EMPRESAS 9238|2667|CENTRE EMPRESES BARCELONA DIAGONAL II
603|OFICINA 0603|2865|OF. MADRID-CALLE MAYOR
1001|OFICINA 1001|2185|OF. MADRID-SAN BERNARDO-QUEVEDO
1002|OFICINA 1002|2566|OF. MADRID-BRAVO MURILLO-ESTRECHO
1003|OFICINA 1003|2550|OF. MADRID-VALENCIA
1004|OFICINA 1004|2491|OF. MADRID-MONTE IGUELDO-PTE. VALLE
1005|OFICINA 1005|2503|OF. MADRID-TOLEDO
1006|OFICINA 1006|2493|OF. MADRID-CONDE PEÑALVER
1007|OFICINA 1007|2494|OF. MADRID-PPE. VERGARA-DIEGO DE LE
1008|OFICINA 1008|2531|OF. MADRID-CEA BERMUDEZ-FILIPINAS
1009|OFICINA 1009|2569|OF. MADRID-MARTÍNEZ IZQUIERDO
1010|OFICINA 1010|2504|OF. MADRID-EMBAJADORES-DELICIAS
1011|OFICINA 1011|1170|OF. MADRID-GABINO JIMENO
1012|OFICINA 1012|2480|OF. MADRID-VINAROZ
1013|OFICINA 1013|2546|OF. MADRID-DOCTOR ESQUERDO
1014|OFICINA 1014|2530|OF. MADRID-LA REMONTA
1015|OFICINA 1015|2562|OF. MADRID-MARIANO DE CAVIA
1017|OFICINA 1017|2650|OF. MADRID-Pº MUÑOZ GRANDES
1018|OFICINA 1018|2598|OF. MADRID-BARQUILLO
1019|OFICINA 1019|2886|OF. MADRID-Bº FUENCARRAL PUEBLO
1020|OFICINA 1020|2687|OF. MADRID-GRAL. RICARDOS-ALGORTA
1021|OFICINA 1021|2624|OF. MADRID-FERNÁN GONZÁLEZ
1022|OFICINA 1022|2684|OF. MADRID-ALBERTO PALACIOS-PZA. AG
1023|OFICINA 1023|2614|OF. MADRID-ARAVACA-OSA MAYOR
1024|OFICINA 1024|2672|OF. MADRID-PONFERRADA
1025|OFICINA ÁGIL 1025|2519|OF. ÁGIL MADRID-ALCALÁ-ESPARTA
1027|OFICINA 1027|2561|OF. MADRID-NUEVOS MINISTERIOS
1028|OFICINA ÁGIL 1028|2668|OF. ÁGIL MADRID-GTA. RUIZ JIMÉNEZ
1029|OFICINA 1029|2507|OF. MADRID-AV. VERBENA DE LA PALOMA
1030|OFICINA 1030|2579|OF. MADRID-CARLOS MARTÍN ÁLVAREZ-S
1032|OFICINA 1032|2906|OF. MADRID-ALTO EXTREMADURA
1033|OFICINA 1033|2479|OF. MADRID-EUGENIA DE MONTIJO
1034|OFICINA 1034|2481|OF. MADRID-PUERTO RICO
1035|OFICINA 1035|2544|OF. MADRID-PALOMERAS-PTO. CARDOSO
1036|OFICINA 1036|2644|OF. MADRID-EL PARDO
1037|OFICINA 1037|2533|OF. MADRID-AV. AMÉRICA
1038|OFICINA 1038|2645|OF. MADRID-ARAMA
1039|OFICINA 1039|2699|OF. MADRID-GTA. MARQUÉS DE VADILLO
1040|OFICINA 1040|2855|OF. MADRID-JUAN JOSÉ MARTÍNEZ SECO
1041|OFICINA 1041|2597|OF. MADRID-VICENTE MUZAS
1042|OFICINA 1042|2585|OF. MADRID-HERMANOS GARCÍA NOBREJAS
1043|OFICINA 1043|2657|OF. MADRID-PLAZA VIRGEN DEL SAGRARI
1044|OFICINA 1044|2577|OF. MADRID-Pº EXTREMADURA-PTA. DEL
1045|OFICINA 1045|2586|OF. MADRID-BARAJAS PUEBLO
1046|OFICINA 1046|2869|OF. MADRID-MARQUÉS DE CORBERA-LA EL
1047|OFICINA 1047|2426|OF. MADRID-AV. ALBUFERA-PORTAZGO
1048|OFICINA 1048|2840|OF. MADRID-MARQUÉS URQUIJO-MONCLOA
1049|OFICINA 1049|2897|OF. MADRID-ANDRÉS SOLOAGA-CAMPAMENT
1050|OFICINA 1050|3300|OF. MADRID-LA PAZ
1051|OFICINA 1051|3568|OF. MADRID-AV. SAN LUIS
1053|OFICINA 1053|779|OF. MADRID-GÉNOVA
1054|OFICINA 1054|3427|OF. MADRID-AV. BARRANQUILLA
1055|OFICINA 1055|3162|OF. MADRID-PEÑA PRIETA-PICO MONCAYO
1056|OFICINA 1056|2892|OF. MADRID-ATOCHA
1057|OFICINA 1057|2889|OF. MADRID-CRUZ DEL SUR-ASTROS
1058|OFICINA 1058|2601|OF. MADRID-ARR. FONTARRÓN-MORATALAZ
1061|OFICINA 1061|1662|OF. ALCORCÓN-SAN JOSÉ DE VALDERAS
1062|OFICINA 1062|500|OF. MADRID-LAGUNA
1063|OFICINA 1063|2871|OF. MADRID-JERÓNIMA LLORENTE
1064|OFICINA 1064|2891|OF. MADRID-LA VENTILLA
1065|OFICINA 1065|2446|OF. MADRID-LAGASCA
1066|OFICINA ÁGIL 1066|1893|OF. ÁGIL MADRID-V VALLECAS-SIERRA A
1067|OFICINA 1067|3230|OF. MADRID-VILLALMANZO-VICÁLVARO
1069|OFICINA 1069|1175|OF. MADRID-SAN POL DE MAR
1072|OFICINA 1072|1966|OF. MADRID-VALMOJADO
1073|OFICINA 1073|3393|OF. MADRID-ALCALDE MARTÍN ALZAGA
1074|OFICINA 1074|3432|OF. MADRID-PL. DE LOS PINAZO
1075|OFICINA 1075|3330|OF. MADRID-VALDECANILLAS-PRAVIA
1077|OFICINA 1077|2905|OF. MADRID-AV. BRUSELAS-PARQUE AVEN
1078|OFICINA 1078|3417|OF. MADRID-FERROCARRIL
1080|OFICINA 1080|3425|OF. MADRID-ESTEBAN COLLANTES
1082|OFICINA 1082|3191|OF. MADRID-ENTREVÍAS-SIERRA CONTRAV
1083|OFICINA 1083|3122|OF. LEGANÉS-LA FORTUNA
1084|OFICINA 1084|3581|OF. MADRID-STA. VIRGILIA
1085|OFICINA 1085|3380|OF. MADRID-AV. CDAD. BARCELONA-PACÍ
1086|OFICINA 1086|3336|OF. MADRID-EZEQUIEL SOLANA
1087|OFICINA 1087|966|OF. MADRID-ARTURO SORIA-CALERUEGA
1088|OFICINA 1088|939|OF. MADRID-PL. ARTESANOS
1092|OFICINA 1092|3303|OF. MADRID-BEGOÑA
1094|OFICINA 1094|3269|OF. MADRID-OLIVA DE PLASENCIA
1095|OFICINA 1095|2884|OF. MADRID-EL GRECO-VILLAVIEJA
1096|OFICINA 1096|3259|OF. MADRID-DOLORES BARRANCO
1097|OFICINA 1097|246|OF. MADRID-CAMINO VIEJO LEGANÉS-MIN
1098|OFICINA 1098|1065|OF. MADRID-CLARA DEL REY
1099|OFICINA 1099|1349|OF. MADRID-AV. DEL MANZANARES
1100|OFICINA 1100|1367|OF. MADRID-OROVILLA
1101|OFICINA 1101|3412|OF. MADRID-CARLOS MAURRAS-DR. FLEMI
1102|OFICINA 1102|2888|OF. MADRID-POTOSI
1103|OFICINA 1103|1333|OF. MADRID-MARCELO USERA-PILARICA
1104|OFICINA 1104|992|OF. MADRID-PLAZA VIRGEN DEL ROMERO
1105|OFICINA 1105|3226|OF. MADRID-RÍOS ROSAS
1106|OFICINA ÁGIL 1106|3193|OF. ÁGIL MADRID-FCO. SILVELA-DIEGO
1107|OFICINA 1107|3478|OF. MADRID-BARRIO DEL PILAR
1108|OFICINA 1108|3283|OF. MADRID-REINA VICTORIA
1109|OFICINA 1109|3100|OF. MADRID-MENÉNDEZ PELAYO
1110|OFICINA 1110|3424|OF. MADRID-ILLESCAS
1113|OFICINA 1113|3367|OF. ALCORCÓN-PARQUE LISBOA
1114|OFICINA 1114|2887|OF. MADRID-SAN JUAN BAUTISTA
1115|OFICINA 1115|1301|OF. MADRID-ERASO-GUINDALERA
1116|OFICINA 1116|3400|OF. MADRID-SAN GERARDO-SACONIA
1118|OFICINA 1118|998|OF. MADRID-STA. EUGENIA-VIRGEN LAS
1119|OFICINA 1119|3284|OF. MADRID-PERIODISTAS-F.CABALLERO
1120|OFICINA 1120|3394|OF. MADRID-ALAMEDA DE OSUNA-BALANDR
1121|OFICINA 1121|3304|OF. MADRID-AV. DE OPORTO
1122|OFICINA 1122|1601|OF. MADRID-EDIFICIO GALAXIA-MONCLOA
1123|OFICINA 1123|2925|OF. MADRID-ANTONIO LÓPEZ
1124|OFICINA 1124|4422|OF. MADRID-ANTONIO LEYVA-A. SÁNCHEZ
1125|OFICINA 1125|623|OF. MADRID-MEZQUITA
1127|OFICINA ÁGIL 1127|3250|OF. ÁGIL MADRID-GASÓMETRO
1128|OFICINA 1128|3440|OF. MADRID-VILLAVICIOSA
1129|OFICINA 1129|1165|OF. MADRID-Gª NOBLEJAS-MATAMOROSA
1130|OFICINA 1130|3988|OF. LEGANÉS-JUAN CARLOS I-ZARZAQUEM
1131|OFICINA 1131|3865|OF. MADRID-OCA-ALFARO
1132|OFICINA 1132|1757|OF. MADRID-DELICIAS-BUSTAMANTE
1133|OFICINA 1133|1312|OF. MADRID-DOCTOR ESQUERDO-LIRA
1134|OFICINA 1134|793|OF. MADRID-NARVÁEZ-O'DONNELL
1135|OFICINA 1135|1127|OF. MADRID-MONSEÑOR OSCAR ROMERO
1136|OFICINA 1136|1872|OF. MADRID-FUENTE DEL TIRO
1137|OFICINA 1137|3570|OF. MADRID-AV. ALBUFERA-NUEVA NUMAN
1138|OFICINA ÁGIL 1138|3101|OF. ÁGIL MADRID-PALOMERAS-PEDRO LAB
1139|OFICINA 1139|496|OF. MADRID-CONGOSTO
1140|OFICINA 1140|2850|OF. MADRID-JUAN DUQUE
1141|OFICINA 1141|3194|OF. MADRID-BARCELÓ
1142|OFICINA 1142|2890|OF. MADRID-BLASCO DE GARAY
1144|OFICINA 1144|3461|OF. MADRID-JOSÉ DEL HIERRO
1145|OFICINA 1145|3254|OF. MADRID-ALBERTO PALACIOS-ARENAS
1146|OFICINA ÁGIL 1146|3328|OF. ÁGIL MADRID-AYALA
1149|OFICINA 1149|3564|OF. MADRID-FRANCOS RODRÍGUEZ
1150|OFICINA 1150|988|OF. MADRID-ALCALÁ-VENTAS
1153|OFICINA 1153|2885|OF. MADRID-ORENSE
1154|OFICINA 1154|2502|OF. MADRID-CAPITÁN HAYA-GRAL. YAGÜE
1155|OFICINA 1155|1322|OF. MADRID-VALDEACEDERAS
1157|OFICINA 1157|3414|OF. MADRID-HUMANES
1159|OFICINA 1159|929|OF. MADRID-CUEVAS DE ALMANZORA
1163|OFICINA 1163|1305|OF. MADRID-DOCTOR ESQUERDO-O'DONNEL
1165|OFICINA 1165|1356|OF. MADRID-ALCALÁ-QUINTANA
1166|OFICINA 1166|579|OF. MADRID-RICARDO ORTIZ
1169|OFICINA 1169|3231|OF. MADRID-ALCALÁ-PUEBLO NUEVO
1170|OFICINA 1170|3434|OF. MADRID-GRAN VÍA
1172|OFICINA 1172|933|OF. MADRID-LOS YÉBENES
1173|OFICINA 1173|913|OF. MADRID-VIRGEN DEL CORTIJO
1174|OFICINA ÁGIL 1174|1988|OF. ÁGIL MADRID-BRAVO MURILLO-ALVAR
1175|OFICINA 1175|1357|OF. MADRID-Pº DE LAS ACACIAS-ACACIA
1178|OFICINA 1178|3555|OF. MADRID-CAMINO DE VINATEROS-VINA
1179|OFICINA 1179|1139|OF. MADRID-PEZ
1181|OFICINA 1181|3189|OF. MADRID-ALTAMIRA
1182|OFICINA 1182|1187|OF. MADRID-TACONA
1183|OFICINA 1183|1329|OF. MADRID-LÓPEZ DE HOYOS
1185|OFICINA 1185|3182|OF. MADRID-TEMBLEQUE
1186|OFICINA 1186|1400|OF. MADRID-ETRURIA-LUCANO
1187|OFICINA 1187|631|OF. MADRID-AÑASTRO
1188|OFICINA 1188|2883|OF. MADRID-FEDERICO GRASES
1189|OFICINA 1189|3444|OF. MADRID-AV. CDAD. BARCELONA-ADEL
1190|OFICINA 1190|909|OF. MADRID-ILLESCAS-ESCALONA
1193|OFICINA 1193|689|OF. MADRID-AV. ABRANTES-FCO. PAINO
1195|OFICINA 1195|3465|OF. MADRID-CEBREROS
1196|OFICINA 1196|5398|OF. MADRID-AV. BADAJOZ-TORRELAGUNA
1197|OFICINA ÁGIL 1197|3392|OF. ÁGIL MADRID-GENERAL RICARDOS-UR
1198|OFICINA 1198|8336|OF. MADRID-VILLA VALLECAS-REAL ARGA
1301|OFICINA ÁGIL 1301|2894|OF. ÁGIL MADRID-CARABANCHEL
1302|OFICINA ÁGIL 1302|3441|OF. ÁGIL MADRID-C MARTÍN ÁLVAREZ-S
