ID_HAYA,ID_CAIXA,ESTADO_PUBLICACION_VENTA,ESTADO_PUBLICACION_ALQUILER,MOTIVO_VENTA,MOTIVO_ALQUILER
7230000,89018531,01,01,,
7297389,89013015,03,01,,
7297770,89021713,04,01,01,
7297768,89005582,04,01,07,
7297765,89021711,01,01,,
7297764,89021720,01,01,,
6965688,89019684,03,03,,
7297766,89021722,04,01,01,
7297760,89021462,04,01,01,
7297377,89021673,01,01,,
7293443,89019839,03,01,,
7017056,89023148,01,01,,
7017058,89024026,01,01,,
7017059,89023881,04,01,01,
7017060,89023794,01,01,,
7292769,89019119,04,01,01,
7014610,89003775,04,01,07,
7014607,89019549,01,01,,
7014613,89023848,01,01,,
7014609,89023065,01,01,,
7014614,89019085,03,01,,
7014612,89019081,04,01,01,
7014608,89019526,01,01,,
7014611,89019523,01,01,,
7294137,89018572,03,01,,
7294133,89020234,04,01,01,
7294130,89020245,04,01,01,
7000187,89021447,01,01,,
7226605,89018923,01,01,,
7226604,89018925,01,01,,
7225977,89018642,03,01,,
7008437,89004787,01,01,,
7297448,89021690,01,01,,
7297452,89005577,03,01,,
7297450,89021692,01,01,,
7017485,89003684,03,01,,
7297438,89021651,01,01,,
7297443,89021685,01,01,,
7226492,89005323,01,01,,
7226490,89019073,01,01,,
7294507,89003196,04,01,07,
7294509,89020589,04,01,01,
6979599,89026547,04,04,01,01
7016355,89024174,01,01,,
7015908,89023748,01,01,,
6983450,89023326,01,01,,
6999242,89020708,03,01,,
6989100,89026849,04,01,01,
6992052,89027808,03,01,,
6980377,89020955,03,01,,
6983449,89023324,03,01,,
6994332,89017755,04,01,01,
6994648,89017764,04,01,01,
6993917,89016919,03,01,,
6982354,89022502,03,01,,
6982039,89022793,01,01,,
6994623,89017762,04,01,01,
7016568,89006772,03,01,,
7015067,89024033,01,01,,
7015064,89012925,04,01,01,
7015066,89012553,04,01,01,
7015068,89004837,01,01,,
7015065,89004705,01,01,,
7017497,89022890,01,01,,
5932925,89006073,04,01,12,
5934461,89006099,04,01,01,
5942026,89006074,04,01,01,
5956118,89006082,03,01,,
5965103,89006083,03,01,,
5966400,89006101,03,01,,
5962662,89006084,04,01,01,
5949467,89006085,03,01,,
5926444,89006039,04,01,01,
5962105,89006040,04,01,01,
5965537,89006086,03,01,,
5943333,89006087,04,01,01,
5932567,89006075,04,01,01,
5963538,89006076,04,01,01,
6071476,89006077,01,01,,
5960706,89006089,04,01,01,
5942103,89006078,04,01,01,
5931434,89006063,04,01,01,
5952436,89006042,04,01,01,
5959537,89006043,04,01,01,
5961407,89006044,04,01,01,
5959623,89006045,01,01,,
5932393,89006081,04,01,01,
5942665,89006046,04,01,01,
5946144,89006047,01,01,,
5944710,89006048,04,01,01,
5936895,89006049,04,01,01,
5960156,89006052,04,01,01,
5936363,89006053,04,01,01,
