Acreedor|Nº ident.fis.1
4000000|S7800001E
4000001|S2813001A
4000002|P0801900B
4000003|P1308200C
4000004|P2806500A
4000005|P2807900B
4000006|P2804000D
4000007|P2811500D
4000008|P0312800F
4000009|S1911001D
4000010|S4711001J
4000011|Q2826011E
4000012|Q2840001H
4000013|P2515100B
4000014|P1708500B
4000015|P2816700E
4000016|P4315000B
4000017|P4315800E
4000018|P0807600B
4000019|P2806000B
4000020|P1709600I
4000021|P1719100H
4000022|P0804000H
4000023|P1300000E
4000024|P4300000I
4000025|P4318500H
4000026|P1110100C
4000027|P0200300B
4000028|S5011001D
4000029|P0208100H
4000030|P1015100I
4000031|P1102700J
4000032|P0601500B
4000033|P2305000H
4000034|S1511001H
4000035|P3003500J
4000036|P0401300I
4000040|S0611001I
4000041|P0600000D
4000042|P3501700C
4000043|P2905100J
4000044|P0810100H
4000045|P0812000H
4000046|P1213800D
4000047|P3003000A
4000048|P4614700E
4000049|S3011001I
4000050|P0300000G
4000051|P3603800H
4000052|S0711001H
4000053|P4100000A
4000054|Q2826000H
4000055|P1712500F
4000056|P0309900I
4000057|P0301400H
4000058|P1204000B
4000059|P0818600I
4000060|P1102000E
4000061|P5300003J
4000062|S4833001C
4000063|S3511001D
4000064|P1500000C
4000065|P0704000I
4000066|Q0840001B
4000067|P0801500J
4000068|S5500006A
4000069|P0800000B
4000070|P5200010F
4000071|P0700052D
4000072|P0811200E
4000073|P0804200D
4000074|Q5100011E
4000075|P1207700D
4000076|P4516200E
4000077|S3100000C
4000078|P8700006C
4000079|P4622200F
4000080|Q9155006A
4000081|S3933002B
4000082|P2702800J
4000083|P1716400E
4000084|P2504600D
4000085|P6700002F
4000086|Q0801480E
4000087|Q4601395I
4000088|P4618100D
4000089|P4605400C
4000090|Q3000762I
4000091|S0811001G
4000092|P8802303A
4000093|Q4100778B
4000094|P4609500F
4000095|P1214400B
4000096|Q0700546E
4000097|Q6550004C
4000098|P2104400C
4000099|P1808900C
4000100|Q3800444F
4000101|Q4075001J
4000102|S2616001J
4000103|P1208500G
4000104|Q3500461C
4000105|P0816200J
4000106|P1200900G
4000107|P2907500I
4000108|Q5750001I
4000109|P1700053J
4000110|S5016001I
4000115|P0200100F
4000116|P0200500G
4000117|P0200600E
4000118|P0200800A
4000119|P0200900I
4000120|P0201000G
4000121|P0201200C
4000122|P0201500F
4000123|P0201900H
4000124|P0202200B
4000125|P0202500E
4000126|P0202900G
4000127|P0203000E
4000128|P0203200A
4000129|P0203300I
4000130|P0203400G
4000131|P0203500D
4000132|P0203700J
4000133|P0204000D
4000134|P0204200J
4000135|P0204500C
4000136|P0204800G
4000137|P0204900E
4000138|P0205200I
4000139|P0205400E
4000140|P0205600J
4000141|P0205700H
4000142|P0206000B
4000143|P0206300F
4000144|P0206400D
4000145|P0206700G
4000146|P0206900C
4000147|P0207100I
4000148|P0207200G
4000149|P0207300E
4000150|P0207400C
4000151|P0207500J
4000152|P0207800D
4000153|P0207900B
4000154|P0208000J
4000155|P0208600G
4000156|P0700200I
4000157|P0700300G
4000158|P0700400E
4000159|P0700500B
4000160|P0700600J
4000161|P0700700H
4000162|P0700800F
4000163|P0701000B
4000164|P0701100J
4000165|P0701200H
4000166|P0701300F
4000167|P0701400D
4000168|P0701500A
4000169|P0701600I
4000170|P0701900C
4000171|P0702200G
4000172|P0702300E
4000173|P0702500J
4000174|P0702600H
4000175|P0702700F
4000176|P0703000J
4000177|P0703100H
4000178|P0703200F
4000179|P0703300D
4000180|P0703500I
4000181|P0703600G
4000182|P0703700E
4000183|P0703800C
4000184|P0703900A
4000185|P0704100G
4000186|P0704200E
4000187|P0704300C
4000188|P0704400A
4000189|P0704600F
4000190|P0704700D
4000191|P0705100F
4000192|P0705200D
4000193|P0705400J
4000194|P0705500G
4000195|P0705600E
4000196|P0705700C
4000197|P0705900I
4000198|P0706000G
4000199|P0706200C
4000200|P0706400I
4000201|P0706500F
4000202|P0800100J
4000203|P0800300F
4000204|P0800500A
4000205|P0800600I
4000206|P0800700G
4000207|P0800900C
4000208|P0801000A
4000209|P0801200G
4000210|P0801300E
4000211|P0801600H
4000212|P0801700F
4000213|P0802200F
4000214|P0802300D
4000215|P0802500I
4000216|P0802800C
4000217|P0802900A
4000218|P0803000I
4000219|P0803100G
4000220|P0803200E
4000221|P0803300C
4000222|P0803500H
4000223|P0803900J
4000224|P0804300B
4000225|P0804500G
4000226|P0804600E
4000227|P0804800A
4000228|P0805000G
4000229|P0805200C
4000230|P0805300A
4000231|P0805500F
4000232|P0805700B
4000233|P0806000F
4000234|P0806100D
4000235|P0806300J
4000236|P0806400H
4000237|P0806700A
4000238|P0807100C
4000239|P0807200A
4000240|P0807300I
4000241|P0807400G
4000242|P0807500D
4000243|P0808100B
4000244|P0808300H
4000245|P0808400F
4000246|P0808500C
4000247|P0808800G
4000248|P0809000C
4000249|P0809100A
4000250|P0809300G
4000251|P0809500B
4000252|P0809800F
4000253|P0810000J
4000254|P0810400B
4000255|P0810500I
4000256|P0810600G
4000257|P0810900A
4000258|P0811100G
4000259|P0811300C
4000260|P0811400A
4000261|P0811600F
4000262|P0811700D
4000263|P0811800B
4000264|P0811900J
4000265|P0812100F
4000266|P0812200D
4000267|P0812300B
4000268|P0812400J
4000269|P0812500G
4000270|P0812600E
4000271|P0812700C
4000272|P0813300A
4000273|P0813400I
4000274|P0813500F
4000275|P0813700B
4000276|P0813900H
4000277|P0814000F
4000278|P0814400H
4000279|P0814500E
4000280|P0814600C
4000281|P0814700A
4000282|P0815500D
4000283|P0815600B
4000284|P0815700J
4000285|P0816000D
4000286|P0816100B
4000287|P0816400F
4000288|P0816600A
4000289|P0816700I
4000290|P0816800G
4000291|P0817100A
4000292|P0817400E
4000293|P0817500B
4000294|P0817900D
4000295|P0818100J
4000296|P0818200H
4000297|P0818300F
4000298|P0818900C
4000299|P0819000A
4000300|P0819100I
4000301|P0819200G
4000302|P0819300E
4000303|P0819500J
4000304|P0819600H
4000305|P0819700F
4000306|P0819900B
4000307|P0820100F
4000308|P0820200D
4000309|P0820400J
4000310|P0820700C
4000311|P0820800A
4000312|P0820900I
4000313|P0821000G
4000314|P0821200C
4000315|P0821300A
4000316|P0821400I
4000317|P0821600D
4000318|P0821700B
4000319|P0822000F
4000320|P0822200B
4000321|P0822400H
4000322|P0822500E
4000323|P0822700A
4000324|P0823100C
4000325|P0823200A
4000326|P0823400G
4000327|P0823500D
4000328|P0823600B
4000329|P0823800H
4000330|P0824000D
4000331|P0824400F
4000332|P0824500C
4000333|P0824600A
4000334|P0824800G
4000335|P0825000C
4000336|P0825100A
4000337|P0825200I
4000338|P0825900D
4000339|P0826000B
4000340|P0826100J
4000341|P0826200H
4000342|P0826300F
4000343|P0826600I
4000344|P0826700G
4000345|P0826800E
4000346|P0826900C
4000347|P0827000A
4000348|P0827300E
4000349|P0827400C
4000350|P0827700F
4000351|P0827900B
4000352|P0828100H
4000353|P0828200F
4000354|P0828300D
4000355|P0828400B
4000356|P0828500I
4000357|P0828600G
4000358|P0828700E
4000359|P0828800C
4000360|P0828900A
4000361|P0829100G
4000362|P0829500H
4000363|P0829600F
4000364|P0829900J
4000365|P0830100D
4000366|P0830200B
4000367|P0830300J
4000368|P0830600C
4000369|P0830700A
4000370|P0830800I
4000371|P0831200A
4000372|P1300500D
4000373|P1300700J
4000374|P1300900F
4000375|P1301100B
4000376|P1301300H
4000377|P1301400F
4000378|P1301500C
4000379|P1301800G
4000380|P1301900E
4000381|P1302000C
4000382|P1302300G
4000383|P1302800F
4000384|P1303100J
4000385|P1303400D
4000386|P1303900C
4000387|P1304000A
4000388|P1304500J
4000389|P1304700F
4000390|P1304800D
4000391|P1304900B
4000392|P1305000J
4000393|P1305200F
4000394|P1305400B
4000395|P1305600G
4000396|P1305700E
4000397|P1305800C
4000398|P1306100G
4000399|P1306200E
4000400|P1306400A
4000401|P1306500H
4000402|P1306600F
4000403|P1307000H
4000404|P1307100F
4000405|P1307200D
4000406|P1307600E
4000407|P1307800A
4000408|P1307900I
4000409|P1308000G
4000410|P1308100E
4000411|P1308300A
4000412|P1308700B
4000413|P1308800J
4000414|P1308900H
4000415|P1309000F
4000416|P1309100D
4000417|P1309300J
4000418|P1309600C
4000419|P1309700A
4000420|P1309800I
4000421|P1309900G
4000422|P1310000C
4000423|P1600300F
4000424|P1602200F
4000425|P1602700E
4000426|P1604000H
4000427|P1605700B
4000428|P1605800J
4000429|P1606100D
4000430|P1606200B
4000431|P1606700A
4000432|P1607900F
4000433|P1608900E
4000434|P1609000C
4000435|P1610300D
4000436|P1610500I
4000437|P1611100G
4000438|P1611700D
4000439|P1611800B
4000440|P1612400J
4000441|P1613200C
4000442|P1613300A
4000443|P1613400I
4000444|P1614200B
4000445|P1614300J
4000446|P1614400H
4000447|P1616200J
4000448|P1616300H
4000449|P1616600A
4000450|P1617500B
4000451|P1618300F
4000452|P1619500J
4000453|P1619900B
4000454|P1621200C
4000455|P1622600C
4000456|P1624500C
4000457|P1625400E
4000458|P1625500B
4000459|P1626300F
4000460|P1627300E
4000461|P1627400C
4000462|P1628000J
4000463|P1628100H
4000464|P1700200G
4000465|P1700800D
4000466|P1700900B
4000467|P1701400B
4000468|P1701600G
4000469|P1702200E
4000470|P1702500H
4000471|P1702600F
4000472|P1702900J
4000473|P1703700C
4000474|P1703800A
4000475|P1704000G
4000476|P1704300A
4000477|P1704700B
4000478|P1704900H
4000479|P1705100D
4000480|P1705200B
4000481|P1705300J
4000482|P1705400H
4000483|P1705600C
4000484|P1706100C
4000485|P1706800H
4000486|P1707200J
4000487|P1707900E
4000488|P1708900D
4000489|P1709300F
4000490|P1709900C
4000491|P1710000I
4000492|P1710100G
4000493|P1710200E
4000494|P1710700D
4000495|P1710800B
4000496|P1710900J
4000497|P1711700C
4000498|P1712100E
4000499|P1712400I
4000500|P1712700B
4000501|P1713200B
4000502|P1714000E
4000503|P1714300I
4000504|P1714600B
4000505|P1715000D
4000506|P1715100B
4000507|P1715500C
4000508|P1715600A
4000509|P1715700I
4000510|P1716100A
4000511|P1717000B
4000512|P1717100J
4000513|P1717300F
4000514|P1717400D
4000515|P1717700G
4000516|P1717900C
4000517|P1718000A
4000518|P1718500J
4000519|P1718600H
4000520|P1718700F
4000521|P1719200F
4000522|P1719400B
4000523|P1719700E
4000524|P1719800C
4000525|P1719900A
4000526|P1720200C
4000527|P1720500F
4000528|P1720700B
4000529|P1721200B
4000530|P1721500E
4000531|P1721700A
4000532|P1722400G
4000533|P1722500D
4000534|P1722700J
4000535|P1722900F
4000536|P1723400F
4000537|P1723500C
4000538|P1723600A
4000539|P1724100A
4000540|P1725100J
4000541|P1900700D
4000542|P1900800B
