E. Recaudaciony Servicios, S.A. (ERESSAN)|A11293123|C/ Palacio Municipal - Cuesta de Belén s/n|11540|11032|956388036|956382168|||11|1|13|Palacio Municipal - Cuesta de Belén|CL
Gest. Integral Residuos Sólidos, S.A. (GIRSA)|A96157011|C/ Santa Amalia 2|46009|46250|963390250|963931362|||46|10|17|Santa Amalia|CL
Mc. Sasieta|G20320628|Bº Salbatore -Iturraldetxiki Industrialdea 3-2º|20200|20019|943161555|943160604|www.sasieta.eus|info@sasieta.eus|20|16|17|Salbatore -Iturraldetxiki Industrialdea|CL
Mc. Aguas de Baltanás y Villaviudas|G34026328|Plaza de España 1|34240|34022|979790049|979790666|||34|7|17|de España|PL
Mc. Centro-Norte de Gran Canaria|G35425347|Plaza San Roque 1|35430|35008|||||35|5|17|San Roque|PL
Mc. El Brusco|G39348503|Plaza de La Constitución 1|39197|39005|942626025|942626065|elbrusco.sedelectronica.es|info@elbrusco.es|39|6|17|de La Constitución|PL
Mc. Valverde|G49130164|Plaza Mayor s/n|49698|49029|980640431||||49|7|17|Mayor|PL
Mc. Abastecimiento Nonaspe-Fabara|G50683234|C/ Huche s/n|50794|50189|976636001|976636064|||50|2|17|Huche|CL
Mc. Serv. Urbanísticos Sierra del Alberche|G82946872|Plaza Real 1|28680|28133|918676506|||sierraalberche@terra.es|28|13|17|Real|PL
Ayuntamiento de Erriberagoitia/Ribera Alta|P0105200J|Bº La Estación s/n|1420||945362021|945362007||aralta.luisa@ayto.alava.net|1|16|13|La Estación|CL
Ayuntamiento de Harana/Valle de Arana|P0106500B|Avda. Entzia 1|1117||945406006|945406006||avarana.carlos@ayto.alava.net|1|16|13|Entzia|AV
Ayuntamiento de Benasau|P0302200A|C/ Mayor 40|3814|3022|965513123|965513034|www.benasau.es|benasau@benasau.es|3|10|13|Mayor|CL
Ayuntamiento de Beniarrés|P0302800H|C/ Rosa Escrig 6|3850|3028|965515059|965515068|www.beniarres.org|beniarres@dip-alicante.es|3|10|13|Rosa Escrig|CL
Ayuntamiento de Fines|P0404400D|Plaza Constitución 1|4869|4044|950444367|950444358|www.villadefines.com|ayuntamiento@villadefines.com|4|1|13|Constitución|PL
Ayuntamiento de Lubrín|P0405900B|C/ Mayor 1|4271|4059|950477001|950477208|www.lubrin.es|eaguerac@lubrin.es|4|1|13|Mayor|CL
Ayuntamiento de Sierro|P0408400J|Plaza Andalucía s/n|4878|4084|950423404|950423404||al076sec@dipalme.org, slozanos@dipalme.org|4|1|13|Andalucía|PL
Mc. Aguas del Corneja|P0500011B|C/ SAN CRISTOBAL 11|5510|5225|920367301||||5|7|17|SAN CRISTOBAL|CL
C. Local para la Gestión de Residuos Urbanos del Valle del Tietar|P0500035A|C/ Canteros s/n|5005|5019|920206211|920206217||consorcio@diputacionavila.es|5|7|17|Canteros|CL
Ayuntamiento de Castellanos de Zapardiel|P0505600G|C/ C/ BARROMAN sn|5229|5056|920323061||||5|7|13|C/ BARROMAN|CL
Ayuntamiento de Gallegos de Altamiros|P0507900I|C/ C/. AYUNTAMIENTO, sn|5141|5079|920269241|||ayuntamientoaveinte@hotmail.es|5|7|13|C/. AYUNTAMIENTO,|CL
Ayuntamiento de Gallegos de Sobrinos|P0508000G|C/ PL. LAS ERAS,12|5147|5080|920232288||||5|7|13|PL. LAS ERAS,12|CL
Ayuntamiento de Gutierre-Muñoz|P0509000F|C/ CL. ASUNCION, 3|5296|5090|920301951||||5|7|13|CL. ASUNCION, 3|CL
Ayuntamiento de Moraleja de Matacabras|P0513400B|Plaza La Iglesia 1|5299||920320453||aytomoralejadematacabras@yahoo.es||5|7|13|La Iglesia|PL
Ayuntamiento de Nava del Barco|P0515300B|C. Corral, 21|5697|5153||||secretaria@navadelbarco.com|5|7|13|C. Corral, 21|CL
Ayuntamiento de Navaquesera|P0516400I|C/ PZ. ESPAÑA, 1|5122|5164|651457328||||5|7|13|PZ. ESPAÑA, 1|CL
Ayuntamiento de Neila de San Miguel|P0517100D|Calle Iglesia, 78|5619|5171||||neila@diputacionavila.net|5|7|13|Calle Iglesia, 78|CL
Ayuntamiento de Oso (El)|P0517500E|C. Eras, 1|5164|5175||||ayt-el-oso@navegalia.com|5|7|13|C. Eras, 1|CL
Ayuntamiento de Poveda|P0518800H|C/ La Plaza 4|5550|5188|920230328|||ayunpov@tiscali.es|5|7|13|La Plaza|CL
Ayuntamiento de San Pascual|P0521900A|Plaza Plazuela 1|5164|5219|920208025|||ayuntamientosanpascual@gmail.com|5|7|13|Plazuela|PL
Ayuntamiento de Santa Cruz del Valle|P0522100G|C/ PZA. CONSTITUCION, 1|5413|5221|920386201|||aytosantacruz@telefonica.net|5|7|13|PZA. CONSTITUCION, 1|CL
Ayuntamiento de Sotalbo|P0523900I|C/ CL. PUENTE NUEVO, 2|5198|5239|920267613|||aytosotalbo@gmail.com|5|7|13|CL. PUENTE NUEVO,|CL
Ayuntamiento de Tormellas|P0524400I|Calle Iglesia, 178|5698|5244||||secretaria@tormellas.com|5|7|13|Calle Iglesia, 178|CL
Ayuntamiento de Vega de Santa María|P0525300J|C/ PZ. DE LA CONSTITUCION 1|5292|5253|920200201|||vegadiputacionavila.es|5|7|13|PZ. DE LA CONSTITUCION|CL
Mc. Aguas del Pantano de Cornalvo|P0600007I|Plaza de España 1|6891|6084|924320647|924320514||mirandilla@dip-badajoz.es|6|11|17|de España|PL
Ayuntamiento de Atalaya|P0601300G|C/ CRUZ 2|6329|6013|924560060|924560118|www.atalaya.es|ayuntamiento@atalaya.es|6|11|13|CRUZ|CL
Ayuntamiento de Cabeza la Vaca|P0602400D|C/ DEL MEDIO 1|6293|6024|924583002|924583132|www.cabezalavaca.es|ayuntamiento@cabezalavaca.es|6|11|13|DEL MEDIO|CL
Ayuntamiento de Cordobilla de Lácara|P0603800D|Avda. Constitución 12|6487|6038|924320022|924320220|www.cordobilladelacara.es|aytocordobilla@hotmail.com|6|11|13|Constitución|AV
Ayuntamiento de Garbayuela|P0605600F| Pl. Constitución, 1|6690|6056||||garbayuela@dip-badajoz.es|6|11|13| Pl. Constitución, 1|PL
Ayuntamiento de Maguilla|P0607600D|Pl. Constitución, 1|6939|6076||||maguilla@dip-badajoz.es|6|11|13|Pl. Constitución, 1|PL
Ayuntamiento de Salvaleón|P0611600H|Plaza España 1|6174|6116|924752511|924752756||ayuntamiento@salvaleon.es|6|11|13|España|PL
Ayuntamiento de Talarrubias|P0612700E|Plaza España 01|6640|6127|924630100|924631035|talarrubias.info|secretario@talarrubias.es|6|11|13|España|PL
Ayuntamiento de Tamurejo|P0613000I|C/ La Ronda 1|6658|6130|924633191|924633134|www.tamurejo.es|tamurejo@dip-badajoz.es|6|11|13|La Ronda|CL
Ayuntamiento de Valdecaballeros|P0613700D|Pl. de España, 1|6689|6137||||valdecaballeros@dip-badajoz.es|6|11|13|Pl. de España, 1|PL
Ayuntamiento de Valverde de Burguillos|P0614200D|Plaza de España, 1|6378|6142||||vburguillos@dip-badajoz.es|6|11|13|Plaza de España, 1|PL
Ayuntamiento de Valverde de Leganés|P0614300B|Plaza Constitución 3|6130|6143|924496011|924496402||sintervencion@valverdedeleganes.es|6|11|13|Constitución|PL
Ayuntamiento de Avià|P0801100I|Avda. PAU CASALS 22|8610|8011|938230000|938231002|www.avia.cat|avia@diba.cat|8|9|13|PAU CASALS|AV
'''''''Ayuntamiento de Espunyola (L'''''''')'''''''|P0807700J|Carretera Solsona, 0|8619|8106||||espunyola@diba.es|8|9|13|Carretera Solsona, 0|CL
Ayuntamiento de Gallifa|P0808600A|Plaça Ajuntament 1|8146|8087|938662121||gallifa.cat|gallifa@gallifa.cat|8|9|13|Ajuntament|PL
Ayuntamiento de Montesquiu|P0813000G|Pl. de la República|8589|8131||||montesquiu@diba.es|8|9|13|Pl. de la República|PL
Ayuntamiento de Pacs del Penedès|P0815300I|Avinguda de la Diputació, 1|8739|8154||||pacs@diba.es|8|9|13|Avinguda de la Diputació, 1|AV
Ayuntamiento de Parets del Vallès|P0815800H|Carrer Major 2-4|8150|8159|935738890|935621154||ester.panadero@parets.cat/secretaria@parets.org|8|9|13|Major|CL
Ayuntamiento de Vilanova de Sau|P0830400H|Passg. Verdaguer, 7|8519|8303|938847006|938847106|www.vilanovadesau.cat|vilanovas@diba.cat|8|9|13|Verdaguer,|PA
Mc. Tierras del Cid|P0900579D|Pº HORMIGONES MARCOS 7|9141|9906|636391341|||segundoaalonso@gmail.com|9|7|17|HORMIGONES MARCOS|PL
Ayuntamiento de Arauzo de Torre|P0902200E|C/ Real 5|9452|9022|947392211|947392211||arauzodetorre@diputaciondeburgos.netom|9|7|13|Real|CL
Ayuntamiento de Bahabón de Esgueva|P0903400J|C/ C/ ESCUELA S/N|9350|9033|947170087|947170087||aytobahabon@gmail.com|9|7|13|C/ ESCUELA|CL
Ayuntamiento de Bozoó|P0905600C|C/ LAS ESCUELAS 28|9219|9054|947566032||||9|7|13|LAS ESCUELAS 28|CL
Ayuntamiento de Brazacorta|P0905700A|Plaza De la Villa 11|9490|9055|947527380|||brazacorta@diputaciondeburgos.net|9|7|13|De la Villa|PL
Ayuntamiento de Fuentemolinos|P0914200A|Plaza Iglesia s/n.|9315|9139|947531000||||9|7|13|Iglesia|PL
Ayuntamiento de Haza|P0915800G|C/ Ayuntamiento s/n.|9316|9155|947532830||||9|7|13|Ayuntamiento|CL
Ayuntamiento de Hontangas|P0916300G|C/ plz meson 1|4462|9160|947531023||||9|7|13|plz meson 1|CL
Ayuntamiento de Hontoria de la Cantera|P0916500B|C/ PLZ.CANTINA LINESIS|9531|9162|947406847||||9|7|13|PLZ.CANTINA LINESIS|CL
Ayuntamiento de Junta de Traslaloma|P0919200F|C/ ENCIMERA, 24|9514||947140601|947140601|www.juntadetraslaloma.es|traslaloma@avired.com|9|7|13|ENCIMERA,|CL
Ayuntamiento de Merindad de Sotoscueva|P0922000E|C/ Félix Rodríguez de la Fuente s/n|9575|9215|947138681|947138681|www.merindaddesotoscueva.org|sotoscueva@teleline.es|9|7|13|Félix Rodríguez de la Fuente|CL
Ayuntamiento de Palacios de Riopisuerga|P0925500A|C/ C/ IGLESIA|9107|9247|947372162||||9|7|13|C/ IGLESIA|CL
Ayuntamiento de Pancorbo|P0925900C|Plaza Mayor 1|9280|9251|947354083|947354292|www.pancorbo.es|ayuntamiento@pancorbo.es|9|7|13|Mayor|PL
Ayuntamiento de Quintanapalla|P0929700C|C/ Calle Mayor|9290|9288|947430383|||ayquintanapalla@terra.es|9|7|13|Calle Mayor|CL
Ayuntamiento de Quintanavides|P0930100C|C/ BURGOS 8|9292|9292|679346220|||quintanavides@diputaciondeburgos.net|9|7|13|BURGOS|CL
Ayuntamiento de Rezmondo|P0932800F|C/ PLAZA MAYOR|9108|9317|979187115||||9|7|13|PLAZA MAYOR|CL
Ayuntamiento de Santa María del Invierno|P0936200E|C/ c/ Iglesia|9292|9351|947594332||||9|7|13|c/ Iglesia|CL
Ayuntamiento de Valle de Sedano|P0937600E|C. Burgos, 2|9145|9905||||aytosedano@valledesedano.org|9|7|13|C. Burgos, 2|CL
Ayuntamiento de Tórtoles de Esgueva|P0940300G|Plaza Mayor s/n|9312|9391|947551723|947551619|||9|7|13|Mayor|PL
Ayuntamiento de Valdezate|P0941700G|C/ Plaza Mayor|9318|9405||||AYTOVALDEZATE@terra.es|9|7|13|Plaza Mayor|CL
Ayuntamiento de Valdorros|P0941800E|C/ PLZ. MAYOR|9320|9406|947404191|||valdorros@aytos.diputaciondeburgos.es|9|7|13|PLZ. MAYOR|CL
Ayuntamiento de Valle de Zamanzas|P0942800D|Calle San Mamés, s/n|9146|9416|||||9|7|13|Calle San Mamés, s/n|CL
Ayuntamiento de Villagalijo|P0944600F|C/ PLAZA MAYOR|9268|9433|947586127||||9|7|13|PLAZA MAYOR|CL
Ayuntamiento de Villalbilla de Gumiel|P0945300B|C/ plz. mayor 1|9453|9440|947557100||||9|7|13|plz. mayor 1|CL
Ayuntamiento de Villaquirán de los Infantes|P0947200B|C/ AYUNTAMIENTO|9226|9456|947161028||||9|7|13|AYUNTAMIENTO|CL
Mc. La Vera|P1000002D|Plaza Juan de Austria s/n|10430|10068|927172039|927172229|||10|11|17|Juan de Austria|PL
Ayuntamiento de Deleitosa|P1007100I|Plaza de España 1|10370|10070|927540004|||adeleitosa@wanadoo.es|10|11|13|de España|PL
Ayuntamiento de Holguera|P1010200B|C/ Nueva, 13|10829|10099|927451065|927451132|www.holguera.es|holguera@aytos.dip-caceres.es|10|11|13|Nueva,|CL
Ayuntamiento de Malpartida de Plasencia|P1011900F|Plaza Mayor 1|10680|10116|927404049|927404620|malpartidadeplasencia.es|aytomalpa@jet.es|10|11|13|Mayor|PL
Ayuntamiento de Montánchez|P1012900E|Plaza Plaza de España, 1|10170|10126|927380001|927380302|www.montanchez.es|aytomontanchez@hotmail.com|10|11|13|Plaza de España,|PL
Ayuntamiento de Oliva de Plasencia|P1013900D|C/ Plaza del Llano 1|10667|10136|927454795|927454716||secretaria@olivadeplasencia.es|10|11|13|Plaza del Llano|CL
Ayuntamiento de Pescueza|P1014600I|Plaza Mayor 8|10882|10143|927140753|927140753||administracion@pescueza.es|10|11|13|Mayor|PL
Ayuntamiento de Robledillo de Gata|P1015900B|Plaza Plaza Francisco Pizarro, 6|10867||927671107||||10|11|13|Plaza Francisco Pizarro,|PL
Ayuntamiento de Santa Marta de Magasca|P1017100G|Plaza Mayor 1|10198|10168|927284021|927284101||aytosantamarta@hotmail.com|10|11|13|Mayor|PL
Ayuntamiento de Valdemorales|P1020500C|Plaza España, 2|10131|10201|927386177|927386111|||10|11|13|España,|PL
Ayuntamiento de Villanueva de la Vera|P1021600J|Plaza Aniceto Marina 1|10470|10212|927566002|||acmayoral@yahoo.es|10|11|13|Aniceto Marina|PL
Mc. Sierra de Cádiz|P1100011D|Plaza Alameda de la Diputación 2|11650|11041|956730414|956731185|www.mmsierradecadiz.org|gerencia@mmsierradecadiz.org|11|1|17|Alameda de la Diputación|PL
Mc. Plana Alta|P1200018H|Plaça de la Ajuntament s/n|12130|12902|964701100|964701151||sjmoro_ayt@gva.es|12|10|17|de la Ajuntament|PL
C. Ejecución Previsiones Plan Zonal de Residuos 1, Área de Gestión C1|P1200019F|C/ Ferreres Bretó 10|12580|12027|964470050|964470050|||12|10|17|Ferreres Bretó|CL
Mc. Plana Espadà|P1200037H|Avenida Castellón|12221|12109|||||12|10|17|Avenida Castellón|AV
Ayuntamiento de Cortes de Arenoso|P1204800E| C. de D. Vicente Alegre Tomás, 17|12127|12048||||cortesdearenoso@hotmail.com|12|10|13| C. de D. Vicente Alegre Tomás, 17|CL
