ACT_NUM_ACTIVO;ACT_LLAVES_FECHA_RECEP;ACT_LLAVES_HRE;ACT_LLAVES_NECESARIAS;ACT_LLAVES_NUM_JUEGOS
6989477;03/02/2020;0;1;6
6949435;04/02/2020;0;1;7
6943769;04/02/2020;0;1;5
6082965;03/02/2020;1;1;8
6082965;03/02/2020;1;1;8
6082965;03/02/2020;1;1;8
6082965;03/02/2020;1;1;8
286962;04/02/2020;0;1;1
7294434;04/02/2020;0;1;10
6981426;04/02/2020;0;1;5
6047033;04/02/2020;0;1;9
5958775;04/02/2020;0;1;8
7057687;04/02/2020;0;1;5
7057688;04/02/2020;0;1;5
7057691;04/02/2020;0;1;5
7057690;04/02/2020;0;1;5
7057689;04/02/2020;0;1;5
7057693;04/02/2020;0;1;5
7057695;04/02/2020;0;1;5
7057696;04/02/2020;0;1;5
6853065;04/02/2020;0;1;6
7226900;03/02/2020;0;1;5
7226963;04/02/2020;0;1;5
7295143;03/02/2020;0;1;5
7295137;03/02/2020;0;1;8
412708;04/02/2020;0;1;7
5925476;03/02/2020;0;1;8
6791421;04/02/2020;0;1;5
7295597;04/02/2020;0;1;6
6061740;04/02/2020;0;1;10
5942113;04/02/2020;0;1;8
7295293;03/02/2020;0;1;5
7292515;03/02/2020;0;1;5
132905;04/02/2020;0;1;6
7042432;04/02/2020;0;1;2
132905;04/02/2020;0;1;6
132905;04/02/2020;0;1;6
132905;04/02/2020;0;1;6
6971948;04/02/2020;0;1;4
7040035;03/02/2020;0;1;4
410573;03/02/2020;0;1;2
801293;03/02/2020;0;1;2
7050367;03/02/2020;0;1;3
6875333;03/02/2020;0;1;13
6875333;03/02/2020;0;1;13
6854232;03/02/2020;0;1;9
5927409;03/02/2020;0;1;5
7294376;04/02/2020;0;1;5
7294378;04/02/2020;0;1;5
7294281;04/02/2020;0;1;5
6079169;;0;0;4
6079169;;0;0;4
5957440;04/02/2020;0;1;4
7293717;;0;0;5
164595;04/02/2020;0;1;4
7018944;;0;0;4
6791807;04/02/2020;0;1;6
5957440;04/02/2020;0;1;4
5958239;04/02/2020;0;1;5
6961661;;0;0;4
5956118;04/02/2020;0;1;2
5958239;04/02/2020;0;1;5
5958239;04/02/2020;0;1;5
6061453;04/02/2020;0;1;3
164595;04/02/2020;0;1;4
137237;04/02/2020;0;1;16
137237;04/02/2020;0;1;16
137237;04/02/2020;0;1;16
137237;04/02/2020;0;1;16
5961729;04/02/2020;0;1;6
7009980;;0;0;9
7009980;;0;0;9
7039049;;0;0;2
7259024;;1;0;4
7033937;;0;0;2
7259024;;1;0;4
7060411;;0;0;2
6035665;;0;0;5
7293717;;0;0;5
7035232;;0;0;7
7293717;;0;0;5
7293717;;0;0;5
7034531;;0;0;2
7042052;;0;0;3
6063537;;0;0;5
285309;;0;0;11
7035301;;0;0;2
285309;;0;0;11
285309;;0;0;11
7034450;;0;0;5
7034961;;1;0;2
7039194;;0;0;2
7034490;;1;0;2
7035304;;1;0;2
7034467;;0;0;2
7033931;;0;0;2
5943644;;0;0;7
7038205;;0;0;2
6082965;;0;0;8
6082965;;0;0;8
6082966;;0;0;0
7018944;;0;0;4
6993615;;0;0;4
6993615;;0;0;4
6993615;;0;0;4
6993615;;0;0;4
7018944;;0;0;4
5930811;;0;0;8
7034468;;0;0;2
7037890;;0;0;2
7039732;;0;0;2
7038151;;0;0;4
7034434;;0;0;2
7036465;;0;0;2
7034485;;0;0;2
7036090;;0;0;2
7036091;;0;0;2
7040870;;0;0;2
7035241;;1;0;2
7035031;;0;0;2
7038707;;0;0;2
7036139;;0;0;2
7038183;;0;0;3
7035374;;0;0;2
7034530;;0;0;2
5964574;;0;0;6
7038470;;0;0;2
6079169;;0;0;4
6079169;;0;0;4
7039979;;0;0;2
7061103;;0;0;2
7296319;;0;0;5
7296319;;1;0;5
7296319;;1;0;5
5943232;04/02/2020;0;1;4
7296319;;1;0;5
7035365;;0;0;1
412708;;1;0;7
6061007;;0;0;8
314596;;1;0;6
314596;;1;0;6
403707;;1;0;5
131682;;1;0;7
131682;;1;0;7
6706111;;0;0;8
7034361;;0;0;0
7034383;;0;0;0
7034535;;0;0;0
7034622;;0;0;0
7034898;;0;0;0
7297088;;0;0;5
7035231;;0;0;0
7035384;;0;0;0
7035782;;0;0;0
7036216;;0;0;0
7293626;;0;0;0
7009980;;0;0;9
7047798;;0;0;2
