ACT_NUM_ACTIVO|ACT_LLAVES_FECHA_RECEP|ACT_LLAVES_HRE|ACT_LLAVES_NECESARIAS|ACT_LLAVES_NUM_JUEGOS
64673|25/02/2019|1|1|5
64749||0|0|0
64755|25/02/2019|1|0|3
64756|25/02/2019|1|0|2
64767||0|1|0
64768|23/01/2019|1|1|8
64785|27/02/2019|1|1|6
64786|27/02/2019|1|1|3
64929||0|0|0
64935|25/02/2019|1|0|1
64936|25/02/2019|1|0|2
64983||0|0|0
64984||0|0|0
64985||0|0|0
64986||0|0|0
64987||0|0|0
65173||0|0|0
65174||0|0|0
65175||0|0|0
65176||0|0|0
65196||0|0|0
65198||0|0|0
65203|10/01/2019|1|1|9
65204||0|0|0
65205|08/01/2019|1|1|2
65340|25/02/2019|1|0|2
65341|25/02/2019|1|0|3
65342|25/02/2019|1|0|4
65348||0|1|0
65482|10/01/2019|1|1|2
65483||0|0|0
65525|11/02/2019|1|1|9
65615||0|0|0
65616|27/05/2019|1|1|1
65617|27/05/2019|1|1|1
65678||0|0|0
65715|11/02/2019|1|0|5
65719|30/01/2019|1|1|9
65767|08/02/2019|1|1|3
65883|11/02/2019|1|0|4
65921|25/02/2019|1|1|18
66033||0|0|0
66054|23/02/2019|1|0|6
66055|27/05/2019|1|1|1
66080|22/02/2019|1|1|5
66699||0|0|0
66897||0|0|0
67181||0|1|0
67349||0|0|0
67499||0|0|0
67500||0|0|0
67681||0|0|0
67682||0|0|0
67874|12/02/2019|1|1|4
67978|12/02/2019|1|1|4
68259|12/02/2019|1|1|7
68278||0|0|0
68279||0|0|0
68280||0|0|0
68700|19/02/2019|1|1|3
68701|19/02/2019|1|1|7
68756|01/02/2019|1|1|2
68826|07/02/2019|1|1|1
68944|19/02/2019|1|1|2
68945|19/02/2019|1|1|2
68970|10/01/2019|1|1|5
69089|27/05/2019|1|0|1
69287|14/01/2019|1|1|4
69328|26/02/2019|1|1|2
69395|18/11/2019|0|1|1
69508|25/01/2019|1|1|3
69621||0|0|0
69643||0|0|0
69759|09/01/2019|1|1|5
69876||0|0|0
69877||0|0|0
69958||0|0|0
69959||0|0|0
69989||0|0|0
70221|08/01/2019|1|1|4
70228|10/01/2019|1|1|2
70303|28/01/2019|1|1|3
70360||0|0|0
70455||0|0|0
70593||0|0|0
70681||0|0|0
70850|28/01/2019|1|1|4
70959|18/02/2019|1|1|13
70960|27/02/2019|1|1|8
70968|16/01/2019|1|1|6
71048||0|0|0
71180|29/01/2019|1|1|4
71287||0|0|0
71343||0|0|0
71502|27/05/2019|1|0|1
71675||0|0|0
71678||0|1|0
71712|27/02/2019|1|1|7
71735||0|0|0
71863||0|0|0
71874|27/02/2019|1|1|7
72118|27/02/2019|1|1|1
72371|30/01/2019|1|1|3
72372|30/01/2019|1|1|2
72451|27/02/2019|1|1|1
72523|03/01/2019|1|1|2
72602|30/01/2019|1|1|3
72603|06/02/2019|1|1|3
72832|06/02/2019|1|1|3
72856|24/12/2018|0|1|2
72935|24/01/2019|1|1|5
73137|30/01/2019|1|1|3
73173|06/02/2019|1|1|3
73178|06/02/2019|1|1|3
73471|06/02/2019|1|1|3
73592|23/02/2019|1|1|3
73617||0|1|0
74227|24/12/2018|1|1|2
74281|24/12/2018|1|0|2
75350|19/02/2019|1|1|2
75351|12/02/2019|1|1|3
75612|19/02/2019|1|1|3
76717|19/07/2019|1|1|5
76752|19/02/2019|1|1|1
76753|19/02/2019|1|1|2
76756|12/02/2019|1|1|6
76757|12/02/2019|1|1|5
76930|19/02/2019|1|1|2
77089||0|0|0
77090||0|0|0
77091||0|0|0
77251|19/02/2019|1|1|3
77253|19/02/2019|1|1|3
77973|19/02/2019|1|1|3
78247|19/02/2019|1|1|2
78350|12/02/2019|1|1|5
78351|12/02/2019|1|1|5
78378||0|1|0
78379||0|1|0
78380|09/07/2019|0|1|1
78417||0|1|0
78428|19/02/2019|1|1|4
78429|19/02/2019|1|1|2
78640|19/02/2019|1|1|2
79020||0|1|0
79200||0|1|0
79216|09/02/2019|0|1|1
0|08/01/2019|1|1|2
62682||0|0|0
62683|27/02/2019|1|1|5
62743||0|0|0
62744||0|0|0
62800||0|0|0
62869||0|0|0
62926|24/12/2018|1|1|7
63020|17/01/2019|1|1|9
63209||0|0|0
63210||0|0|0
63211|06/02/2019|1|1|1
63212||0|0|0
63221|17/01/2019|1|1|2
63396|25/02/2019|1|0|3
63397|25/02/2019|1|0|5
63404||0|1|0
63852|08/02/2019|1|1|1
63900||0|0|0
63924|06/02/2019|1|1|3
63930|31/01/2019|1|1|7
64068|27/02/2019|1|1|3
64107|27/02/2019|1|1|3
64145||0|0|0
64180|06/02/2019|1|1|3
64258|27/02/2019|1|1|3
64300||0|0|0
64320|06/02/2019|1|1|3
64420|03/01/2019|0|1|1
64489||0|1|0
64490|31/12/2018|1|1|1
64531|23/02/2019|1|1|11
64590|31/01/2019|0|1|1
64602||0|1|0
79338|13/02/2019|0|1|1
79426|03/02/2019|0|1|1
79477|05/02/2019|0|1|1
79703|26/02/2019|1|1|3
79741||0|0|0
79742||0|0|0
79848||0|0|0
79849||0|0|0
79850||0|0|0
79966||0|0|0
80105|25/02/2019|1|1|4
80106||0|0|0
80107||0|0|0
80108||0|0|0
80109||0|0|0
80290||0|0|0
80291||0|0|0
80292||0|0|0
80309||0|0|0
80551||0|0|0
80552||0|0|0
80554||0|0|0
81344|02/01/2019|1|1|8
82057|23/02/2019|1|1|5
82074|21/02/2019|0|1|1
82091||0|1|0
82092|07/02/2019|1|1|4
82093|16/01/2019|1|1|4
82094|25/02/2019|1|1|3
82095|04/01/2019|1|1|3
82096|24/12/2018|1|1|3
82097|16/01/2019|1|1|4
82113|26/02/2019|1|1|2
82129|25/02/2019|1|1|3
82130||0|0|0
82131|02/01/2019|1|1|3
82132||0|0|0
82133|04/01/2019|1|1|5
82134|04/01/2019|1|1|3
82271|26/02/2019|1|1|2
82405|23/02/2019|1|1|5
82411|26/02/2019|1|1|2
82412|26/02/2019|1|1|4
82430|02/01/2019|1|1|3
82431|25/02/2019|1|1|3
82432|04/01/2019|1|1|3
82433|17/01/2019|1|1|5
82464|25/02/2019|1|1|3
82724|25/02/2019|1|1|3
82725|03/01/2019|1|1|5
82726|04/01/2019|1|1|3
82727|25/02/2019|1|1|3
82729|25/02/2019|1|1|3
83817|23/02/2019|1|1|4
84156|08/02/2019|1|1|4
84157|08/02/2019|1|0|4
84706||0|0|0
84891|25/01/2019|1|0|1
84892|04/01/2019|1|1|4
84945|23/02/2019|1|1|1
84946|22/02/2019|1|1|1
84947|23/02/2019|1|1|1
85013|28/05/2019|1|1|5
85014||0|0|0
85015|24/12/2018|1|1|3
