ACT_NUM_ACTIVO|LLV_NUM_LLAVE|DD_TTE_CODIGO_POSEEDOR|MLV_COD_TENEDOR_POSEEDOR|DD_TTE_CODIGO_PEDIDOR|MLV_COD_TENEDOR_PEDIDOR|MLV_ENVIO|MLV_FECHA_ENVÍO|MLV_FECHA_RECEPCION|MLV_OBSERVACIONES|MLV_ESTADO
7295110|89|08|Central de llaves|01|110082689|Valija|27/01/2020|04/02/2020||04
7029274|101|08|Central de llaves|04|10004837|Valija|21/10/2019|24/10/2019||04
7029274|101|08|Central de llaves|04|10004837|Valija|21/10/2019|24/10/2019||04
6851093|103|08|Central de llaves|04|10005592|En mano|24/01/2020|30/01/2020||04
7030321|108|08|Central de llaves|04|10005592|En mano|24/01/2020|30/01/2020|PARA FIRMA. NO SE HA FIJADO FECHA TODAVIA.|04
6872959|111|08|Central de llaves|04|10005592|En mano|23/10/2019|28/10/2019|solicitamos llaves del activo para su venta|04
6878445|112|08|Central de llaves|04|10004837|Valija|17/12/2019|23/12/2019||04
6877185|120|08|Central de llaves|01|10033473|Valija|20/08/2019|29/08/2019||04
5934438|503|01|2984|04|10009469|Valija|26/06/2019|10/07/2019||04
5938308|917|01|2984|04|10009469|Valija|26/06/2019|10/07/2019||04
5929718|6017|08|Central de llaves|04|110116880|En mano|12/04/2019|15/04/2019|firma 17/04 10:00|04
5934192|6019|08|Central de llaves|04|110116880|En mano|16/04/2019|27/09/2019||04
5946577|6044|08|Central de llaves|04|110116880|En mano|30/04/2019|30/04/2019|firma 6/05 12:30|04
6520459|6074|08|Central de llaves|04|110116880|En mano|29/04/2019|29/04/2019||04
6990389|7397|03|10007348|03|10007550|Transporte 24h|20/11/2019|27/11/2019||04
6992796|7401|03|10007348|03|10007550|Transporte 24h|20/11/2019|27/11/2019||04
6992268|7403|03|10007348|03|10007550|Transporte 24h|20/11/2019|27/11/2019||04
6990649|7404|03|10007348|03|10007550|Transporte 24h|20/11/2019|27/11/2019||04
6991959|7406|03|10007348|04|10009469|Transporte 24h|22/10/2019|09/01/2020||04
6998378|7407|03|10007348|03|10007550|Transporte 24h|20/11/2019|27/11/2019||04
6991243|7408|03|10007348|03|10007550|Transporte 24h|20/11/2019|27/11/2019||04
6990536|7410|03|10007348|03|10007550|Transporte 24h|20/11/2019|27/11/2019||04
6990387|7411|03|10007348|03|10007550|Transporte 24h|20/11/2019|27/11/2019||04
6993299|7412|03|10007348|03|10007550|Transporte 24h|20/11/2019|27/11/2019||04
6993008|7414|03|10007348|03|10007550|Transporte 24h|20/11/2019|27/11/2019||04
7000297|7415|03|10007348|03|10007550|Transporte 24h|20/11/2019|27/11/2019||04
6998688|7421|03|10007348|03|10007550|Transporte 24h|20/11/2019|27/11/2019||04
6993104|7424|03|10007348|03|10007550|Transporte 24h|20/11/2019|27/11/2019||04
7000130|7425|03|10007348|03|10007550|Transporte 24h|20/11/2019|27/11/2019||04
6052318|7528|08|Central de llaves|04|10009469|En mano|06/06/2019|06/06/2019||04
6062748|7532|08|Central de llaves|04|10004837|Valija|14/11/2019|18/11/2019|GARSA VALENCIA VALIJA 5753|04
6059573|7544|08|Central de llaves|04|10009469|En mano|04/11/2019|05/11/2019||04
5968708|7546|08|Central de llaves|04|10009469|En mano|24/09/2019|25/09/2019||04
5968708|7546|08|Central de llaves|04|10009469|En mano|24/09/2019|25/09/2019||04
5925681|7547|08|Central de llaves|04|10009469|En mano|14/10/2019|16/10/2019|Firma 17/10/19 12:00h|04
7074691|7550|08|Central de llaves|04|10004837|Valija|29/07/2019|31/07/2019|ENVIAR A NUESTRA VALIJA 5753 DE GARSA VALENCIA|04
172266|7552|08|Central de llaves|01|12599|Valija|05/11/2019|18/11/2019||04
6872284|7577|08|Central de llaves|01|10033473|Transporte 24h|29/01/2020|31/01/2020||04
198899|7619|08|Central de llaves|01|12599|Valija|05/11/2019|18/11/2019||04
6859951|7669|08|Central de llaves|01|10033474|Transporte 24h|13/11/2019|15/11/2019|Necesito todas las copias de las llaves ya que se va a firmar en el notario el día 19-11-19. Gracias y un saludo|04
6859169|7688|08|Central de llaves|04|10004837|Valija|18/11/2019|20/11/2019||04
6859169|7689|08|Central de llaves|04|10004837|Valija|18/11/2019|20/11/2019||04
6859952|7710|08|Central de llaves|04|10004837|Valija|18/11/2019|20/11/2019||04
