ID HAYA|ID PRINEX|RC
6854842|52240|9349507VK5194N0001JQ
7069062|98712|0104318VJ8100S0004WZ
6935719|90986|0297805QE1209N0009YZ
6880366|67798|06094A021000840000UY
6849280|5535|06158A013000020000GU
6858641|52655|0783701XJ1008S0173OU
6858642|52656|0783701XJ1008S0173OU
6859217|52657|0783701XJ1008S0173OU
6860648|52658|0783701XJ1008S0173OU
6860649|52659|0783701XJ1008S0173OU
6860742|52660|0783701XJ1008S0173OU
6860743|52661|0783701XJ1008S0173OU
6860650|52662|0783701XJ1008S0173OU
6859779|52663|0783701XJ1008S0173OU
6860651|52664|0783701XJ1008S0173OU
6860346|52665|0783701XJ1008S0173OU
6860320|52666|0783701XJ1008S0173OU
6859780|52667|0783701XJ1008S0173OU
6859781|52668|0783701XJ1008S0173OU
6859218|52669|0783701XJ1008S0173OU
6860652|52670|0783701XJ1008S0173OU
6861024|52671|0783701XJ1008S0173OU
6860321|52672|0783701XJ1008S0173OU
6861025|52673|0783701XJ1008S0173OU
6859782|52674|0783701XJ1008S0173OU
6859219|52675|0783701XJ1008S0173OU
6860653|52676|0783701XJ1008S0173OU
6859783|52677|0783701XJ1008S0173OU
6859784|52678|0783701XJ1008S0173OU
6859220|52679|0783701XJ1008S0173OU
6860654|52680|0783701XJ1008S0173OU
6861026|52681|0783701XJ1008S0173OU
6861027|52682|0783701XJ1008S0173OU
6859221|52693|0783701XJ1008S0173OU
6859222|52694|0783701XJ1008S0173OU
6858643|52695|0783701XJ1008S0173OU
6861028|52696|0783701XJ1008S0173OU
6860744|52697|0783701XJ1008S0173OU
6860745|52698|0783701XJ1008S0173OU
6860322|52699|0783701XJ1008S0173OU
6860347|52700|0783701XJ1008S0173OU
6861029|52701|0783701XJ1008S0173OU
6860323|52702|0783701XJ1008S0173OU
6860746|52703|0783701XJ1008S0173OU
6860655|52704|0783701XJ1008S0173OU
6860348|52705|0783701XJ1008S0173OU
6861030|52706|0783701XJ1008S0173OU
6860747|52707|0783701XJ1008S0173OU
6860748|52708|0783701XJ1008S0173OU
6860324|52709|0783701XJ1008S0173OU
6860349|52710|0783701XJ1008S0173OU
6861031|52711|0783701XJ1008S0173OU
6860325|52712|0783701XJ1008S0173OU
6860749|52713|0783701XJ1008S0173OU
6860656|52714|0783701XJ1008S0173OU
6860350|52715|0783701XJ1008S0173OU
6861032|52716|0783701XJ1008S0173OU
6858644|52717|0783701XJ1008S0173OU
6860657|52718|0783701XJ1008S0173OU
6860750|52719|0783701XJ1008S0173OU
6860751|52720|0783701XJ1008S0173OU
6860658|52721|0783701XJ1008S0173OU
6860351|52722|0783701XJ1008S0173OU
6860659|52723|0783701XJ1008S0173OU
6859223|52724|0783701XJ1008S0173OU
6860752|52725|0783701XJ1008S0173OU
6860660|52726|0783701XJ1008S0173OU
6860326|52727|0783701XJ1008S0173OU
6859718|52728|0783701XJ1008S0173OU
6859785|52729|0783701XJ1008S0173OU
6861033|52730|0783701XJ1008S0173OU
6860327|52731|0783701XJ1008S0173OU
6860753|52732|0783701XJ1008S0173OU
6859719|52733|0783701XJ1008S0173OU
6858645|52734|0783701XJ1008S0173OU
6861034|52735|0783701XJ1008S0173OU
6860328|52736|0783701XJ1008S0173OU
6860754|52737|0783701XJ1008S0173OU
6860755|52738|0783701XJ1008S0173OU
6860329|52739|0783701XJ1008S0173OU
6860352|52740|0783701XJ1008S0173OU
6861035|52741|0783701XJ1008S0173OU
6860661|52761|0783701XJ1008S0173OU
6860540|52762|0783701XJ1008S0173OU
6862007|52763|0783701XJ1008S0173OU
6860353|52764|0783701XJ1008S0173OU
6861036|52765|0783701XJ1008S0173OU
6860662|52766|0783701XJ1008S0173OU
6860354|52767|0783701XJ1008S0173OU
6859720|52768|0783701XJ1008S0173OU
6860330|52769|0783701XJ1008S0173OU
6859721|52770|0783701XJ1008S0173OU
6860541|52683|0783701XJ1008S0173OU
6859722|52684|0783701XJ1008S0173OU
6860663|52685|0783701XJ1008S0173OU
6860542|52686|0783701XJ1008S0173OU
6862008|52687|0783701XJ1008S0173OU
6860664|52688|0783701XJ1008S0173OU
6859723|52689|0783701XJ1008S0173OU
6859786|52690|0783701XJ1008S0173OU
6862009|52691|0783701XJ1008S0173OU
6860543|52692|0783701XJ1008S0173OU
6861037|52742|0783701XJ1008S0173OU
6860544|52743|0783701XJ1008S0173OU
6859724|52744|0783701XJ1008S0173OU
6859725|52745|0783701XJ1008S0173OU
6862010|52746|0783701XJ1008S0173OU
6861038|52747|0783701XJ1008S0173OU
6861039|52748|0783701XJ1008S0173OU
6859726|52749|0783701XJ1008S0173OU
6860545|52750|0783701XJ1008S0173OU
6860665|52751|0783701XJ1008S0173OU
6861040|52752|0783701XJ1008S0173OU
6860546|52753|0783701XJ1008S0173OU
6859727|52754|0783701XJ1008S0173OU
6859728|52755|0783701XJ1008S0173OU
6862011|52756|0783701XJ1008S0173OU
6860547|52757|0783701XJ1008S0173OU
