ACT_NUM_ACTIVO;IMPORTE_TAS_VIGENTE;FECHA_TAS_VIGENTE
7294229;15813.67;2018-11-15
7298546;123994.77;2020-01-28
7005313;110212.00;2020-01-23
7229643;229544.27;2019-07-09
6853992;6851.52;2019-05-22
6862953;41313.52;2016-12-31
7223970;5115.00;2018-08-27
6853101;7422.48;2019-05-22
6878520;444568.28;2019-10-03
6852689;12825.12;2019-09-16
6851147;2488.69;2019-11-13
7298813;125109.43;2020-01-14
6882442;95418.67;2018-10-03
7292731;151680.04;2019-07-16
7292484;122348.02;2019-09-24
7292525;174496.41;2019-08-06
7294246;16297.51;2018-11-15
7070921;17048.44;2019-04-22
6949754;31237.28;2019-03-27
6861999;37085.63;2019-07-04
6878231;15647.39;2017-12-13
6881947;5105.78;2019-04-10
6876155;94459.00;2018-09-05
6872799;106103.03;2018-09-14
6948378;49707.97;2018-12-05
6870318;17619.72;2019-04-15
7292339;116331.24;2019-09-11
7225947;123020.95;2018-05-16
6885443;62780.00;2019-10-31
6857825;1198.56;2019-11-04
6857309;95603.40;2019-12-17
6870546;52600.27;2017-11-29
6871533;64422.09;2017-11-29
6871363;51757.12;2017-11-29
6964990;41490.63;2019-03-20
6826289;2556.00;2019-08-15
6826337;3285.00;2019-08-15
6870692;98101.38;2018-01-02
6876501;11213.20;2019-11-30
6870625;150501.07;2018-01-02
6860796;49306.48;2019-04-06
6848115;100102.20;2018-01-17
6849649;100102.20;2018-01-17
6851326;7226.92;2017-11-29
6855195;56810.51;2019-10-16
6861449;29032.50;2019-05-06
6870014;129974.11;2019-05-25
6876858;5883.47;2017-11-12
6858081;9966.33;2019-05-14
7009913;4247.96;2018-10-24
7009865;17160.10;2018-10-24
6872375;330937.00;2017-01-25
6883929;5777.58;2016-12-15
7009928;16952.85;2018-10-24
6850150;420.00;2018-08-29
6869916;6273.53;2017-11-29
6826274;2767.50;2019-08-15
6871080;67099.20;2017-11-29
6871291;44175.99;2017-11-29
6871512;6204.10;2018-10-06
6871678;85466.89;2019-11-30
6966713;5210.70;2018-09-14
6872056;129084.02;2018-01-02
6870789;128309.18;2018-01-02
6860873;44279.76;2019-04-06
6850489;100102.20;2018-01-17
6851680;3497.95;2017-11-29
6851681;3467.02;2017-11-29
6869919;45635.98;2017-11-29
6871198;47571.00;2017-11-29
6869609;48440.73;2017-11-29
6871149;51022.58;2017-12-29
6871579;17417.63;2019-04-12
6875394;4905.73;2017-11-12
6876266;51121.33;2017-11-12
6876506;46662.78;2017-11-12
6865063;8130.78;2018-10-11
6863265;8130.78;2018-10-11
6858833;171017.32;2017-10-17
7009942;4247.96;2018-10-24
7009828;40567.87;2019-11-30
7009814;40567.87;2019-11-30
7009792;45276.61;2019-11-30
6882697;5285.28;2017-12-31
6873830;108986.90;2014-03-14
6873839;71713.62;2018-05-03
6874231;177306.24;2017-11-24
6882701;14635.35;2018-05-01
6855220;4334.60;2019-10-16
6856612;4334.60;2019-10-16
6870674;52901.70;2017-11-29
6872345;69632.84;2017-11-29
6870506;106260.53;2018-01-02
6870785;106844.44;2018-01-02
6875471;10431.74;2019-11-30
6870440;151051.38;2018-01-02
6860492;30177.39;2019-04-14
6871405;26523.71;2019-05-15
6851608;3855.30;2017-11-29
6877797;10456.92;2017-06-20
6851682;3855.30;2017-11-29
6934785;84075.43;2016-10-12
6853714;81392.96;2016-10-12
6852345;194400.00;2018-11-15
6852445;150603.48;2018-10-21
7071346;120285.00;2018-02-07
6864665;6743.74;2016-12-30
6864224;5491.64;2016-12-30
6862826;6101.71;2016-12-30
6865700;5796.55;2016-12-30
6866078;5491.64;2016-12-30
6866154;5186.48;2016-12-30
6866340;113706.76;2016-12-30
6864800;86517.92;2016-12-30
6864110;67828.86;2019-05-14
6867068;3016.96;2017-11-22
6859068;84811.11;2018-01-18
6885170;45758.66;2017-06-30
6857221;68652.29;2019-04-07
6948383;3076.18;2018-12-05
6857244;122249.27;2017-12-13
6883664;147713.56;2018-09-18
6877478;25967.10;2019-04-02
6866104;3750.00;2016-12-22
6860871;4351.32;2017-12-31
6860983;48853.71;2019-04-06
6870196;26523.71;2019-05-15
6859808;102537.29;2017-12-11
6861097;9530.52;2019-09-03
6876525;5100.00;2018-08-16
6876526;39610.73;2019-05-14
6876527;43585.53;2019-05-14
6851323;5672.43;2017-11-29
6876535;10247.76;2017-06-20
6876668;10456.92;2017-06-20
6852278;70659.53;2017-11-29
6877380;79703.18;2017-06-20
6853857;71855.73;2017-11-29
6879531;8176.40;2016-11-07
6878627;8176.40;2016-11-07
6878833;8176.40;2016-11-07
6849656;101157.70;2018-01-17
6851252;2561.00;2018-06-30
7101171;35102.69;2019-10-31
6865342;5491.64;2016-12-30
6865656;6388.92;2016-12-30
6865943;5186.48;2016-12-30
6865698;8728.71;2016-12-30
6866084;117169.22;2016-12-30
6865199;91394.80;2019-05-14
6866724;34835.94;2017-11-22
6865497;24493.95;2019-03-13
6866838;4761.50;2016-11-15
6869019;3207.50;2018-04-26
6865928;127217.25;2019-04-04
7292810;119572.59;2018-02-07
7292501;117373.05;2019-09-16
7292738;6500.00;2019-10-09
7292766;78545.29;2017-12-17
7292740;56155.00;2019-11-30
7292750;25635.29;2019-03-05
7292805;60463.56;2019-10-03
7293200;47779.30;2019-12-23
7293199;5500.00;2019-09-23
6874102;161838.79;2019-02-27
6870311;93426.86;2019-04-26
6856458;6676.99;2019-05-10
6856923;94213.58;2018-02-21
6869598;30955.28;2019-09-18
7293319;46705.34;2019-11-11
6872567;26060.21;2019-03-29
6872709;26060.21;2019-03-29
6873738;26060.21;2019-03-29
6867209;3907.20;2019-05-22
6867579;29918.43;2019-05-22
6868063;42472.54;2019-05-22
6867709;29492.69;2019-05-22
7292803;183317.73;2019-09-24
7292643;44860.00;2019-11-30
7292736;2000.00;2019-10-09
7292801;155000.80;2018-09-28
7292768;93997.63;2017-12-17
7294888;85800.00;2017-12-29
7292478;135155.32;2019-09-09
7295572;6401.04;2019-11-15
7295569;1320.78;2019-11-15
7293385;40852.34;2019-09-30
6853713;82410.57;2016-10-12
6949064;49707.97;2018-12-05
7294985;156111.08;2019-03-13
7294723;243673.61;2019-08-08
7294825;188618.32;2019-03-25
7294823;168179.24;2018-12-03
7294739;160932.85;2019-11-10
6860108;34837.66;2019-09-18
6854644;74941.01;2019-07-03
7295391;5046.62;2018-12-03
6885493;150253.20;2019-03-13
7007885;22139.66;2019-10-31
6854064;5138.00;2018-06-30
6949503;146523.00;2019-11-30
6875640;18725.53;2019-09-16
6872396;26060.21;2019-03-29
6867303;6605.81;2019-09-06
