Num. Activo Haya;Fecha Recepción Plusvalía;F. pago / presentación plusvalía;F. presentación de recurso;F. respuesta de recurso;Apertura de expediente de recurso extrajudicial y seguimiento del mismo;Importe pagado plusvalía;Gasto asociado;Minusvalía;Exento;Autoliquidación
6995689;31/12/1899;08/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6787705;31/12/1899;08/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6997670;31/12/1899;11/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6997671;31/12/1899;11/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5953685;31/12/1899;08/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6991202;31/12/1899;25/11/2019;31/12/1899;31/12/1899;N;1423,77;;S;N;N
7015947;31/12/1899;25/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
7015955;31/12/1899;25/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5950983;31/12/1899;25/11/2019;31/12/1899;31/12/1899;N;140,45;;S;N;N
6956510;31/12/1899;25/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5926093;31/12/1899;15/03/2019;31/12/1899;31/12/1899;N;88,66;;N;N;N
5946308;31/12/1899;28/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
7031692;31/12/1899;25/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6997973;31/12/1899;25/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5927188;31/12/1899;21/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6047884;31/12/1899;21/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993610;31/12/1899;25/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6993922;31/12/1899;21/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6999259;31/12/1899;19/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5970145;31/12/1899;19/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6991578;31/12/1899;19/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6994233;31/12/1899;07/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6996027;31/12/1899;21/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5968078;31/12/1899;22/03/2019;31/12/1899;31/12/1899;N;1154,6;;S;N;N
6938306;31/12/1899;21/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993589;31/12/1899;07/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6994181;31/12/1899;19/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6995720;31/12/1899;08/11/2019;31/12/1899;31/12/1899;N;606,65;;N;N;N
6997765;31/12/1899;19/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6060030;31/12/1899;13/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993446;31/12/1899;13/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6993816;31/12/1899;13/11/2019;31/12/1899;31/12/1899;N;24,96;;S;N;N
5941316;31/12/1899;13/11/2019;31/12/1899;31/12/1899;N;905,66;;S;N;N
6993844;31/12/1899;11/11/2019;31/12/1899;31/12/1899;N;98,03;;S;N;N
6994116;31/12/1899;11/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
