ACT_NUM_ACTIVO|IMPORTE_TASACION_REM|IMPORTE_TASACION_PRINEX|TAS_FECHA_INI_TASACION_PRINEX
6825789|0.01|230497.78|2006-01-12 00:00:00.0000000
6883768|70867.78|61933.09|2017-12-28 00:00:00.0000000
6883771|74370.39|64994.10|2017-12-28 00:00:00.0000000
6876404|779730.07|901761.26|2018-01-17 00:00:00.0000000
7072812|121430.00|121430.40|2019-10-06 00:00:00.0000000
6858016|12040.59|12105.61|2019-10-22 00:00:00.0000000
6853647|60580.77|61769.88|2019-09-23 00:00:00.0000000
6879381|46680.77|41773.40|2018-01-08 00:00:00.0000000
7030570|196934.76|253006.16|2019-08-01 00:00:00.0000000
7030572|43205.50|2871.00|2018-05-29 00:00:00.0000000
6935665|177372.60|204350.70|2019-08-18 00:00:00.0000000
6873067|265342.62|265342.63|2017-11-24 00:00:00.0000000
6964649|127158.85|7743.00|2018-03-15 00:00:00.0000000
6875044|11557.63|12029.37|2017-11-28 00:00:00.0000000
6862769|1779.44|4548.66|2017-11-13 00:00:00.0000000
6852128|62358.35|62369.15|2019-09-09 00:00:00.0000000
6851656|160779.00|160098.30|2017-06-28 00:00:00.0000000
6860541|509.50|477.96|2019-10-28 00:00:00.0000000
6825573|16228.70|16341.79|2017-11-27 00:00:00.0000000
6825552|16228.70|8065.16|2017-11-27 00:00:00.0000000
6851908|60547.36|10087.19|2017-11-20 00:00:00.0000000
6876896|62167.74|70096.97|2018-02-06 00:00:00.0000000
6877215|498951.40|65077.37|2019-12-03 00:00:00.0000000
6950519|204208.60|230807.38|2017-12-29 00:00:00.0000000
6859722|414.07|509.50|2019-10-28 00:00:00.0000000
6825614|16228.70|3302.87|2017-11-27 00:00:00.0000000
6848393|109993.56|504308.37|2019-11-13 00:00:00.0000000
6873086|175854.48|248258.77|2017-11-29 00:00:00.0000000
6853550|54166.87|55230.19|2019-09-23 00:00:00.0000000
6948027|81530.16|104342.50|2017-06-15 00:00:00.0000000
6825564|16228.70|6106.47|2017-11-27 00:00:00.0000000
6882952|13107.51|1666.00|2012-03-16 00:00:00.0000000
6825602|16228.70|14136.50|2017-11-27 00:00:00.0000000
6855831|4322656.50|4322656.26|2018-02-12 00:00:00.0000000
6878098|23262.50|12734.95|2019-06-19 00:00:00.0000000
6882890|68680.23|60021.33|2017-12-28 00:00:00.0000000
6882036|73409.39|64154.26|2017-12-28 00:00:00.0000000
6883151|70254.66|89867.91|2013-03-06 00:00:00.0000000
7015829|9021.89|105426.90|2017-04-20 00:00:00.0000000
6848631|31990.14|21331.04|2017-12-29 00:00:00.0000000
6852081|104813.61|123169.51|2016-12-01 00:00:00.0000000
6882358|74370.39|64994.10|2017-12-28 00:00:00.0000000
7018716|131125.42|20460.00|2018-03-13 00:00:00.0000000
6878446|1049.43|1049.06|2019-12-12 00:00:00.0000000
6879099|63054.84|108911.74|2019-09-13 00:00:00.0000000
6957054|58601.74|143375.00|2017-03-23 00:00:00.0000000
6850559|6669.72|61251.68|2018-05-08 00:00:00.0000000
6872519|60848.35|30424.17|2018-04-14 00:00:00.0000000
6860276|104741.50|81257.49|2017-11-10 00:00:00.0000000
6873656|67726.13|67152.64|2017-12-05 00:00:00.0000000
6850472|25249.23|22268.58|2018-01-04 00:00:00.0000000
6881611|73036.36|63828.27|2017-12-28 00:00:00.0000000
6882037|73409.39|64154.26|2017-12-28 00:00:00.0000000
6973103|7820.00|6855.00|2017-05-24 00:00:00.0000000
6878764|192693.75|76865.54|2018-04-05 00:00:00.0000000
6860663|477.96|414.07|2019-10-28 00:00:00.0000000
6879004|405857.75|405857.76|2018-02-19 00:00:00.0000000
6874498|52856.07|55172.80|2019-04-01 00:00:00.0000000
6973936|87629.00|76776.00|2018-04-09 00:00:00.0000000
6973104|118877.00|111774.06|2017-05-24 00:00:00.0000000
6883769|74370.39|64994.10|2017-12-28 00:00:00.0000000
6882038|73036.36|63828.27|2017-12-28 00:00:00.0000000
6848451|28086.64|183657.30|2019-10-07 00:00:00.0000000
6862768|1779.44|4510.17|2017-11-13 00:00:00.0000000
6876733|88859.20|84729.49|2017-11-15 00:00:00.0000000
6881945|71183.90|62209.35|2017-12-28 00:00:00.0000000
6851551|6669.72|80697.72|2018-05-08 00:00:00.0000000
7017929|18653.00|18920.00|2017-06-27 00:00:00.0000000
6857936|3494791.07|3672149.71|2019-07-15 00:00:00.0000000
6855072|5261283.35|1391486.00|2016-11-21 00:00:00.0000000
7018714|48890.22|69275.00|2018-03-13 00:00:00.0000000
6876625|132070.19|138276.17|2017-11-03 00:00:00.0000000
6853377|4214.49|5763.25|2019-11-28 00:00:00.0000000
6882892|71183.90|62209.35|2017-12-28 00:00:00.0000000
6850832|67801.03|67801.04|2019-10-15 00:00:00.0000000
