NUM_ACTIVO_HAYA|NUM_OFERTA_REM|FECHA_INGRE_CHEQUE_REM|PRINEX_FECHA_CONTABLE_VENTA
6028532|59560044||23/03/2017
6028540|60838112||21/02/2017
6028543|59065209||22/11/2016
6028549|66308710||16/05/2017
6028550|64543824||24/04/2017
6028554|56660127||11/08/2016
6028556|66953652||25/07/2017
6028557|70515087||11/10/2017
6028565|58773945||16/10/2017
6028579|71528143||16/11/2017
6028588|60925584||22/03/2017
6028589|64041012||21/03/2017
6028596|57384993||15/06/2016
6028598|70219638||11/10/2017
6028599|61435140||21/02/2017
6028602|54707246||13/05/2016
6028632|90000694||20/11/2017
6028633|71522653||19/10/2017
6028634|56149715||26/08/2016
6028635|65677643||12/06/2017
6028641|58779290||10/11/2016
6028659|69351477||25/08/2017
6028661|63761504||24/04/2017
6028663|64882286||16/05/2017
6028665|69351477||25/08/2017
6028668|63761504||24/04/2017
6028672|63761504||24/04/2017
6028690|60166553||23/12/2016
6028937|70643766||17/10/2017
6028938|70984556||23/10/2017
6028958|58759472||25/01/2017
6028970|65879279||21/06/2017
6028972|67898017||25/07/2017
6028973|90000356||23/10/2017
6028993|62216927||11/11/2016
6029005|63625572||15/03/2017
6029008|70885445||25/10/2017
6029019|57379161||17/10/2016
6029021|62654032||15/03/2017
6029023|90002561||15/12/2017
6029033|66132674||21/07/2017
6029046|65276855||20/04/2017
6029050|62348399||05/04/2017
6029057|54856062||29/07/2016
6029058|69674749||16/10/2017
6029080|56958568||21/10/2016
6029084|71897930||13/12/2017
6029086|60859104||20/02/2017
6029087|56117276||10/11/2016
6029089|58871658||18/11/2016
6029097|61989850||23/03/2017
6029098|61973133||21/02/2017
6029099|62029765||21/03/2017
6029114|60175807||21/12/2016
6029115|71950078||14/11/2017
6029116|65828545||08/08/2017
6029119|69907202||24/08/2017
6029127|63356409||12/05/2017
6029128|69948859||26/09/2017
6029133|65588932||16/06/2017
6029139|62826529||14/03/2017
6029174|70818162||20/11/2017
6029192|61187816||25/01/2017
6029204|62041073||07/04/2017
6029219|66761444||17/07/2017
6029225|71850775||10/11/2017
6029238|61828199||09/02/2017
6029248|60167348||26/01/2017
6029251|90000890||12/12/2017
6029264|57933344||24/03/2017
6029271|65816555||26/06/2017
6029296|51591599||20/04/2016
6029305|69978367||21/08/2017
6029306|66898690||21/07/2017
6029314|58945722||14/12/2016
6029328|66318985||18/07/2017
6029335|68131449||25/07/2017
6029361|63360571||23/03/2017
