Num_Gasto|Partida_Presupuestaria|Cuenta_contable
11153853|G011339|6220000000
11252548|G011339|6220000000
11252549|G011339|6220000000
11252550|G011339|6220000000
11252551|G011339|6220000000
11252552|G011339|6220000000
11252553|G011339|6220000000
11252555|G011339|6220000000
11252556|G011339|6220000000
11252557|G011339|6220000000
11252559|G011339|6220000000
11252560|G011339|6220000000
11252561|G011339|6220000000
11252562|G011339|6220000000
11252563|G011339|6220000000
11252564|G011339|6220000000
11252566|G011339|6220000000
11252567|G011339|6220000000
11252568|G011339|6220000000
11252569|G011339|6220000000
11252570|G011339|6220000000
11252571|G011339|6220000000
11252573|G011339|6220000000
11252574|G011339|6220000000
11252575|G011339|6220000000
11252576|G011339|6220000000
11252577|G011339|6220000000
11252578|G011339|6220000000
11252580|G011339|6220000000
11252581|G011339|6220000000
11252582|G011339|6220000000
11252583|G011339|6220000000
11252584|G011339|6220000000
11252585|G011339|6220000000
11252587|G011339|6220000000
11252588|G011339|6220000000
11252589|G011339|6220000000
11252590|G011339|6220000000
11252591|G011339|6220000000
11252592|G011339|6220000000
11252607|G011339|6220000000
11252608|G011339|6220000000
11252609|G011339|6220000000
11252610|G011339|6220000000
11252611|G011339|6220000000
11252612|G011339|6220000000
11252613|G011339|6220000000
11252614|G011339|6220000000
11252615|G011339|6220000000
11252616|G011339|6220000000
11252617|G011339|6220000000
11252618|G011339|6220000000
11252625|G011339|6220000000
11252626|G011339|6220000000
11252627|G011339|6220000000
11252628|G011339|6220000000
11252629|G011339|6220000000
11252630|G011339|6220000000
11252631|G011339|6220000000
11252632|G011339|6220000000
11252633|G011339|6220000000
11252634|G011339|6220000000
11252635|G011339|6220000000
11252636|G011339|6220000000
11252637|G011339|6220000000
11252638|G011339|6220000000
11252639|G011339|6220000000
11252640|G011339|6220000000
11252641|G011339|6220000000
11252642|G011339|6220000000
11252643|G011339|6220000010
11252644|G011339|6220000010
11252645|G011339|6220000010
11252646|G011339|6220000010
11252647|G011339|6220000010
11252648|G011339|6220000010
11252649|G011339|6220000000
11252650|G011339|6220000000
11252651|G011339|6220000000
11252652|G011339|6220000000
11252653|G011339|6220000000
11252654|G011339|6220000000
11252655|G011339|6220000000
11252656|G011339|6220000000
11252657|G011339|6220000000
11252658|G011339|6220000000
11252659|G011339|6220000000
11252660|G011339|6220000000
11252661|G011339|6220000000
11252662|G011339|6220000000
11252663|G011339|6220000000
11252664|G011339|6220000000
11252665|G011339|6220000000
11252666|G011339|6220000000
11252673|G011339|6220000000
11252674|G011339|6220000000
11252675|G011339|6220000000
11252676|G011339|6220000000
11252677|G011339|6220000000
11252679|G011339|6220000000
11252680|G011339|6220000000
11252681|G011339|6220000000
11252682|G011339|6220000000
11252683|G011339|6220000000
11252684|G011339|6220000000
11252685|G011339|6220000000
11252686|G011339|6220000000
11252687|G011339|6220000000
11252688|G011339|6220000000
11252689|G011339|6220000000
11252690|G011339|6220000000
11252691|G011339|6220000000
11252692|G011339|6220000000
11252693|G011339|6220000000
11252694|G011339|6220000000
11252695|G011339|6220000000
11252696|G011339|6220000000
11252703|G011339|6220000000
11252704|G011339|6220000000
11252705|G011339|6220000000
11252706|G011339|6220000000
11252707|G011339|6220000000
11252708|G011339|6220000000
11252716|G011339|6220000000
11252717|G011339|6220000000
11252718|G011339|6220000000
11252719|G011339|6220000000
11252720|G011339|6220000000
11252721|G011339|6220000000
11252733|G011339|6220000000
11252734|G011339|6220000000
11252735|G011339|6220000000
11252736|G011339|6220000000
11252737|G011339|6220000000
11252738|G011339|6220000000
11252745|G011339|6220000000
11252746|G011339|6220000000
11252747|G011339|6220000000
11252748|G011339|6220000000
11252749|G011339|6220000000
11252750|G011339|6220000000
11252757|G011339|6220000000
11252758|G011339|6220000000
11252759|G011339|6220000000
11252760|G011339|6220000000
11252761|G011339|6220000000
11252762|G011339|6220000000
11252763|G011339|6220000000
11252764|G011339|6220000000
11252765|G011339|6220000000
11252766|G011339|6220000000
11252767|G011339|6220000000
