
    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     12644          2       2220         11                                     
     12650          2       4902         11                                     
     12669          2       6826         11                                     
     12679          2       7316         11                                     
     12859          2       1338         11                                     
     12860          2       1338         11                                     
     12861          2       1367         11                                     
     12868          2       1423         11                                     
     12872          2       2103          7                                     
     12874          2       2220         11                                     
     12876          2       2239         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     12901          2       6110         11                                     
     12903          2       6114         11                                     
     12905          2       6204         11                                     
     12913          2       6764         11                                     
     12930          2       6887         11                                     
     12897          2       5203         11                                     
     12915          2       6770         11                                     
     13269          2        175         11                                     
     13271          2        255         11                                     
     13285          2       5164         11                                     
     13288          2       6106         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     13300          2       6859         11                                     
     12640          2       1424         11                                     
     12647          2       3902         11                                     
     12656          2       5173         11                                     
     12658          2       6613         11                                     
     12664          2       6772          7                                     
     12691          2       7343          7                                     
     12847          2        197         11                                     
     12849          2        467         11                                     
     13306          2       7006          7                                     
     13307          2       7007         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     13317          2       7704         11                                     
     13326          2       7858          7                                     
     13328          2       7909         11                                     
     13334          2       7922          7                                     
     13336          2       7930         11                                     
     13337          2       7931          7                                     
     13338          2       7931          7                                     
     13331          2       7921          7                                     
     13333          2       7921          7                                     
     13341          2       7945         11                                     
     13345          2       7951          7                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     13351          2       7979         11                                     
     13352          2       7995         11                                     
     13355          2       8108          7                                     
     13429          2       6801          5                                     
     12851          2       1209         11                                     
     12858          2       1338         11                                     
     13438          2       6825          5                                     
     13847          2       5160         11                                     
     13849          2       6102         11                                     
     13858          2       6817         11                                     
     13862          2       6891         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     13865          2       7312         11                                     
     13873          2       7858         11                                     
     13883          2       7929         11                                     
     13885          2       7931         11                                     
     13891          2       7951          7                                     
     13894          2       7976         11                                     
     13898          2       8102         11                                     
     13902          2       8302         11                                     
     12864          2       1401         11                                     
     12866          2       1418         11                                     
     12881          2       3104          7                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     12884          2       3604         11                                     
     12886          2       3705         11                                     
     12888          2       5119         11                                     
     12894          2       5172         11                                     
     12899          2       5210         11                                     
     12908          2       6740         11                                     
      6504          2       1391          5                                     
      6513          2       1267          5                                     
     12924          2       6817         11                                     
     12932          2       6888         11                                     
     12936          2       7335         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     12940          2       7704          7                                     
      8247          2       3902          5                                     
      9000          2       1338         27                                     
     13273          2       1077          7                                     
     13278          2       1338         11                                     
     13282          2       2211         11                                     
     13310          2       7207         11                                     
     13312          2       7306         11                                     
     13314          2       7331         11                                     
     13322          2       7843         11                                     
     13325          2       7858         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     13327          2       7879         11                                     
     13332          2       7921          7                                     
     13335          2       7922          7                                     
     13339          2       7937          7                                     
     13346          2       7962         11                                     
     11947          2       6104         11                                     
     11949          2       6110         11                                     
     11952          2       6114         11                                     
     11960          2       6734          7                                     
     11962          2       6734          7                                     
     11969          2       6760          7                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     11994          2       6902         11                                     
     11996          2       7006          7                                     
     12238          2       1203         11                                     
     12250          2       5104         11                                     
     12262          2       5703         11                                     
     12270          2       6603         11                                     
     12274          2       6614         11                                     
     12277          2       6740         11                                     
      8930          2       1424          7                                     
      8931          2       1424          7                                     
      8937          2       1704          7                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
      8946          2       2219          7                                     
      8954          2       2701          7                                     
      8959          2       2812          7                                     
      8970          2       3302          7                                     
      8971          2       3302          7                                     
      8989          2       4807          7                                     
      9157          2       2219         11                                     
      9631          2       1284         11                                     
      9638          2       1350         11                                     
      9651          2       2303         11                                     
      9658          2       3301         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
      9663          2       4603         11                                     
      9671          2       5129         11                                     
      9676          2       5159          7                                     
      9685          2       5311          7                                     
      9831          2        716         11                                     
      9833          2       1267         11                                     
      9835          2       1278         11                                     
      9854          2       4903         11                                     
      9856          2       5107         11                                     
      9858          2       5129         11                                     
     10434          2       2001         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     10458          2       5503         11                                     
     10459          2       5603         11                                     
     10462          2       5807         11                                     
     10753          2       2249         11                                     
     10755          2       2803         11                                     
     10768          2       5106         11                                     
     10774          2       5212         11                                     
     10785          2       5808         11                                     
